method	rank	p_value	feature_id	pooled_replicated	minimum_pooled_depth	cumulative_agreement
rMATS	1	1.0	rMATS:A3SS:100	True	122.01	1.0
rMATS	2	1.0	rMATS:A3SS:100	False	27.35	0.5
rMATS	3	1.0	rMATS:A3SS:100	True	33.0	0.6666666666666666
rMATS	4	1.0	rMATS:A3SS:100	True	122.01	0.75
rMATS	5	1.0	rMATS:A3SS:100	False	27.35	0.6
rMATS	6	1.0	rMATS:A3SS:100	True	33.0	0.6666666666666666
rMATS	7	1.0	rMATS:A3SS:100	True	292.07	0.7142857142857143
rMATS	8	1.0	rMATS:A3SS:100	True	27.35	0.75
rMATS	9	1.0	rMATS:A3SS:100	True	27.35	0.7777777777777778
rMATS	10	1.0	rMATS:A3SS:100	False	33.0	0.7
rMATS	11	1.0	rMATS:A3SS:1000	True	269.28000000000003	0.7272727272727273
rMATS	12	1.0	rMATS:A3SS:1000	True	269.28000000000003	0.75
rMATS	13	1.0	rMATS:A3SS:1000	True	22.46	0.7692307692307693
rMATS	14	1.0	rMATS:A3SS:1000	True	22.46	0.7857142857142857
rMATS	15	1.0	rMATS:A3SS:1000	True	326.27	0.8
rMATS	16	1.0	rMATS:A3SS:1000	True	369.07	0.8125
rMATS	17	1.0	rMATS:A3SS:1000	False	326.27	0.7647058823529411
rMATS	18	1.0	rMATS:A3SS:1002	False	40.74	0.7222222222222222
rMATS	19	1.0	rMATS:A3SS:1002	False	62.83	0.6842105263157895
rMATS	20	1.0	rMATS:A3SS:1002	False	62.83	0.65
rMATS	21	1.0	rMATS:A3SS:1002	False	62.83	0.6190476190476191
rMATS	22	1.0	rMATS:A3SS:1002	True	40.74	0.6363636363636364
rMATS	23	1.0	rMATS:A3SS:1002	False	40.74	0.6086956521739131
rMATS	24	1.0	rMATS:A3SS:1002	True	40.74	0.625
rMATS	25	1.0	rMATS:A3SS:1002	False	82.98	0.6
rMATS	26	1.0	rMATS:A3SS:1002	False	163.32	0.5769230769230769
rMATS	27	1.0	rMATS:A3SS:1002	True	82.98	0.5925925925925926
rMATS	28	1.0	rMATS:A3SS:1003	False	159.25	0.5714285714285714
rMATS	29	1.0	rMATS:A3SS:1003	False	159.25	0.5517241379310345
rMATS	30	1.0	rMATS:A3SS:1003	False	159.25	0.5333333333333333
rMATS	31	1.0	rMATS:A3SS:1003	False	81.08	0.5161290322580645
rMATS	32	1.0	rMATS:A3SS:1003	False	159.25	0.5
rMATS	33	1.0	rMATS:A3SS:1003	False	159.25	0.48484848484848486
rMATS	34	1.0	rMATS:A3SS:1003	False	207.26	0.47058823529411764
rMATS	35	1.0	rMATS:A3SS:1003	False	198.82	0.45714285714285713
rMATS	36	1.0	rMATS:A3SS:1003	False	81.08	0.4444444444444444
rMATS	37	1.0	rMATS:A3SS:1003	False	207.26	0.43243243243243246
rMATS	38	1.0	rMATS:A3SS:1003	False	207.26	0.42105263157894735
rMATS	39	1.0	rMATS:A3SS:1003	False	198.82	0.41025641025641024
