test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000031166.14:B3	True	True	True	True	2075.6039024534653	2075.60390245306	2075.6033225316496	2075.60332253113	0.0011598436312851845	0.0011598438604778494	2.2919266484677792e-10	9.861133455366615e-06	8.151522544169048e-06	3.923261084162521e-15	5.743130453272202e-15	33	4	33	4	33	4
ENSMUSG00000041907.10:B1	True	True	True	True	3604.9164648817805	3604.907312135954	3602.3119295256674	3602.29574551386	5.209070712226094	5.22313324418792	0.014062531961826608	8.480118317630133e-06	9.151393058217162e-06	6.057922732326683e-17	5.842590721982125e-17	35	15	40	17	35	16
ENSMUSG00000027087.12:B1	True	True	True	True	1650.407735039055	1650.4076136267252	1646.354214730329	1646.354246022253	8.107040617452185	8.106735208944428	0.0003054085077565105	4.749020755490171e-06	3.0644985561490493e-06	1.0270882577960776e-14	6.1169304912354206e-15	28	21	30	22	29	19
ENSMUSG00000035614.12:B1	True	True	True	True	1848.8388919923073	1848.8388122854947	1847.5007929186313	1847.5004895972072	2.676198147351897	2.6766453765749247	0.0004472292230275343	6.70678794649173e-06	6.359997189831652e-06	1.6475087585406766e-16	1.9214642498805667e-16	40	37	44	40	37	38
ENSMUSG00000026239.15:B1	True	True	True	True	1174.5592232633737	1174.555833210374	1169.9813690492658	1169.9800483138233	9.155708428215803	9.151569793101316	0.004138635114486533	6.978131349392663e-06	5.886498698285164e-06	1.186145729894172e-15	9.83399213311898e-16	52	26	60	27	52	25
ENSMUSG00000016624.16:B1	False	False	False	False	2400.8652184042194	2331.398176501463	2400.45470276669	2330.0125177872023	0.8210312750588855	2.771317428520888	1.9502861534620024	0.001265523209318509	0.003459330529184361	3.867690117863535	3.764239148928456	52	5	261	114	17	5
ENSMUSG00000024099.16:B1	True	True	True	True	1528.6264911776298	1528.6283414482973	1527.846581781041	1527.848221618146	1.5598187931773282	1.5602396603026136	0.0004208671252854401	9.631632437362749e-06	6.147950172509811e-06	2.517029532260669e-15	4.830549723226435e-15	46	14	50	17	43	12
ENSMUSG00000027466.16:B1	False	False	False	False	1843.3714069966832	1776.5275230695643	1843.37140699592	1775.4963781660203	1.5261321095749736e-09	2.0622898070878364	2.0622898055617043	375.36965417325945	377.9568981913669	0.019396755073188287	0.019396755073185452	34	0	231	30	23	2
ENSMUSG00000019998.7:B1	True	True	True	True	1689.0712804376803	1689.071276728747	1684.0864033121343	1684.0950335635607	9.969754251092127	9.952486330372722	0.017267920719405083	6.299875284065033e-06	8.545677275173461e-06	1.1346850086477893e-16	1.3922645973402642e-16	37	40	40	43	36	39
ENSMUSG00000060227.16:B3	True	True	True	True	1632.4864924771132	1632.4907445365493	1630.3751002263366	1630.370143243701	4.222784501553178	4.241202585696556	0.0184180841433772	7.053553730090871e-06	9.373862266189363e-06	2.3366465947289565e-16	2.549665656955782e-16	69	59	75	65	66	106
