test_id	batched_null_converged	batched_alternative_converged	scalar_null_converged	scalar_alternative_converged	batched_null_objective	scalar_null_objective	batched_alternative_objective	scalar_alternative_objective	batched_statistic	scalar_statistic	absolute_statistic_difference	batched_null_gradient_norm	batched_alternative_gradient_norm	batched_null_mode_score_norm	batched_alternative_mode_score_norm	batched_null_iterations	batched_alternative_iterations	batched_null_line_search_evaluations	batched_alternative_line_search_evaluations	scalar_null_iterations	scalar_alternative_iterations
ENSMUSG00000031166.14:B3	True	True	True	True	2075.6039024548722	2075.603902453296	2075.603322533457	2075.6033225314322	0.001159842830929847	0.001159843727691623	8.967617759481072e-10	9.861129933027666e-06	8.151508900744963e-06	6.8833827526759706e-15	5.898059818321144e-15	33	4	33	4	33	4
ENSMUSG00000041907.10:B1	True	True	True	True	3604.9164648816354	3604.9073121359543	3602.3119295257447	3602.2957455138653	5.209070711781351	5.223133244177916	0.014062532396565075	8.480117414226796e-06	9.151393097405026e-06	5.551115123125783e-17	8.049116928532385e-16	35	15	40	17	35	16
ENSMUSG00000027087.12:B1	True	True	True	True	1650.4077350390553	1650.4076136267252	1646.3542147303294	1646.3542460222534	8.10704061745173	8.106735208943519	0.00030540850821125787	4.749020755522134e-06	3.064498556155798e-06	6.5503158452884236e-15	5.773159728050814e-15	28	21	30	22	29	19
ENSMUSG00000035614.12:B1	True	True	True	True	1848.8388919923073	1848.838812285495	1847.500792918632	1847.500489597208	2.676198147350533	2.6766453765740152	0.00044722922348228167	6.70678794646466e-06	6.359997177491489e-06	5.551115123125783e-17	3.552713678800501e-15	40	37	44	40	37	38
ENSMUSG00000026239.15:B1	True	True	True	True	1174.559223263375	1174.5558332103737	1169.9813690472565	1169.9800483138226	9.155708432237134	9.151569793102226	0.004138639134907862	6.978131350051422e-06	5.886421041301561e-06	1.6653345369377348e-15	1.9984014443252818e-15	52	26	60	27	52	25
ENSMUSG00000016624.16:B1	False	False	False	False	2468.4422849771677	2331.3981765016288	2468.442284977169	2330.012517517527	0.0	2.7713179682032205	2.7713179682032205	62.7451740234231	223.49057783792864	1.9990543282814692	1.9990543282813953	42	0	158	30	17	5
ENSMUSG00000024099.16:B1	True	True	True	True	1528.626491177633	1528.6283414482975	1527.8465817810504	1527.848221618146	1.55981879316505	1.5602396603030684	0.00042086713801836595	9.631635433009445e-06	6.147950844974305e-06	1.9984014443252818e-15	1.1379786002407855e-15	46	14	50	17	43	12
ENSMUSG00000027466.16:B1	False	False	False	False	1830.9201049788164	1776.5275230729637	1830.441523290672	1775.4963781506453	0.9571633762889178	2.06228984463678	1.105126468347862	219.698840513837	1511.8951458212207	0.6540175765384414	0.6540178508048138	34	1	206	60	23	2
ENSMUSG00000019998.7:B1	True	True	True	True	1689.0712804376803	1689.0712767287473	1684.0864033120092	1684.0950335635766	9.969754251342238	9.952486330341344	0.017267921000893693	6.299875284279438e-06	8.545677450016745e-06	1.1102230246251565e-16	1.9984014443252818e-15	37	40	40	43	36	39
ENSMUSG00000060227.16:B3	True	True	True	False	1632.4864924754193	1632.4907445365295	1630.3745358028552	1630.369452501075	4.2239133451280395	4.242584070908833	0.018670725780793873	7.052724110109774e-06	9.996705991295566e-06	8.881784197001252e-16	2.4424906541753444e-15	69	71	75	76	66	124
