screen	screen_fraction	screen_eligible_tests	mandatory_exact_tests	exact_tests_run	exact_test_fraction	full_ec_glmm_discoveries	screened_ec_glmm_discoveries	discovery_recall	screened_calls_not_in_full_analysis
path_lrt	0.05	4472	353	577	0.11958549222797928	315	116	0.3682539682539683	0
path_lrt	0.1	4472	353	801	0.16601036269430053	315	158	0.5015873015873016	0
path_lrt	0.2	4472	353	1248	0.25865284974093267	315	210	0.6666666666666666	0
path_lrt	0.3	4472	353	1695	0.35129533678756475	315	231	0.7333333333333333	0
path_lrt	0.5	4472	353	2589	0.536580310880829	315	271	0.8603174603174604	0
path_lrt	0.75	4472	353	3707	0.7682901554404145	315	299	0.9492063492063492	0
path_lrt	1.0	4472	353	4825	1.0	315	315	1.0	0
score_mixture_bf	0.05	4472	353	577	0.11958549222797928	315	113	0.35873015873015873	0
score_mixture_bf	0.1	4472	353	801	0.16601036269430053	315	153	0.4857142857142857	0
score_mixture_bf	0.2	4472	353	1248	0.25865284974093267	315	181	0.5746031746031746	0
score_mixture_bf	0.3	4472	353	1695	0.35129533678756475	315	181	0.5746031746031746	0
score_mixture_bf	0.5	4472	353	2589	0.536580310880829	315	209	0.6634920634920635	0
score_mixture_bf	0.75	4472	353	3707	0.7682901554404145	315	250	0.7936507936507936	0
score_mixture_bf	1.0	4472	353	4825	1.0	315	315	1.0	0
bic_bf	0.05	4472	353	577	0.11958549222797928	315	83	0.2634920634920635	0
bic_bf	0.1	4472	353	801	0.16601036269430053	315	86	0.273015873015873	0
bic_bf	0.2	4472	353	1248	0.25865284974093267	315	94	0.2984126984126984	0
bic_bf	0.3	4472	353	1695	0.35129533678756475	315	108	0.34285714285714286	0
bic_bf	0.5	4472	353	2589	0.536580310880829	315	135	0.42857142857142855	0
bic_bf	0.75	4472	353	3707	0.7682901554404145	315	198	0.6285714285714286	0
bic_bf	1.0	4472	353	4825	1.0	315	315	1.0	0
