dataset	strategy	candidate_tests	matched_baseline_tests	jointly_converged_tests	job_seconds	wall_ratio_to_lbfgs	total_cpu_seconds	peak_rss_gib	median_absolute_statistic_difference	maximum_absolute_statistic_difference
mouse	lbfgs	12	12	12	220	1.0	397.366	2.1328163146972656	0.0	0.0
mouse	shared_alternative_lbfgs	12	12	12	183	0.8318181818181818	310.518	1.9945793151855469	0.000748035082325238	1.7432499931931602
mouse	previous_null_lbfgs	12	3	12	195	0.8863636363636364	340.69	2.207660675048828	0.0	0.3417059735584189
mouse	adam_lr_0.01	12	12	0	260	1.1818181818181819	433.357	2.051464080810547	45.78969110433263	424.26489305958603
mouse	adam_lr_0.03	12	12	0	254	1.1545454545454545	423.073	2.1091880798339844	8.71655177644675	295.3113757394385
mouse	adam_then_lbfgs	12	12	12	138	0.6272727272727273	250.202	1.9365348815917969	0.005586397289434299	1.7432499931931602
mouse	two_concurrent_lbfgs	12	12	12	137	0.6227272727272727	349.684	2.678680419921875	0.0	0.0
human	lbfgs	11	11	10	303	1.0	654.397	4.632869720458984	0.0	0.0
human	shared_alternative_lbfgs	11	11	11	216	0.7128712871287128	424.479	4.607208251953125	4.547473508864641e-13	0.19855961146822665
human	previous_null_lbfgs	10	6	10	282	0.9306930693069307	585.55	4.802421569824219	3.908635903826507e-08	0.6121461367292795
human	adam_lr_0.01	11	11	0	235	0.7755775577557755	395.703	4.328151702880859	87.9063891400906	1169.0308841862134
human	adam_lr_0.03	11	11	2	248	0.8184818481848185	405.154	4.522869110107422	13.235677125640905	112.62692148347242
human	adam_then_lbfgs	11	11	11	249	0.8217821782178217	531.901	4.619869232177734	0.03918379325477872	3.787743395850157
human	two_concurrent_lbfgs	11	11	10	230	0.759075907590759	644.221	6.969707489013672	0.0	0.27851360909698997
