test_id	block_id	gene_id	contrast	cell_type	level_a	level_b	method	latent_space	pairwise_null_seed	n_paths	n_isoforms	n_original_isoforms	n_ecs	n_samples	n_test_levels	degrees_of_freedom	median_gene_umis	statistic	lrt_p_value	bic_log_bayes_factor	null_converged	alternative_converged	null_objective	alternative_objective	alternative_observation_noise_sd	null_random_effect_sd	alternative_random_effect_sd	alternative_concentration	null_iterations	alternative_iterations	null_cavi_iterations	alternative_cavi_iterations	null_gradient_norm	alternative_gradient_norm	null_scaled_gradient_norm	alternative_scaled_gradient_norm	null_optimizer_scale	alternative_optimizer_scale	null_mode_score_norm	alternative_mode_score_norm	null_mode_steps	alternative_mode_steps	null_attempts	alternative_attempts	alternative_reused	null_warm_start	null_optimizer	alternative_optimizer	null_objective_evaluations	alternative_objective_evaluations	null_objective_evaluation_seconds	alternative_objective_evaluation_seconds	null_optimizer_seconds	alternative_optimizer_seconds
ENSMUSG00000003233.13:B2	ENSMUSG00000003233.13:B2	ENSMUSG00000003233.13	cell_type				laplace_multinomial	isoform		2	3	3	10	32	3	2	15.0	1.06975691241405	0.5857404789379372	-2.460853817346966	True	True	570.4245527513892	569.8896742951822	0.0	0.00041065059768780786	0.00041070716204601854	inf	45	27			0.0036587617006005285	0.0030082911295089883	5.735905197584606e-06	5.273775672871686e-06	637.8699742354939	570.4245527513892	1.9984014443252818e-15	1.7763568394002505e-15	12	12	1	1	False	default	lbfgs	lbfgs	51	31	4.336269708350301	3.741821705363691	0.16243416350334883	0.07690564729273319
ENSMUSG00000003762.14:B1	ENSMUSG00000003762.14:B1	ENSMUSG00000003762.14	cell_type				laplace_multinomial	isoform		2	3	3	10	77	5	4	14.0	0.0	1.0	-7.275172319452771	False	False	1917.0130886774077	1917.0130886778309	0.0	2.2123535144681727	2.2123535144681727	inf	13	1			1263379.0821899166	1263379.0800512335	545.5057727882092	659.0351873510626	2315.977474871598	1917.0130886778309	6.263929649141797e-07	6.263929652750022e-07	12	12	1	1	False	default	lbfgs	lbfgs	74	20	4.154672554694116	3.6618070667609572	0.4815538180992007	0.11039329413324594
ENSMUSG00000021010.10:B3	ENSMUSG00000021010.10:B3	ENSMUSG00000021010.10	cell_type				laplace_multinomial	isoform		2	4	4	19	231	12	11	71.0	26.64773391179915	0.005192541578635802	-7.9677386040938245	True	True	39860.29632912583	39846.97246216993	0.0	0.3814863461279131	0.3793466336878294	inf	38	13			0.42785769683488184	0.37818143319400305	9.486149703802505e-06	9.487672396395777e-06	45103.40972833012	39860.29632912583	6.8833827526759706e-15	1.3655743202889425e-14	12	12	1	1	False	default	lbfgs	lbfgs	47	16	6.778816528618336	5.305976896546781	0.9249716559424996	0.3648318322375417
ENSMUSG00000021224.16:B3	ENSMUSG00000021224.16:B3	ENSMUSG00000021224.16	cell_type				laplace_multinomial	isoform		2	3	3	9	34	2	1	19.0	0.7853198792909097	0.3755190535956664	-1.3243336625971183	True	True	929.2847708752081	928.8921109355626	0.0	0.005594986036283637	0.005598888015953794	inf	47	19			0.003470300649879873	0.008352261584452347	3.6421754992559126e-06	8.987838654222342e-06	952.8098386771442	929.2847708752081	5.384581669432009e-15	4.773959005888173e-15	12	12	1	1	False	default	lbfgs	lbfgs	56	29	4.879263943992555	4.451803836971521	0.16970057599246502	0.07202741969376802
ENSMUSG00000021756.13:B1	ENSMUSG00000021756.13:B1	ENSMUSG00000021756.13	cell_type				laplace_multinomial	isoform		5	5	5	20	25	3	8	12.0	8.786369431749563	0.3606370017358517	-6.939668660350083	True	True	660.1206266464868	655.727441930612	0.0	0.21097198681732982	0.0023457268220957147	inf	27	25			0.005842249636763719	0.0052003205055352565	8.107822838117642e-06	7.87783368011643e-06	720.5694738786484	660.1206266464868	1.4877029187558566e-14	2.331481904239985e-15	12	12	1	1	False	default	lbfgs	lbfgs	33	30	5.784662540070713	4.636421026661992	0.15926904696971178	0.139921510592103
ENSMUSG00000022415.13:B1	ENSMUSG00000022415.13:B1	ENSMUSG00000022415.13	cell_type				laplace_multinomial	isoform		2	2	2	6	124	6	5	20.0	9.496059566675285	0.09084022659124527	-4.71244430145801	True	True	3612.5165004919736	3607.768470708636	0.0	0.5123370319423386	0.035009177507233855	inf	22	9			0.01694739472929843	0.035302500801780455	4.284217813699215e-06	9.772273925108095e-06	3955.773367802972	3612.5165004919736	2.220446049250313e-16	6.661338147750939e-16	12	12	1	1	False	default	lbfgs	lbfgs	34	12	3.920796785503626	3.700000673532486	0.09984093438833952	0.025901202112436295
ENSMUSG00000024219.17:B2	ENSMUSG00000024219.17:B2	ENSMUSG00000024219.17	cell_type				laplace_multinomial	isoform		2	3	3	12	27	4	3	13.0	2.7046538504055206	0.43943700050489654	-2.806556158156911	True	True	490.21058339470517	488.8582564695024	0.0	0.00033546262790251185	0.00033546262790251185	inf	60	76			0.001645626756679847	0.004492062757027451	3.3009211083259933e-06	9.163536874132633e-06	498.53562162665526	490.21058339470517	6.661338147750939e-15	6.217248937900877e-15	12	12	1	1	False	default	lbfgs	lbfgs	64	90	4.766441697254777	4.464044489897788	0.20063969679176807	0.29303327668458223
ENSMUSG00000025261.19:B1	ENSMUSG00000025261.19:B1	ENSMUSG00000025261.19	cell_type				laplace_multinomial	isoform		2	3	3	16	272	13	12	51.0	11.777509356321389	0.4637096546418621	-17.338451387286653	True	True	8883.368362384605	8877.479607706444	0.0	0.3926472149079388	0.3906577800096926	inf	36	36			0.09112539214925781	0.05580601628088111	9.49087954126088e-06	6.282078374367991e-06	9601.364315403758	8883.368362384603	8.348877145181177e-14	9.481304630298837e-14	12	12	1	1	False	default	lbfgs	lbfgs	44	40	5.4977763602510095	4.436841134913266	0.4431043490767479	0.8347017029300332
ENSMUSG00000030759.17:B1	ENSMUSG00000030759.17:B1	ENSMUSG00000030759.17	cell_type				laplace_multinomial	isoform		2	2	2	10	76	4	3	17.0	13.008361918881747	0.004618557160211466	0.9708617782699687	True	True	2638.7796530685946	2632.2754721091537	0.0	0.01202612389207114	0.012118511636000672	inf	15	14			0.02461479455067565	0.02120727767311242	9.145731734238565e-06	8.036774744890433e-06	2691.3969560823743	2638.7796530685946	8.881784197001252e-16	5.551115123125783e-16	12	12	1	1	False	default	lbfgs	lbfgs	19	17	3.8096787221729755	3.4745315071195364	0.05411001108586788	0.05434942152351141
ENSMUSG00000031284.17:B1	ENSMUSG00000031284.17:B1	ENSMUSG00000031284.17	cell_type				laplace_multinomial	isoform		3	4	4	7	65	5	8	16.0	6.503920659166397	0.5909727953725223	-10.352829197065423	True	True	1204.63517013288	1201.3832098032967	0.0	0.014196169959328937	0.013328489792896824	inf	58	50			0.015093364321036492	0.007884967728535966	9.904821174557991e-06	6.545523428197932e-06	1523.8401637988222	1204.6351701328797	1.3877804748473402e-15	1.2247148203617401e-15	12	12	1	1	False	default	lbfgs	lbfgs	69	57	4.888148689642549	3.9124003062024713	0.3234420083463192	0.2786100460216403
