test_id	block_id	gene_id	contrast	cell_type	level_a	level_b	method	latent_space	pairwise_null_seed	n_paths	n_isoforms	n_original_isoforms	n_ecs	n_samples	n_test_levels	degrees_of_freedom	median_gene_umis	statistic	lrt_p_value	bic_log_bayes_factor	null_converged	alternative_converged	null_objective	alternative_objective	alternative_observation_noise_sd	null_random_effect_sd	alternative_random_effect_sd	alternative_concentration	null_iterations	alternative_iterations	null_cavi_iterations	alternative_cavi_iterations	null_gradient_norm	alternative_gradient_norm	null_scaled_gradient_norm	alternative_scaled_gradient_norm	null_optimizer_scale	alternative_optimizer_scale	null_mode_score_norm	alternative_mode_score_norm	null_mode_steps	alternative_mode_steps	null_attempts	alternative_attempts	alternative_reused	null_warm_start	null_optimizer	alternative_optimizer	null_objective_evaluations	alternative_objective_evaluations	null_objective_evaluation_seconds	alternative_objective_evaluation_seconds	null_optimizer_seconds	alternative_optimizer_seconds
ENSMUSG00000003233.13:B2	ENSMUSG00000003233.13:B2	ENSMUSG00000003233.13	cell_type				laplace_multinomial	isoform		2	3	3	10	32	3	2	15.0	1.069756960347604	0.5857404648996261	-2.460853793380189	True	True	570.4245527510511	569.8896742708773	0.0	0.00041064763796559646	0.00041070420772176293	inf	45	27			0.003658769507157306	0.0030082757055803107	5.735917436061179e-06	5.2737486334905444e-06	637.8699742355011	570.4245527510511	4.551914400963142e-15	3.9968028886505635e-15	12	12	1	1	False	default	lbfgs	lbfgs	51	31	4.992056204006076	4.469117224216461	0.10286475159227848	0.06130637601017952
ENSMUSG00000003762.14:B1	ENSMUSG00000003762.14:B1	ENSMUSG00000003762.14	cell_type				laplace_multinomial	isoform		2	3	3	10	77	5	4	14.0	0.0	1.0	-7.275172319452771	False	False	1912.7691609869867	1914.6268649967103	0.0	1.0985165458559631	1.0979270238385257	inf	22	6			42670.07913795846	48.54293438770427	18.42422027024428	0.02535341622085471	2315.977474871598	1914.650631885055	2.942091015256665e-15	1.6653345369377348e-15	12	12	1	1	False	default	lbfgs	lbfgs	69	141	4.873891015537083	4.770831522531807	0.23855288326740265	0.6665631644427776
ENSMUSG00000021010.10:B3	ENSMUSG00000021010.10:B3	ENSMUSG00000021010.10	cell_type				laplace_multinomial	isoform		2	4	4	19	231	12	11	71.0	26.64774193741323	0.005192527159297541	-7.967734591286785	True	True	39860.296329553596	39846.97245858489	0.0	0.3814853124411952	0.3793467754160923	inf	38	13			0.42788426535283913	0.378195318274917	9.486738761661224e-06	9.48802073993895e-06	45103.40972833031	39860.296329553596	1.2545520178264269e-14	7.993605777301127e-15	12	12	1	1	False	default	lbfgs	lbfgs	47	16	7.180941219441593	6.012709063477814	0.4616445740684867	0.13425143156200647
ENSMUSG00000021224.16:B3	ENSMUSG00000021224.16:B3	ENSMUSG00000021224.16	cell_type				laplace_multinomial	isoform		2	3	3	9	34	2	1	19.0	0.7853198790389797	0.37551905367225014	-1.3243336627230833	True	True	929.2847708752072	928.8921109356877	0.0	0.005594986051570637	0.005598888031000312	inf	47	19			0.0034702996571894444	0.008352343266872564	3.6421744574001257e-06	8.987926552380997e-06	952.8098386771485	929.284770875207	1.1546319456101628e-14	5.10702591327572e-15	12	12	1	1	False	default	lbfgs	lbfgs	56	29	5.444024544209242	4.954985753633082	0.11029617954045534	0.04217476211488247
ENSMUSG00000021756.13:B1	ENSMUSG00000021756.13:B1	ENSMUSG00000021756.13	cell_type				laplace_multinomial	isoform		5	5	5	20	25	3	8	12.0	8.78636943176457	0.36063700173454083	-6.93966866034258	True	True	660.1206266464866	655.7274419306043	0.0	0.2109719868178721	0.0023457268228967414	inf	27	25			0.005842249626517949	0.0052003206658024145	8.107822823898623e-06	7.877833922901087e-06	720.569473878651	660.1206266464865	5.551121899389361e-15	2.88681025698706e-15	12	12	1	1	False	default	lbfgs	lbfgs	33	30	6.373215272091329	5.764582785777748	0.080896170809865	0.07720357738435268
ENSMUSG00000022415.13:B1	ENSMUSG00000022415.13:B1	ENSMUSG00000022415.13	cell_type				laplace_multinomial	isoform		2	2	2	6	124	6	5	20.0	9.496058106871715	0.09084027583547534	-4.712445031359795	True	True	3612.516501019525	3607.7684719660892	0.0	0.51236195330785	0.035008326482712335	inf	22	9			0.01695764274860058	0.035302273387335464	4.286808462442007e-06	9.772210971872946e-06	3955.7733678029913	3612.516501019566	4.440892098500626e-16	4.440892098500626e-16	12	12	1	1	False	default	lbfgs	lbfgs	34	12	4.989606631919742	3.661887526512146	0.08251459989696741	0.02385100070387125
ENSMUSG00000024219.17:B2	ENSMUSG00000024219.17:B2	ENSMUSG00000024219.17	cell_type				laplace_multinomial	isoform		2	3	3	12	27	4	3	13.0	2.6736241198407242	0.4447282238966156	-2.8220710234393094	True	True	490.21046745312486	488.8736553932045	0.0	0.00033546262790251185	0.00033546262790251185	inf	61	46			0.0029462812462229962	0.004761684475082187	5.9098710672040936e-06	9.713551201428623e-06	498.53562162682766	490.21046745312475	4.884981308350689e-15	1.942890293094024e-15	12	12	1	1	False	default	lbfgs	lbfgs	67	55	5.731130374595523	4.977060962468386	0.13764427695423365	0.11228209175169468
ENSMUSG00000025261.19:B1	ENSMUSG00000025261.19:B1	ENSMUSG00000025261.19	cell_type				laplace_multinomial	isoform		2	3	3	16	272	13	12	51.0	11.777509356365044	0.4637096546382936	-17.338451387264826	True	True	8883.368362384601	8877.479607706418	0.0	0.39264721490436577	0.3906577799931478	inf	36	36			0.09112539183905727	0.055806014655246705	9.4908795089529e-06	6.282078191370468e-06	9601.364315403775	8883.368362384603	6.772360450213455e-14	9.992007221626409e-14	12	12	1	1	False	default	lbfgs	lbfgs	44	40	5.685750575736165	4.9387519573792815	0.28256620559841394	0.2102652434259653
ENSMUSG00000030759.17:B1	ENSMUSG00000030759.17:B1	ENSMUSG00000030759.17	cell_type				laplace_multinomial	isoform		2	2	2	10	76	4	3	17.0	13.008361918881747	0.004618557160211466	0.9708617782699687	True	True	2638.7796530685955	2632.2754721091546	0.0	0.012026123895324967	0.012118511639195207	inf	15	14			0.024614794552248	0.02120727767746938	9.14573173482278e-06	8.036774746541558e-06	2691.396956082374	2638.7796530685955	7.993605777301127e-15	1.3322676295501878e-15	12	12	1	1	False	default	lbfgs	lbfgs	19	17	4.277766358107328	4.286617961712182	0.0718452101573348	0.04831643495708704
ENSMUSG00000031284.17:B1	ENSMUSG00000031284.17:B1	ENSMUSG00000031284.17	cell_type				laplace_multinomial	isoform		3	4	4	7	65	5	8	16.0	6.3897346706230564	0.6036625194208727	-10.409922191337094	True	True	1204.588971024542	1201.3941036892304	0.0	0.001148752550235579	0.001148743436971855	inf	59	25			0.014966679285077307	0.007204386469155543	9.82168579135391e-06	5.980784020484582e-06	1523.8401637988222	1204.5889710245415	1.1102840109973589e-15	7.016956460326185e-16	12	12	1	1	False	default	lbfgs	lbfgs	76	29	5.077543221414089	5.18428738322109	0.20946115534752607	0.0575476810336113
