test_id	degrees	score_statistic	score_p_value	fixed_hessian_minimum_eigenvalue	fixed_hessian_maximum_eigenvalue	fixed_hessian_condition	null_converged	null_objective_evaluations	elapsed_seconds
ENSMUSG00000003233.13:B2	2	0.6169253262229378	0.7345753784461843	1.598649388165738e-08	49.912031800327654	3122137484.917555	True	51	39.04048482980579
ENSMUSG00000003762.14:B1	4	0.0	1.0	-7384444879327.799	3761202.400004944	17109922794480.678	False	74	36.4274187926203
ENSMUSG00000021010.10:B3	11	30.681798725197062	0.0012372042679550457	0.006768871771860981	76.04066655003172	11233.876059839391	True	47	53.16131465509534
ENSMUSG00000021224.16:B3	1	0.0	1.0	-0.1340260503691859	24.173858662883898	359687.9946250825	True	56	48.061537832953036
ENSMUSG00000021756.13:B1	8	8.2237967243469	0.4119201003230505	2.8315838955350302e-05	30.154920076050047	1064948.848013993	True	33	51.73496326711029
ENSMUSG00000022415.13:B1	5	7.8333618519961075	0.1656616605811481	1.3332119942274974e-07	5.615248917371056	42118199.818812	True	34	37.50197295192629
ENSMUSG00000024219.17:B2	3	7.5376787028728005	0.05659818765285609	2.7560616188872582e-08	22.167062164458883	804302124.9070871	True	64	51.091571065597236
ENSMUSG00000025261.19:B1	12	11.937408708467942	0.45071946416049713	3.433571908683993	1588.3447911170542	462.5925518262494	True	44	52.89903001487255
ENSMUSG00000030759.17:B1	3	10.635419740355383	0.013869851488245858	0.007313172384138742	8.75480352720534	1197.1280133083278	True	19	38.26090934779495
ENSMUSG00000031284.17:B1	8	7.200944210975715	0.515115806506872	-0.012199529494920217	78.29638024084568	325587363.4721269	True	69	43.45922257285565
ENSMUSG00000039068.17:B1	2	5.743764027687442	0.05659231876525784	4.763484268046123e-07	5.957839271603481	12507313.84077239	True	28	36.614050227217376
ENSMUSG00000039234.12:B1	4	3.4331668303175222	0.48811296133496873	2.615737333309336e-06	79.22470110582464	30287712.797826078	True	52	39.466464664787054
ENSMUSG00000040479.13:B2	18	128.8328404323706	8.857243227879532e-19	0.00014509652657671845	373.71068426177055	2575600.485268505	True	76	47.32069482654333
ENSMUSG00000043987.19:B1	3	6.269789881755929	0.09919722039449883	5.244865092465293	45.781885512102164	8.728896683705333	True	26	38.90480939485133
ENSMUSG00000049321.18:B1	1	2.9949467816565023	0.08352465695117905	3.7766799013517547e-10	1.866432296737673	4941992293.468231	True	44	52.48408508207649
ENSMUSG00000053141.17:B4	5	1.4407607645200398	0.9198030978149583	-0.03729078163018727	115.0293018360965	16690.35252945282	True	46	45.518812959082425
ENSMUSG00000054640.16:B1	16	2911.2243753318835	0.0	-0.013198179031984475	64.99658493978785	74749533.64196058	True	35	47.73600384965539
ENSMUSG00000074794.11:B1	1	0.23159328552287084	0.6303449397065348	0.2525176364689557	13.637549629062047	54.00632533933381	True	25	38.0664941361174
ENSMUSG00000095562.9:B2	7	17.064143812461804	0.01698722005128243	-2.988001556321704e-14	256.8075631432612	2269058.8586179204	True	130	63.331658536568284
ENSMUSG00000120400.1:B1	2	0.008055320454425714	0.9959804399177139	-0.01196642865254249	16.288104871877604	2466273909880.2915	True	41	42.28167603909969
