comparison	method	k	overlap	overlap_fraction	shared_gene_pairs
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	25	16	0.64	742
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	50	30	0.6	742
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	100	85	0.85	742
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	139	139	1.0	742
Tealeaf EC GLMM vs LeafCutter	Tealeaf EC GLMM	139	139	1.0	742
Tealeaf EC GLMM vs LeafCutter	LeafCutter	25	16	0.64	742
Tealeaf EC GLMM vs LeafCutter	LeafCutter	50	33	0.66	742
Tealeaf EC GLMM vs LeafCutter	LeafCutter	100	80	0.8	742
Tealeaf EC GLMM vs LeafCutter	LeafCutter	139	139	1.0	742
Tealeaf EC GLMM vs LeafCutter	LeafCutter	139	139	1.0	742
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	25	18	0.72	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	50	28	0.56	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	100	48	0.48	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	200	115	0.575	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	Tealeaf EC GLMM	473	473	1.0	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	25	15	0.6	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	50	27	0.54	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	100	59	0.59	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	200	123	0.615	2481
Tealeaf EC GLMM vs MAJIQ Heterogen	MAJIQ Heterogen	473	473	1.0	2481
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	25	18	0.72	2531
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	50	28	0.56	2531
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	100	48	0.48	2531
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	200	112	0.56	2531
Tealeaf EC GLMM vs scQuint	Tealeaf EC GLMM	492	492	1.0	2531
Tealeaf EC GLMM vs scQuint	scQuint	25	16	0.64	2531
Tealeaf EC GLMM vs scQuint	scQuint	50	35	0.7	2531
Tealeaf EC GLMM vs scQuint	scQuint	100	63	0.63	2531
Tealeaf EC GLMM vs scQuint	scQuint	200	125	0.625	2531
Tealeaf EC GLMM vs scQuint	scQuint	492	492	1.0	2531
