subject	cell_type	primer	cells
A_1	ASC	poly(dT)	68
A_1	ASC	random hexamer	38
A_1	EX_cerebellum_granule	poly(dT)	186
A_1	EX_cerebellum_granule	random hexamer	168
A_1	EX_cortical	poly(dT)	164
A_1	EX_cortical	random hexamer	138
A_1	EX_hippocampus_granule	poly(dT)	26
A_1	EX_hippocampus_granule	random hexamer	14
A_1	EX_hippocampus_pyramidal	poly(dT)	16
A_1	EX_hippocampus_pyramidal	random hexamer	14
A_1	EX_thalamus	poly(dT)	20
A_1	EX_thalamus	random hexamer	6
A_1	INH_medium_spiny	poly(dT)	52
A_1	INH_medium_spiny	random hexamer	48
A_1	INH_midbrain	poly(dT)	82
A_1	INH_midbrain	random hexamer	42
A_1	INH_migrating_interneuron	poly(dT)	44
A_1	INH_migrating_interneuron	random hexamer	44
A_1	ODC	poly(dT)	70
A_1	ODC	random hexamer	68
A_2	ASC	poly(dT)	64
A_2	ASC	random hexamer	84
A_2	EX_cerebellum_granule	poly(dT)	58
A_2	EX_cerebellum_granule	random hexamer	46
A_2	EX_cortical	poly(dT)	776
A_2	EX_cortical	random hexamer	816
A_2	EX_hippocampus_granule	poly(dT)	70
A_2	EX_hippocampus_granule	random hexamer	94
A_2	EX_hippocampus_pyramidal	poly(dT)	92
A_2	EX_hippocampus_pyramidal	random hexamer	98
A_2	EX_thalamus	poly(dT)	90
A_2	EX_thalamus	random hexamer	74
A_2	INH_medium_spiny	poly(dT)	78
A_2	INH_medium_spiny	random hexamer	84
A_2	INH_midbrain	poly(dT)	146
A_2	INH_midbrain	random hexamer	192
A_2	INH_migrating_interneuron	poly(dT)	136
A_2	INH_migrating_interneuron	random hexamer	172
A_2	ODC	poly(dT)	50
A_2	ODC	random hexamer	50
A_4	ASC	poly(dT)	76
A_4	ASC	random hexamer	72
A_4	EX_cerebellum_granule	poly(dT)	32
A_4	EX_cerebellum_granule	random hexamer	32
A_4	EX_cortical	poly(dT)	224
A_4	EX_cortical	random hexamer	272
A_4	EX_hippocampus_granule	poly(dT)	28
A_4	EX_hippocampus_granule	random hexamer	12
A_4	EX_hippocampus_pyramidal	poly(dT)	22
A_4	EX_hippocampus_pyramidal	random hexamer	12
A_4	EX_thalamus	poly(dT)	2
A_4	EX_thalamus	random hexamer	2
A_4	INH_medium_spiny	poly(dT)	56
A_4	INH_medium_spiny	random hexamer	64
A_4	INH_midbrain	poly(dT)	68
A_4	INH_midbrain	random hexamer	72
A_4	INH_migrating_interneuron	poly(dT)	28
A_4	INH_migrating_interneuron	random hexamer	40
A_4	ODC	poly(dT)	20
A_4	ODC	random hexamer	34
A_5	ASC	poly(dT)	12
A_5	ASC	random hexamer	16
A_5	EX_cerebellum_granule	poly(dT)	4
A_5	EX_cortical	poly(dT)	179
A_5	EX_cortical	random hexamer	191
A_5	EX_hippocampus_granule	poly(dT)	3
A_5	EX_hippocampus_granule	random hexamer	2
A_5	EX_hippocampus_pyramidal	poly(dT)	19
A_5	EX_hippocampus_pyramidal	random hexamer	14
A_5	EX_thalamus	poly(dT)	4
A_5	EX_thalamus	random hexamer	8
A_5	INH_medium_spiny	poly(dT)	36
A_5	INH_medium_spiny	random hexamer	51
A_5	INH_midbrain	poly(dT)	87
A_5	INH_midbrain	random hexamer	57
A_5	INH_migrating_interneuron	poly(dT)	42
A_5	INH_migrating_interneuron	random hexamer	41
A_5	ODC	poly(dT)	10
A_5	ODC	random hexamer	4
A_6	ASC	poly(dT)	6
A_6	ASC	random hexamer	20
A_6	EX_cerebellum_granule	poly(dT)	4
A_6	EX_cerebellum_granule	random hexamer	2
A_6	EX_cortical	poly(dT)	72
A_6	EX_cortical	random hexamer	64
A_6	EX_hippocampus_granule	poly(dT)	8
A_6	EX_hippocampus_granule	random hexamer	2
A_6	EX_hippocampus_pyramidal	poly(dT)	6
A_6	EX_hippocampus_pyramidal	random hexamer	10
A_6	EX_thalamus	random hexamer	2
A_6	INH_medium_spiny	poly(dT)	14
A_6	INH_medium_spiny	random hexamer	18
A_6	INH_midbrain	poly(dT)	20
A_6	INH_midbrain	random hexamer	18
A_6	INH_migrating_interneuron	poly(dT)	24
A_6	INH_migrating_interneuron	random hexamer	48
A_6	ODC	poly(dT)	12
A_6	ODC	random hexamer	14
A_7	ASC	poly(dT)	82
A_7	ASC	random hexamer	80
A_7	EX_cerebellum_granule	poly(dT)	26
A_7	EX_cerebellum_granule	random hexamer	26
A_7	EX_cortical	poly(dT)	446
A_7	EX_cortical	random hexamer	532
A_7	EX_hippocampus_granule	poly(dT)	56
A_7	EX_hippocampus_granule	random hexamer	76
A_7	EX_hippocampus_pyramidal	poly(dT)	76
A_7	EX_hippocampus_pyramidal	random hexamer	84
A_7	EX_thalamus	poly(dT)	60
A_7	EX_thalamus	random hexamer	46
A_7	INH_medium_spiny	poly(dT)	42
A_7	INH_medium_spiny	random hexamer	38
A_7	INH_midbrain	poly(dT)	82
A_7	INH_midbrain	random hexamer	118
A_7	INH_migrating_interneuron	poly(dT)	186
A_7	INH_migrating_interneuron	random hexamer	196
A_7	ODC	poly(dT)	110
A_7	ODC	random hexamer	94
A_8	ASC	poly(dT)	52
A_8	ASC	random hexamer	74
A_8	EX_cerebellum_granule	poly(dT)	150
A_8	EX_cerebellum_granule	random hexamer	120
A_8	EX_cortical	poly(dT)	306
A_8	EX_cortical	random hexamer	310
A_8	EX_hippocampus_granule	poly(dT)	30
A_8	EX_hippocampus_granule	random hexamer	32
A_8	EX_hippocampus_pyramidal	poly(dT)	26
A_8	EX_hippocampus_pyramidal	random hexamer	32
A_8	EX_thalamus	poly(dT)	20
A_8	EX_thalamus	random hexamer	6
A_8	INH_medium_spiny	poly(dT)	92
A_8	INH_medium_spiny	random hexamer	68
A_8	INH_midbrain	poly(dT)	116
A_8	INH_midbrain	random hexamer	114
A_8	INH_migrating_interneuron	poly(dT)	54
A_8	INH_migrating_interneuron	random hexamer	70
A_8	ODC	poly(dT)	60
A_8	ODC	random hexamer	90
A_9	ASC	poly(dT)	32
A_9	ASC	random hexamer	12
A_9	EX_cerebellum_granule	poly(dT)	20
A_9	EX_cerebellum_granule	random hexamer	16
A_9	EX_cortical	poly(dT)	120
A_9	EX_cortical	random hexamer	144
A_9	EX_hippocampus_granule	poly(dT)	6
A_9	EX_hippocampus_granule	random hexamer	4
A_9	EX_hippocampus_pyramidal	poly(dT)	12
A_9	EX_hippocampus_pyramidal	random hexamer	14
A_9	EX_thalamus	poly(dT)	6
A_9	EX_thalamus	random hexamer	14
A_9	INH_medium_spiny	poly(dT)	22
A_9	INH_medium_spiny	random hexamer	34
A_9	INH_midbrain	poly(dT)	30
A_9	INH_midbrain	random hexamer	24
A_9	INH_migrating_interneuron	poly(dT)	44
A_9	INH_migrating_interneuron	random hexamer	54
A_9	ODC	poly(dT)	8
A_9	ODC	random hexamer	12
B_1	ASC	poly(dT)	72
B_1	ASC	random hexamer	60
B_1	EX_cerebellum_granule	poly(dT)	38
B_1	EX_cerebellum_granule	random hexamer	40
B_1	EX_cortical	poly(dT)	348
B_1	EX_cortical	random hexamer	328
B_1	EX_hippocampus_granule	poly(dT)	4
B_1	EX_hippocampus_granule	random hexamer	12
B_1	EX_hippocampus_pyramidal	poly(dT)	8
B_1	EX_hippocampus_pyramidal	random hexamer	10
B_1	EX_thalamus	poly(dT)	30
B_1	EX_thalamus	random hexamer	20
B_1	INH_medium_spiny	poly(dT)	138
B_1	INH_medium_spiny	random hexamer	158
B_1	INH_midbrain	poly(dT)	126
B_1	INH_midbrain	random hexamer	136
B_1	INH_migrating_interneuron	poly(dT)	56
B_1	INH_migrating_interneuron	random hexamer	82
B_1	ODC	poly(dT)	36
B_1	ODC	random hexamer	44
B_2	ASC	poly(dT)	28
B_2	ASC	random hexamer	58
B_2	EX_cerebellum_granule	poly(dT)	40
B_2	EX_cerebellum_granule	random hexamer	20
B_2	EX_cortical	poly(dT)	180
B_2	EX_cortical	random hexamer	187
B_2	EX_hippocampus_granule	poly(dT)	38
B_2	EX_hippocampus_granule	random hexamer	30
B_2	EX_hippocampus_pyramidal	poly(dT)	20
B_2	EX_hippocampus_pyramidal	random hexamer	20
B_2	EX_thalamus	poly(dT)	6
B_2	EX_thalamus	random hexamer	10
B_2	INH_medium_spiny	poly(dT)	84
B_2	INH_medium_spiny	random hexamer	86
B_2	INH_midbrain	poly(dT)	98
B_2	INH_midbrain	random hexamer	90
B_2	INH_migrating_interneuron	poly(dT)	50
B_2	INH_migrating_interneuron	random hexamer	46
B_2	ODC	poly(dT)	76
B_2	ODC	random hexamer	82
B_3	ASC	poly(dT)	60
B_3	ASC	random hexamer	60
B_3	EX_cerebellum_granule	poly(dT)	24
B_3	EX_cerebellum_granule	random hexamer	20
