test_id	cell_type	path	path_number	n_subjects	mean_proportion	sd_proportion	se_proportion
ENSMUSG00000020886.18:B1	ASC	Path 1	1	16	0.17717650867366017	0.02563030417431538	0.006407576043578845
ENSMUSG00000020886.18:B1	ASC	Path 2	2	16	0.14488398243292316	0.010996522290672038	0.0027491305726680096
ENSMUSG00000020886.18:B1	ASC	Path 3	3	16	0.22936204478911493	0.03335408867475972	0.00833852216868993
ENSMUSG00000020886.18:B1	ASC	Path 4	4	16	0.14576931648977426	0.01128189564427127	0.0028204739110678175
ENSMUSG00000020886.18:B1	ASC	Path 5	5	16	0.14694565595152626	0.010181836741649155	0.0025454591854122887
ENSMUSG00000020886.18:B1	ASC	Path 6	6	16	0.15586249166300103	0.02353660818962992	0.00588415204740748
ENSMUSG00000020886.18:B1	EX_cerebellum_granule	Path 1	1	11	0.1965742961943783	0.05754889655443862	0.017351645179095418
ENSMUSG00000020886.18:B1	EX_cerebellum_granule	Path 2	2	11	0.14348335239120324	0.015799938105346512	0.00476386058238847
ENSMUSG00000020886.18:B1	EX_cerebellum_granule	Path 3	3	11	0.17917180292465826	0.02632415121092705	0.007937030226474979
ENSMUSG00000020886.18:B1	EX_cerebellum_granule	Path 4	4	11	0.1462477366284516	0.011951552112827403	0.003603528547329802
ENSMUSG00000020886.18:B1	EX_cerebellum_granule	Path 5	5	11	0.1497048320756193	0.010708618128044415	0.0032287698503564856
ENSMUSG00000020886.18:B1	EX_cerebellum_granule	Path 6	6	11	0.18481797978568906	0.03682835304242089	0.011104166244404894
ENSMUSG00000020886.18:B1	EX_cortical	Path 1	1	39	0.12983120847680857	0.029563447351459368	0.004733940244503082
ENSMUSG00000020886.18:B1	EX_cortical	Path 2	2	39	0.1048436363574515	0.02435734329549604	0.0039002964135044977
ENSMUSG00000020886.18:B1	EX_cortical	Path 3	3	39	0.43004645776852385	0.10737086444134554	0.01719309829544894
ENSMUSG00000020886.18:B1	EX_cortical	Path 4	4	39	0.10566732420195801	0.025343155129275118	0.004058152642446749
ENSMUSG00000020886.18:B1	EX_cortical	Path 5	5	39	0.10807786505290902	0.025587168195063105	0.004097226004175699
ENSMUSG00000020886.18:B1	EX_cortical	Path 6	6	39	0.12153350814234887	0.03329449850667137	0.005331386577739517
ENSMUSG00000020886.18:B1	INH_medium_spiny	Path 1	1	20	0.15309879056804157	0.022861384400625927	0.005111960957955286
ENSMUSG00000020886.18:B1	INH_medium_spiny	Path 2	2	20	0.12125520805558673	0.0191853523766815	0.004289975208654698
ENSMUSG00000020886.18:B1	INH_medium_spiny	Path 3	3	20	0.34947947649265326	0.08325216791819016	0.018615750673930034
ENSMUSG00000020886.18:B1	INH_medium_spiny	Path 4	4	20	0.12227901142505586	0.01902056280832509	0.00425312714097192
ENSMUSG00000020886.18:B1	INH_medium_spiny	Path 5	5	20	0.12340745117837978	0.018894819544447057	0.004225010092397522
ENSMUSG00000020886.18:B1	INH_medium_spiny	Path 6	6	20	0.13048006228028264	0.021875718052306824	0.004891559262157736
ENSMUSG00000020886.18:B1	INH_midbrain	Path 1	1	16	0.1473921031229967	0.027537485395287237	0.006884371348821809
ENSMUSG00000020886.18:B1	INH_midbrain	Path 2	2	16	0.13125480230548922	0.011008991196928363	0.002752247799232091
ENSMUSG00000020886.18:B1	INH_midbrain	Path 3	3	16	0.3111521127357289	0.05609442243657263	0.014023605609143158
ENSMUSG00000020886.18:B1	INH_midbrain	Path 4	4	16	0.13296329416386884	0.009701422891230166	0.0024253557228075414
ENSMUSG00000020886.18:B1	INH_midbrain	Path 5	5	16	0.13345146856304893	0.0083193173992495	0.002079829349812375
ENSMUSG00000020886.18:B1	INH_midbrain	Path 6	6	16	0.14378621910886719	0.018582400600275377	0.004645600150068844
ENSMUSG00000020886.18:B1	INH_migrating_interneuron	Path 1	1	13	0.14623630324164513	0.021361492964753082	0.005924612169606193
ENSMUSG00000020886.18:B1	INH_migrating_interneuron	Path 2	2	13	0.13450741091409546	0.008202876876494902	0.0022750687065015585
ENSMUSG00000020886.18:B1	INH_migrating_interneuron	Path 3	3	13	0.2933587874496314	0.03786914644247484	0.010503011481261365
ENSMUSG00000020886.18:B1	INH_migrating_interneuron	Path 4	4	13	0.13596232940933617	0.008078131378792859	0.00224047053047479
ENSMUSG00000020886.18:B1	INH_migrating_interneuron	Path 5	5	13	0.13744594687207762	0.007628216874560602	0.002115686698583685
ENSMUSG00000020886.18:B1	INH_migrating_interneuron	Path 6	6	13	0.15248922211321395	0.016055713119180578	0.004453053608872726
ENSMUSG00000021557.16:B1	ASC	Path 1	1	10	0.29480579036735044	0.01623754617970022	0.005134762954001841
ENSMUSG00000021557.16:B1	ASC	Path 2	2	10	0.37588315567598574	0.031643577833409466	0.010006577927039007
ENSMUSG00000021557.16:B1	ASC	Path 3	3	10	0.32931105395666377	0.021893052969446426	0.006923191231816343
ENSMUSG00000021557.16:B1	EX_cerebellum_granule	Path 1	1	7	0.29849912886761937	0.016593160873806925	0.0062716253052257625
ENSMUSG00000021557.16:B1	EX_cerebellum_granule	Path 2	2	7	0.32603078220944587	0.03369841514718271	0.012736803722351074
ENSMUSG00000021557.16:B1	EX_cerebellum_granule	Path 3	3	7	0.37547008892293476	0.029355825211085183	0.011095459005658797
ENSMUSG00000021557.16:B1	EX_cortical	Path 1	1	47	0.16654872346270103	0.08223651435727138	0.011995428467539874
ENSMUSG00000021557.16:B1	EX_cortical	Path 2	2	47	0.6385197405324028	0.1682242802848249	0.024538033213485414
ENSMUSG00000021557.16:B1	EX_cortical	Path 3	3	47	0.1949315360048961	0.08826133381600487	0.012874238706664385
ENSMUSG00000021557.16:B1	EX_hippocampus_granule	Path 1	1	8	0.26592652914129356	0.04794687629166518	0.016951780681274474
ENSMUSG00000021557.16:B1	EX_hippocampus_granule	Path 2	2	8	0.449758491378359	0.08077071050788001	0.02855675856068874
ENSMUSG00000021557.16:B1	EX_hippocampus_granule	Path 3	3	8	0.28431497948034745	0.03565597514951575	0.012606290909020806
ENSMUSG00000021557.16:B1	EX_hippocampus_pyramidal	Path 1	1	6	0.2896471613272306	0.01925581602028426	0.007861153971767716
ENSMUSG00000021557.16:B1	EX_hippocampus_pyramidal	Path 2	2	6	0.4077410336324925	0.046367123068026435	0.018929298726249343
ENSMUSG00000021557.16:B1	EX_hippocampus_pyramidal	Path 3	3	6	0.30261180504027685	0.031999158647568374	0.013063601814151728
ENSMUSG00000021557.16:B1	EX_thalamus	Path 1	1	5	0.28835677786948094	0.027800137078197236	0.01243259925813228
ENSMUSG00000021557.16:B1	EX_thalamus	Path 2	2	5	0.4108467148885075	0.04922582578776216	0.022014458541999665
ENSMUSG00000021557.16:B1	EX_thalamus	Path 3	3	5	0.30079650724201146	0.023109739747812427	0.010334989803687486
ENSMUSG00000021557.16:B1	INH_medium_spiny	Path 1	1	27	0.2615365424111796	0.056240119714347864	0.010823416085445172
ENSMUSG00000021557.16:B1	INH_medium_spiny	Path 2	2	27	0.4621309216140967	0.11486215230303849	0.022105231517286356
ENSMUSG00000021557.16:B1	INH_medium_spiny	Path 3	3	27	0.27633253597472374	0.06034986142288389	0.011614336246019543
ENSMUSG00000021557.16:B1	INH_midbrain	Path 1	1	27	0.2688777181611731	0.04186486453366556	0.008056896936033009
ENSMUSG00000021557.16:B1	INH_midbrain	Path 2	2	27	0.4420007367325945	0.0799570402025253	0.015387739561511236
ENSMUSG00000021557.16:B1	INH_midbrain	Path 3	3	27	0.2891215451062323	0.03978480518206204	0.0076565893271734456
ENSMUSG00000021557.16:B1	INH_migrating_interneuron	Path 1	1	35	0.2621100347608772	0.048079567594250104	0.008126930223557557
ENSMUSG00000021557.16:B1	INH_migrating_interneuron	Path 2	2	35	0.45568314232862317	0.0900681088343606	0.015224289079342191
ENSMUSG00000021557.16:B1	INH_migrating_interneuron	Path 3	3	35	0.2822068229104996	0.045384953645113184	0.007671457334764781
ENSMUSG00000021557.16:B1	ODC	Path 1	1	8	0.2850769173434138	0.018983842557506424	0.006711801902695281
ENSMUSG00000021557.16:B1	ODC	Path 2	2	8	0.4122361855078906	0.038216464052770675	0.013511560442343036
ENSMUSG00000021557.16:B1	ODC	Path 3	3	8	0.30268689714869557	0.02367476601206479	0.008370293795067905
ENSMUSG00000055254.16:B1	ASC	Path 1	1	31	0.3283444779846866	0.04786664755274111	0.008597103690719253
ENSMUSG00000055254.16:B1	ASC	Path 2	2	31	0.19211818267903263	0.04340205109535772	0.00779523849556324
ENSMUSG00000055254.16:B1	ASC	Path 3	3	31	0.47953733933628073	0.07935143838673779	0.014251939057709061
ENSMUSG00000055254.16:B1	EX_cerebellum_granule	Path 1	1	13	0.2568013027557131	0.041374305603070656	0.011475167718352944
ENSMUSG00000055254.16:B1	EX_cerebellum_granule	Path 2	2	13	0.3902753673799756	0.031778733334663016	0.008813834808263402
ENSMUSG00000055254.16:B1	EX_cerebellum_granule	Path 3	3	13	0.3529233298643112	0.040009088526952945	0.011096524628346682
ENSMUSG00000055254.16:B1	EX_cortical	Path 1	1	44	0.3923864000268498	0.07570277860795768	0.011412623283179041
ENSMUSG00000055254.16:B1	EX_cortical	Path 2	2	44	0.3525684770211168	0.08230291861199497	0.012407631826688425
ENSMUSG00000055254.16:B1	EX_cortical	Path 3	3	44	0.2550451229520333	0.06151732328755921	0.009274085429628475
ENSMUSG00000055254.16:B1	EX_hippocampus_pyramidal	Path 1	1	4	0.33426061475721297	0.040872905112706845	0.020436452556353422
ENSMUSG00000055254.16:B1	EX_hippocampus_pyramidal	Path 2	2	4	0.36198090048283665	0.04990108004077366	0.02495054002038683
ENSMUSG00000055254.16:B1	EX_hippocampus_pyramidal	Path 3	3	4	0.3037584847599503	0.022447302998710877	0.011223651499355438
ENSMUSG00000055254.16:B1	EX_thalamus	Path 1	1	4	0.34446128444947566	0.029609031345898783	0.014804515672949391
ENSMUSG00000055254.16:B1	EX_thalamus	Path 2	2	4	0.34237574529557613	0.023043376366628333	0.011521688183314166
ENSMUSG00000055254.16:B1	EX_thalamus	Path 3	3	4	0.3131629702549481	0.02607990934448791	0.013039954672243954
ENSMUSG00000055254.16:B1	INH_medium_spiny	Path 1	1	24	0.364385589684368	0.04584612337965544	0.009358300747069838
ENSMUSG00000055254.16:B1	INH_medium_spiny	Path 2	2	24	0.3507540395950295	0.06462560445439375	0.01319164626935003
ENSMUSG00000055254.16:B1	INH_medium_spiny	Path 3	3	24	0.2848603707206025	0.04010467152946806	0.008186331795760048
ENSMUSG00000055254.16:B1	INH_midbrain	Path 1	1	27	0.35490622338473005	0.0413885295626368	0.007965226228117047
ENSMUSG00000055254.16:B1	INH_midbrain	Path 2	2	27	0.3677590730386417	0.04325351678906055	0.008324143187187369
ENSMUSG00000055254.16:B1	INH_midbrain	Path 3	3	27	0.2773347035766282	0.036962489962021325	0.007113434509830617
ENSMUSG00000055254.16:B1	INH_migrating_interneuron	Path 1	1	35	0.3630795418718818	0.03952142019461644	0.006680339286078721
ENSMUSG00000055254.16:B1	INH_migrating_interneuron	Path 2	2	35	0.3573971579228118	0.048605605949493834	0.008215846934374483
ENSMUSG00000055254.16:B1	INH_migrating_interneuron	Path 3	3	35	0.27952330020530636	0.03305354272404885	0.005587068453416137
