event	subject	cell_type	primer	spliced_umis
Agtpbp1	A_1	ASC	poly(dT)	1
Agtpbp1	A_1	EX_cerebellum_granule	poly(dT)	4
Agtpbp1	A_1	EX_cerebellum_granule	random hexamer	4
Agtpbp1	A_1	EX_cortical	poly(dT)	6
Agtpbp1	A_1	EX_cortical	random hexamer	10
Agtpbp1	A_1	EX_thalamus	random hexamer	2
Agtpbp1	A_1	INH_medium_spiny	random hexamer	3
Agtpbp1	A_1	INH_midbrain	poly(dT)	1
Agtpbp1	A_1	INH_migrating_interneuron	poly(dT)	3
Agtpbp1	A_1	ODC	random hexamer	1
Agtpbp1	A_2	ASC	poly(dT)	2
Agtpbp1	A_2	ASC	random hexamer	1
Agtpbp1	A_2	EX_cerebellum_granule	poly(dT)	1
Agtpbp1	A_2	EX_cortical	poly(dT)	4
Agtpbp1	A_2	EX_cortical	random hexamer	4
Agtpbp1	A_2	EX_hippocampus_granule	random hexamer	4
Agtpbp1	A_2	EX_hippocampus_pyramidal	random hexamer	1
Agtpbp1	A_2	EX_thalamus	poly(dT)	3
Agtpbp1	A_2	INH_midbrain	poly(dT)	2
Agtpbp1	A_2	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	A_2	INH_migrating_interneuron	random hexamer	7
Agtpbp1	A_4	ASC	poly(dT)	6
Agtpbp1	A_4	ASC	random hexamer	1
Agtpbp1	A_4	EX_cerebellum_granule	random hexamer	1
Agtpbp1	A_4	EX_cortical	poly(dT)	6
Agtpbp1	A_4	EX_cortical	random hexamer	7
Agtpbp1	A_4	INH_medium_spiny	poly(dT)	2
Agtpbp1	A_4	INH_midbrain	poly(dT)	1
Agtpbp1	A_4	INH_midbrain	random hexamer	3
Agtpbp1	A_5	EX_cortical	poly(dT)	1
Agtpbp1	A_5	EX_cortical	random hexamer	1
Agtpbp1	A_5	EX_thalamus	random hexamer	2
Agtpbp1	A_5	INH_medium_spiny	random hexamer	7
Agtpbp1	A_6	EX_cortical	random hexamer	3
Agtpbp1	A_6	INH_migrating_interneuron	random hexamer	2
Agtpbp1	A_7	ASC	poly(dT)	1
Agtpbp1	A_7	ASC	random hexamer	1
Agtpbp1	A_7	EX_cerebellum_granule	poly(dT)	2
Agtpbp1	A_7	EX_cortical	poly(dT)	7
Agtpbp1	A_7	EX_cortical	random hexamer	32
Agtpbp1	A_7	EX_hippocampus_granule	poly(dT)	2
Agtpbp1	A_7	EX_thalamus	poly(dT)	1
Agtpbp1	A_7	INH_medium_spiny	poly(dT)	5
Agtpbp1	A_7	INH_midbrain	random hexamer	1
Agtpbp1	A_7	INH_migrating_interneuron	random hexamer	2
Agtpbp1	A_7	ODC	poly(dT)	1
Agtpbp1	A_7	ODC	random hexamer	2
Agtpbp1	A_8	ASC	poly(dT)	4
Agtpbp1	A_8	ASC	random hexamer	2
Agtpbp1	A_8	EX_cerebellum_granule	poly(dT)	19
Agtpbp1	A_8	EX_cerebellum_granule	random hexamer	4
Agtpbp1	A_8	EX_cortical	poly(dT)	12
Agtpbp1	A_8	EX_cortical	random hexamer	21
Agtpbp1	A_8	EX_hippocampus_granule	random hexamer	1
Agtpbp1	A_8	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	A_8	EX_hippocampus_pyramidal	random hexamer	5
Agtpbp1	A_8	INH_medium_spiny	poly(dT)	2
Agtpbp1	A_8	INH_medium_spiny	random hexamer	4
Agtpbp1	A_8	INH_midbrain	poly(dT)	4
Agtpbp1	A_8	INH_midbrain	random hexamer	4
Agtpbp1	A_8	INH_migrating_interneuron	poly(dT)	11
Agtpbp1	A_8	INH_migrating_interneuron	random hexamer	5
Agtpbp1	A_8	ODC	random hexamer	4
Agtpbp1	A_9	EX_cortical	poly(dT)	1
Agtpbp1	A_9	EX_cortical	random hexamer	2
Agtpbp1	A_9	INH_medium_spiny	poly(dT)	1
Agtpbp1	A_9	INH_medium_spiny	random hexamer	3
Agtpbp1	A_9	INH_migrating_interneuron	random hexamer	3
Agtpbp1	B_1	ASC	poly(dT)	2
Agtpbp1	B_1	EX_cortical	poly(dT)	3
Agtpbp1	B_1	INH_midbrain	poly(dT)	2
Agtpbp1	B_1	ODC	random hexamer	1
Agtpbp1	B_2	EX_cerebellum_granule	poly(dT)	1
Agtpbp1	B_2	EX_cortical	random hexamer	4
Agtpbp1	B_2	EX_hippocampus_granule	random hexamer	5
Agtpbp1	B_2	EX_hippocampus_pyramidal	random hexamer	1
Agtpbp1	B_2	INH_medium_spiny	poly(dT)	2
Agtpbp1	B_2	INH_medium_spiny	random hexamer	2
Agtpbp1	B_2	INH_midbrain	poly(dT)	2
Agtpbp1	B_2	INH_midbrain	random hexamer	1
Agtpbp1	B_2	INH_migrating_interneuron	random hexamer	2
Agtpbp1	B_3	ASC	poly(dT)	1
Agtpbp1	B_3	ASC	random hexamer	4
Agtpbp1	B_3	EX_cerebellum_granule	poly(dT)	1
Agtpbp1	B_3	EX_cortical	poly(dT)	5
Agtpbp1	B_3	EX_cortical	random hexamer	7
Agtpbp1	B_4	EX_cortical	random hexamer	2
Agtpbp1	B_4	INH_migrating_interneuron	poly(dT)	2
Agtpbp1	B_5	ASC	poly(dT)	2
Agtpbp1	B_5	ASC	random hexamer	2
Agtpbp1	B_5	EX_cerebellum_granule	poly(dT)	2
Agtpbp1	B_5	EX_cortical	poly(dT)	3
Agtpbp1	B_5	EX_cortical	random hexamer	1
Agtpbp1	B_5	INH_medium_spiny	poly(dT)	1
Agtpbp1	B_5	INH_medium_spiny	random hexamer	1
Agtpbp1	B_6	EX_cortical	random hexamer	3
Agtpbp1	B_6	INH_medium_spiny	poly(dT)	1
Agtpbp1	B_6	INH_midbrain	poly(dT)	1
Agtpbp1	B_6	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	B_7	EX_cerebellum_granule	random hexamer	1
Agtpbp1	B_7	EX_cortical	poly(dT)	1
Agtpbp1	B_7	EX_cortical	random hexamer	8
Agtpbp1	B_7	INH_medium_spiny	poly(dT)	2
Agtpbp1	B_7	INH_medium_spiny	random hexamer	1
Agtpbp1	B_7	INH_midbrain	random hexamer	2
Agtpbp1	B_8	ASC	poly(dT)	1
Agtpbp1	B_8	EX_cortical	random hexamer	1
Agtpbp1	B_8	EX_hippocampus_granule	poly(dT)	1
Agtpbp1	B_8	EX_thalamus	random hexamer	1
Agtpbp1	B_8	INH_migrating_interneuron	random hexamer	1
Agtpbp1	C_1	ASC	random hexamer	2
Agtpbp1	C_1	EX_cerebellum_granule	poly(dT)	5
Agtpbp1	C_1	EX_cerebellum_granule	random hexamer	4
Agtpbp1	C_1	EX_cortical	poly(dT)	8
Agtpbp1	C_1	EX_cortical	random hexamer	3
Agtpbp1	C_1	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	C_1	INH_medium_spiny	random hexamer	1
Agtpbp1	C_1	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	C_2	ASC	random hexamer	1
Agtpbp1	C_2	EX_cerebellum_granule	poly(dT)	2
Agtpbp1	C_2	EX_cortical	poly(dT)	22
Agtpbp1	C_2	EX_cortical	random hexamer	3
Agtpbp1	C_2	EX_hippocampus_granule	poly(dT)	4
Agtpbp1	C_2	EX_hippocampus_pyramidal	poly(dT)	2
Agtpbp1	C_2	INH_medium_spiny	random hexamer	2
Agtpbp1	C_2	INH_migrating_interneuron	random hexamer	3
Agtpbp1	C_3	EX_cortical	poly(dT)	5
Agtpbp1	C_3	EX_cortical	random hexamer	5
Agtpbp1	C_3	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	C_3	INH_migrating_interneuron	random hexamer	1
Agtpbp1	C_4	ASC	poly(dT)	1
Agtpbp1	C_4	ASC	random hexamer	4
Agtpbp1	C_4	EX_cerebellum_granule	poly(dT)	8
Agtpbp1	C_4	EX_cerebellum_granule	random hexamer	1
Agtpbp1	C_4	EX_cortical	poly(dT)	25
Agtpbp1	C_4	EX_cortical	random hexamer	9
Agtpbp1	C_4	EX_hippocampus_granule	random hexamer	2
Agtpbp1	C_4	EX_hippocampus_pyramidal	poly(dT)	1
Agtpbp1	C_4	EX_hippocampus_pyramidal	random hexamer	3
Agtpbp1	C_4	EX_thalamus	random hexamer	1
Agtpbp1	C_4	INH_medium_spiny	random hexamer	3
Agtpbp1	C_4	INH_midbrain	poly(dT)	2
Agtpbp1	C_5	ASC	poly(dT)	8
Agtpbp1	C_5	ASC	random hexamer	1
Agtpbp1	C_5	EX_cerebellum_granule	poly(dT)	5
Agtpbp1	C_5	EX_cerebellum_granule	random hexamer	5
Agtpbp1	C_5	EX_cortical	poly(dT)	21
Agtpbp1	C_5	EX_cortical	random hexamer	6
Agtpbp1	C_5	EX_hippocampus_pyramidal	poly(dT)	2
Agtpbp1	C_5	INH_medium_spiny	random hexamer	2
Agtpbp1	C_5	INH_midbrain	poly(dT)	3
Agtpbp1	C_5	INH_midbrain	random hexamer	3
Agtpbp1	C_5	INH_migrating_interneuron	poly(dT)	1
Agtpbp1	C_5	INH_migrating_interneuron	random hexamer	2
Agtpbp1	C_5	ODC	poly(dT)	1
Agtpbp1	C_5	ODC	random hexamer	1
Agtpbp1	C_6	ASC	poly(dT)	8
Agtpbp1	C_6	ASC	random hexamer	1
Agtpbp1	C_6	EX_cerebellum_granule	poly(dT)	1
Agtpbp1	C_6	EX_cerebellum_granule	random hexamer	3
Agtpbp1	C_6	EX_cortical	poly(dT)	28
Agtpbp1	C_6	EX_cortical	random hexamer	15
Agtpbp1	C_6	EX_hippocampus_granule	poly(dT)	4
Agtpbp1	C_6	EX_hippocampus_granule	random hexamer	2
Agtpbp1	C_6	EX_thalamus	random hexamer	1
Agtpbp1	C_6	INH_medium_spiny	poly(dT)	1
Agtpbp1	C_6	INH_medium_spiny	random hexamer	6
