replicate	selected_strength	assessment_0_rejection_0.05	assessment_0_bh_0.05
0	2.0	0.049686509809209196	0
1	4.0	0.050697768489179534	0
2	2.0	0.04833816490258208	0
3	2.0	0.05258545135845749	0
4	2.0	0.04941684082788377	0
5	32.0	0.051304523697161736	0
6	2.0	0.04779882693993123	0
7	2.0	0.04537180610800243	0
8	2.0	0.05036068226252275	0
9	2.0	0.049012337355895635	0
10	2.0	0.04941684082788377	0
11	2.0	0.047933661430593945	0
12	8.0	0.05184386165981258	0
13	2.0	0.05191127890514394	0
14	2.0	0.048607833883907506	0
15	2.0	0.04975392705454055	0
16	2.0	0.05009101328119733	0
17	8.0	0.04887750286523292	0
18	4.0	0.05002359603586597	0
19	128.0	0.05042809950785411	0
20	4.0	0.051304523697161736	0
21	2.0	0.0509000202251736	0
22	2.0	0.050225847771860045	0
23	4.0	0.051776444414481225	0
24	2.0	0.04867525112923886	0
25	4.0	0.05204611339580665	0
26	8.0	0.048472999393244794	0
27	2.0	0.05164160992381851	0
28	2.0	0.051709027169149865	0
29	2.0	0.05036068226252275	0
30	2.0	0.04988876154520326	0
31	2.0	0.04806849592125666	0
