replicate	selected_strength	assessment_0_rejection_0.05	assessment_0_bh_0.05
0	2.0	0.05221785513756317	0
1	2.0	0.0381807973048849	0
2	32.0	0.05221785513756317	0
3	2.0	0.047164514317798986	0
4	2.0	0.05053340819764177	0
5	4.0	0.05446378439079169	0
6	32.0	0.055025266704098824	0
7	256.0	0.05446378439079169	0
8	2.0	0.05558674901740595	0
9	2.0	0.044918585064570464	0
10	2.0	0.04660303200449186	0
11	4.0	0.058394160583941604	0
12	2.0	0.041549691184727684	0
13	256.0	0.04884896125772038	0
14	4.0	0.05165637282425604	0
15	2.0	0.04997192588433464	0
16	32.0	0.04604154969118473	0
17	2.0	0.04042672655811342	0
18	128.0	0.05614823133071308	0
19	2.0	0.04267265581134194	0
20	4.0	0.06344750140370578	0
21	128.0	0.043795620437956206	0
22	2.0	0.05446378439079169	0
23	2.0	0.057271195957327346	0
24	256.0	0.04660303200449186	0
25	32.0	0.05783267827063447	0
26	8.0	0.05053340819764177	0
27	4.0	0.05053340819764177	0
28	2.0	0.04997192588433464	0
29	128.0	0.05614823133071308	0
30	2.0	0.058955642897248736	0
31	2.0	0.03705783267827063	0
