replicate	selected_strength	assessment_0_rejection_0.05	assessment_0_bh_0.05
0	2.0	0.04815763895025183	0
1	2.0	0.04895290271273306	0
2	2.0	0.04859945215163029	0
3	2.0	0.05010161703631705	0
4	2.0	0.05089688079879827	0
5	2.0	0.05116196871962534	0
6	2.0	0.051780507201555186	0
7	2.0	0.05001325439604135	0
8	2.0	0.0494830785543872	0
9	2.0	0.05027834231686843	0
10	2.0	0.045860210303083855	0
11	2.0	0.05381284792789608	0
12	2.0	0.04842272687107891	0
13	2.0	0.051338694000176724	0
14	2.0	0.05027834231686843	0
15	2.0	0.050189979676592736	0
16	2.0	0.050189979676592736	0
17	2.0	0.05036670495714412	0
18	2.0	0.04700892462666784	0
19	2.0	0.048776177432181676	0
20	2.0	0.0505434302376955	0
21	2.0	0.056463727136166826	0
22	2.0	0.047715825748873376	0
23	2.0	0.050455067597419814	0
24	2.0	0.05443138640982593	0
25	2.0	0.04859945215163029	0
26	2.0	0.052664133604312095	0
27	2.0	0.04736237518777061	0
28	2.0	0.04930635327383582	0
29	2.0	0.04700892462666784	0
30	2.0	0.049394715914111514	0
31	2.0	0.050455067597419814	0
