analysis	null_replicates	shared_tests	spearman_log10_p	median_absolute_p_change	bh_32	bh_candidate	bh_shared	bh_gained	bh_lost	bh_jaccard
condition	64	14833	0.9999483156957995	0.0017821477760076032	0	0	0	0	0	1.0
condition	128	14833	0.9999061612371263	0.0022032916384124857	0	0	0	0	0	1.0
omnibus	64	1781	0.9997953484231967	0.0008829851339615669	583	586	582	4	1	0.9914821124361158
omnibus	128	1781	0.999411111522062	0.001031791664667301	583	585	582	3	1	0.9931740614334471
pairwise_fold0	64	7671	0.9999390985377928	0.0008883601891930271	1163	1167	1155	12	8	0.9829787234042553
pairwise_fold0	128	7671	0.9999069370391269	0.0009288459012657402	1163	1158	1150	8	13	0.982066609735269
pairwise_fold1	64	5140	0.9999277604926399	0.0011512070270104022	770	759	757	2	13	0.9805699481865285
pairwise_fold1	128	5140	0.9999070559721313	0.0016194305731670466	770	764	756	8	14	0.9717223650385605
pairwise_full	64	11462	0.9999050256638642	0.0007755166979205308	2225	2226	2214	12	11	0.989718372820742
pairwise_full	128	11462	0.9998351947789816	0.0014321557908553717	2225	2228	2214	14	11	0.9888343010272443
