analysis	null_replicates	events	eligible	nominal_0.05	fdr_0.05	null_rejection_0.05	null_rejection_0.01	null_rejection_0.001	null_mean_bh_0.05	null_max_bh_0.05	failures	calibration	moderate_variances	retain_uncertainty	minimum_path_pseudocount	median_path_pseudocount	maximum_path_pseudocount	null_families_with_bh	null_family_bh_rate
condition	32	14833	14833	1104	0	0.0499772466797006	0.0099545776309579	0.0009459482235555	0.0	0	0	empirical	False	False	2.0	2.0	2.0	0	0.0
condition	64	14833	14833	1107	0	0.0499919942021169	0.009975645520124	0.0009944043686374	0.0	0	0	empirical	False	False	2.0	2.0	2.0	0	0.0
condition	128	14833	14833	1102	0	0.0499951543854918	0.0100009269871233	0.0010054650104496	0.0	0	0	empirical	False	False	2.0	2.0	2.0	0	0.0
omnibus	32	1781	1781	732	583	0.0499894722066254	0.0099487647389107	0.0009475014037057	0.0	0	4	empirical	False	False	2.0	2.0	2.0	0	0.0
omnibus	64	1781	1781	738	586	0.0499719258843346	0.0100014037057832	0.000973820887142	0.0	0	4	empirical	False	False	2.0	2.0	2.0	0	0.0
omnibus	128	1781	1781	735	585	0.0499850856260527	0.0100014037057832	0.0009957537900056	0.03125	1	4	empirical	False	False	2.0	2.0	2.0	4	0.03125
pairwise_fold0	32	7671	7523	2123	1163	0.0500382161371793	0.0100026585138907	0.0010010966369799	0.0	0	0	empirical	True	False	2.0	2.0	2.0	0	0.0
pairwise_fold0	64	7671	7523	2119	1167	0.0500589857769506	0.0100317360095706	0.0010052505649342	0.0	0	0	empirical	True	False	2.0	2.0	2.0	0	0.0
pairwise_fold0	128	7671	7523	2126	1158	0.0500558703309849	0.0100327744915592	0.0010332895786255	0.1328125	2	0	empirical	True	False	2.0	2.0	2.0	15	0.1171875
pairwise_fold1	32	5140	5057	1397	770	0.0500111231955704	0.0100294146727308	0.0010010876013446	0.0	0	0	empirical	True	False	2.0	2.0	2.0	0	0.0
pairwise_fold1	64	5140	5057	1391	759	0.0501254449278228	0.0100726715443939	0.0010721524619339	0.0	0	0	empirical	True	False	2.0	2.0	2.0	0	0.0
pairwise_fold1	128	5140	5057	1385	764	0.0500497454024125	0.0100989346450464	0.001047434249555	0.046875	4	0	empirical	True	False	2.0	2.0	2.0	2	0.015625
pairwise_full	32	11462	11314	3531	2225	0.0499961331094219	0.0100262948559307	0.0009943432914972	0.0	0	0	empirical	True	False	2.0	2.0	2.0	0	0.0
pairwise_full	64	11462	11314	3524	2226	0.0499892279476754	0.01002767588828	0.0010040105179423	0.0	0	0	empirical	True	False	2.0	2.0	2.0	0	0.0
pairwise_full	128	11462	11314	3525	2228	0.0500223727240586	0.01002767588828	0.0010226544546579	0.015625	2	0	empirical	True	False	2.0	2.0	2.0	1	0.0078125
