alpha	fold0_eligible	fold1_eligible	fold0_bh	fold1_bh	fold0_null_rejection_0.05	fold1_null_rejection_0.05	fold_null_families_with_bh	fold_null_families	leafcutter_replicated_genes	majiq_replicated_genes	scquint_replicated_genes	leafcutter_heldout_replication	majiq_heldout_replication	scquint_heldout_replication
0	7295	4911	22	24	0.05013708	0.05009163	0	64	1	0	0	0.535294	0.000000	NA
0.5	7523	5058	465	258	0.05004652	0.05005066	0	64	11	14	17	0.757467	0.810883	0.836765
1	7523	5057	803	510	0.05003822	0.05004202	0	64	31	53	56	0.865295	0.807726	0.798565
2	7523	5057	1163	770	0.05003822	0.05001112	0	64	50	103	101	0.798840	0.810372	0.818525
4	7523	5057	1362	932	0.05003822	0.05001112	0	64	56	132	136	0.847235	0.850000	0.853447
8	7523	5057	1456	1022	0.04998422	0.04999876	0	64	70	141	147	0.857650	0.854552	0.864229
16	7523	5055	1471	1059	0.04998837	0.04998764	0	64	75	157	159	0.888611	0.902316	0.884012
32	7521	5053	1404	1054	0.05003490	0.05005690	0	64	78	161	161	0.897661	0.925372	0.912779
64	7520	5049	1282	1027	0.05003740	0.05005323	0	64	78	150	154	0.908187	0.919415	0.907066
128	7517	5048	1250	1004	0.05001995	0.04996409	0	64	77	147	148	0.890298	0.894646	0.879929
