test_id	feature_type	primer	n_features	fitted_delta	observed_delta
ENSMUSG00000000631.21:B1	exon	random hexamer	6	0.375178651814071	0.07690529106961956
ENSMUSG00000000631.21:B1	junction	poly(dT)	2	0.1888221269643754	0.008771929824561394
ENSMUSG00000000631.21:B1	junction	random hexamer	1	0.18324951315325136	0.0
ENSMUSG00000000631.21:B2	exon	random hexamer	2	0.08546609293898424	0.0671172833529439
ENSMUSG00000000631.21:B5	exon	random hexamer	5	0.2783226879712218	0.020563261336673366
ENSMUSG00000000826.17:B1	exon	random hexamer	2	0.06038434448989444	0.002176619919924496
ENSMUSG00000001248.16:B1	exon	random hexamer	1	0.07834265501579968	-0.0665018083206391
ENSMUSG00000001419.18:B3	exon	random hexamer	1	0.31344162112358487	-0.14937309742721622
ENSMUSG00000001419.18:B3	junction	random hexamer	2	0.39466626984481396	0.011876006441223814
ENSMUSG00000001472.18:B1	exon	random hexamer	2	0.12809077279621245	0.10984724924092983
ENSMUSG00000001472.18:B1	junction	poly(dT)	2	0.07790803947590763	0.0014488397861938266
ENSMUSG00000001472.18:B1	junction	random hexamer	3	0.13644148898645986	0.062094630515683154
ENSMUSG00000001911.17:B1	exon	random hexamer	3	0.11736821640067131	0.03624884886843365
ENSMUSG00000001911.17:B4	exon	poly(dT)	1	0.10029042064587342	-0.005576997621428801
ENSMUSG00000001911.17:B4	exon	random hexamer	1	0.08957056698569188	0.24607590834947088
ENSMUSG00000001911.17:B4	junction	poly(dT)	3	0.0795530470221803	0.003277927735429075
ENSMUSG00000001911.17:B4	junction	random hexamer	3	0.056073398360479774	-0.10352907908632326
ENSMUSG00000001986.17:B1	exon	random hexamer	2	0.08527572197374508	-0.008078160098257403
ENSMUSG00000002107.19:B1	exon	poly(dT)	2	0.05704449812441795	0.04661477492717187
ENSMUSG00000002107.19:B1	exon	random hexamer	3	0.0733738652019398	-0.09398767017392745
ENSMUSG00000002107.19:B1	junction	random hexamer	2	0.06140974114939916	-0.012363987657605182
ENSMUSG00000002265.18:B1	exon	poly(dT)	1	0.09714446139733253	0.10392673361969947
ENSMUSG00000002265.18:B1	exon	random hexamer	1	0.05446521738226814	0.10605601475275818
ENSMUSG00000002265.18:B1	junction	poly(dT)	2	0.09555838955528972	0.1047008547008547
