test_id	feature_type	primer	n_features	rank_correlation
ENSMUSG00000000631.21:B5	exon	random hexamer	5	0.2697366596101028
ENSMUSG00000001248.16:B1	exon	random hexamer	1	-0.5
ENSMUSG00000001419.18:B3	exon	random hexamer	1	-0.39999999999999997
ENSMUSG00000001419.18:B3	junction	random hexamer	3	0.6459549291242074
ENSMUSG00000001472.18:B1	exon	random hexamer	2	0.09999999999999992
ENSMUSG00000001472.18:B1	junction	random hexamer	3	-0.19999999999999998
ENSMUSG00000001911.17:B4	exon	poly(dT)	1	0.5
ENSMUSG00000001911.17:B4	exon	random hexamer	1	1.0
ENSMUSG00000001911.17:B4	junction	poly(dT)	3	0.6666666666666666
ENSMUSG00000001911.17:B4	junction	random hexamer	3	0.8333333333333334
ENSMUSG00000001986.17:B1	exon	random hexamer	2	0.44999999999999996
ENSMUSG00000001986.17:B1	junction	random hexamer	1	0.09999999999999999
ENSMUSG00000002107.19:B1	exon	poly(dT)	2	0.0
ENSMUSG00000002107.19:B1	exon	random hexamer	2	0.0
ENSMUSG00000002107.19:B1	junction	poly(dT)	1	1.0
ENSMUSG00000002107.19:B1	junction	random hexamer	1	0.7999999999999999
ENSMUSG00000002985.17:B1	exon	poly(dT)	2	0.9330127018922194
ENSMUSG00000002985.17:B1	exon	random hexamer	2	0.25
ENSMUSG00000003279.18:B1	exon	random hexamer	8	0.4553571428571429
ENSMUSG00000003279.18:B1	junction	random hexamer	8	0.40813066505351137
ENSMUSG00000003847.17:B2	exon	random hexamer	2	0.5
ENSMUSG00000003847.17:B2	junction	random hexamer	1	0.5
ENSMUSG00000004267.17:B1	exon	random hexamer	1	-0.6
ENSMUSG00000005045.17:B1	exon	poly(dT)	1	0.6
ENSMUSG00000005045.17:B1	exon	random hexamer	1	0.19999999999999998
ENSMUSG00000005417.18:B1	exon	random hexamer	1	0.6377481392176932
ENSMUSG00000005417.18:B3	exon	random hexamer	1	-0.7999999999999999
ENSMUSG00000005417.18:B3	junction	random hexamer	3	-0.13333333333333333
ENSMUSG00000005583.17:B2	exon	random hexamer	2	0.25
ENSMUSG00000005583.17:B2	junction	random hexamer	2	0.5
ENSMUSG00000005583.17:B3	exon	random hexamer	1	0.5
ENSMUSG00000005583.17:B3	junction	random hexamer	3	0.04465819873852043
ENSMUSG00000006575.15:B1	exon	random hexamer	1	0.0
ENSMUSG00000006575.15:B1	junction	random hexamer	2	0.44999999999999996
ENSMUSG00000006930.16:B1	exon	random hexamer	1	-0.7999999999999999
ENSMUSG00000008658.17:B1	exon	random hexamer	6	0.39999999999999997
ENSMUSG00000008658.17:B1	junction	random hexamer	4	0.26454972243679026
ENSMUSG00000008658.17:B4	exon	poly(dT)	2	-0.3
ENSMUSG00000009079.17:B1	exon	random hexamer	2	0.5
ENSMUSG00000009394.14:B1	exon	random hexamer	1	0.10714285714285716
ENSMUSG00000011751.17:B1	exon	random hexamer	19	0.21778235723013797
ENSMUSG00000011751.17:B1	junction	random hexamer	18	0.011111111111111127
ENSMUSG00000013033.17:B1	exon	random hexamer	2	0.05714285714285715
ENSMUSG00000013033.17:B1	junction	random hexamer	3	0.1238095238095238
ENSMUSG00000013033.17:B2	exon	random hexamer	1	-0.6
ENSMUSG00000013033.17:B2	junction	random hexamer	1	-0.08571428571428573
ENSMUSG00000013236.18:B1	exon	random hexamer	2	0.16071428571428575
ENSMUSG00000013236.18:B1	junction	random hexamer	2	0.12500000000000003
ENSMUSG00000014602.16:B1	exon	random hexamer	3	-0.36969696969696964
ENSMUSG00000014602.16:B1	junction	random hexamer	1	-0.18787878787878787
ENSMUSG00000015501.11:B1	exon	random hexamer	3	0.26666666666666666
ENSMUSG00000015501.11:B1	junction	random hexamer	3	-0.06666666666666667
ENSMUSG00000015968.19:B1	exon	poly(dT)	3	-0.16666666666666666
ENSMUSG00000015968.19:B1	exon	random hexamer	3	0.6666666666666666
ENSMUSG00000015968.19:B1	junction	poly(dT)	1	0.5
ENSMUSG00000015968.19:B1	junction	random hexamer	1	0.5
ENSMUSG00000017631.20:B1	exon	random hexamer	9	0.3333333333333333
ENSMUSG00000017631.20:B1	junction	random hexamer	7	0.11680894924057553
ENSMUSG00000017631.20:B2	exon	random hexamer	2	0.3999999999999999
ENSMUSG00000017670.17:B1	exon	random hexamer	2	-0.5142857142857143
ENSMUSG00000017670.17:B1	junction	random hexamer	1	-0.4285714285714286
ENSMUSG00000017740.18:B1	exon	poly(dT)	2	0.44999999999999996
ENSMUSG00000017740.18:B1	exon	random hexamer	2	-0.25
ENSMUSG00000017740.18:B1	junction	poly(dT)	2	0.19999999999999998
ENSMUSG00000017740.18:B1	junction	random hexamer	2	-0.35
ENSMUSG00000018750.15:B1	exon	random hexamer	2	0.25
ENSMUSG00000018750.15:B1	junction	random hexamer	1	0.5
ENSMUSG00000019302.17:B1	exon	poly(dT)	2	0.049999999999999996
ENSMUSG00000019302.17:B1	exon	random hexamer	2	0.05714285714285714
ENSMUSG00000019302.17:B1	junction	poly(dT)	1	-0.19999999999999998
ENSMUSG00000019302.17:B1	junction	random hexamer	1	-0.08571428571428573
ENSMUSG00000019302.17:B2	exon	poly(dT)	1	0.5
ENSMUSG00000019302.17:B2	exon	random hexamer	1	0.7999999999999999
ENSMUSG00000019302.17:B2	junction	poly(dT)	1	1.0
ENSMUSG00000019302.17:B2	junction	random hexamer	2	-0.1854101966249684
ENSMUSG00000020181.19:B1	exon	random hexamer	10	0.7
ENSMUSG00000020181.19:B1	junction	random hexamer	9	0.7073361559760488
ENSMUSG00000020220.17:B1	exon	random hexamer	1	0.5
ENSMUSG00000020220.17:B1	junction	random hexamer	1	0.5
ENSMUSG00000020297.11:B1	exon	random hexamer	1	-0.09999999999999999
ENSMUSG00000020315.19:B1	exon	poly(dT)	2	0.14285714285714285
ENSMUSG00000020315.19:B1	exon	random hexamer	2	0.4285714285714286
ENSMUSG00000020315.19:B1	junction	poly(dT)	1	-0.08571428571428573
ENSMUSG00000020315.19:B1	junction	random hexamer	2	0.005963204357773713
ENSMUSG00000020390.13:B1	exon	poly(dT)	2	0.0
ENSMUSG00000020390.13:B1	exon	random hexamer	2	0.8499999999999999
ENSMUSG00000020390.13:B1	junction	poly(dT)	1	0.19999999999999998
ENSMUSG00000020390.13:B1	junction	random hexamer	1	0.19999999999999998
ENSMUSG00000020524.17:B1	exon	random hexamer	1	0.28571428571428575
ENSMUSG00000020661.16:B1	exon	random hexamer	8	-0.5625
ENSMUSG00000020661.16:B1	junction	random hexamer	6	0.08333333333333333
ENSMUSG00000020827.19:B1	exon	random hexamer	2	0.4
ENSMUSG00000020827.19:B2	exon	random hexamer	1	0.7999999999999999
ENSMUSG00000020827.19:B2	junction	random hexamer	2	0.16458980337503154
ENSMUSG00000020859.17:B1	exon	poly(dT)	6	0.39999999999999997
ENSMUSG00000020859.17:B1	exon	random hexamer	6	0.3
ENSMUSG00000020859.17:B1	junction	poly(dT)	5	0.27999999999999997
ENSMUSG00000020859.17:B1	junction	random hexamer	5	0.5599999999999999
ENSMUSG00000020859.17:B2	exon	poly(dT)	3	-0.2333333333333333
ENSMUSG00000020859.17:B2	exon	random hexamer	3	-0.1569401310833123
ENSMUSG00000020859.17:B2	junction	poly(dT)	3	0.26666666666666666
ENSMUSG00000020859.17:B2	junction	random hexamer	3	0.5666666666666665
ENSMUSG00000020859.17:B3	exon	poly(dT)	1	-0.3
ENSMUSG00000020859.17:B3	exon	random hexamer	1	-1.0
ENSMUSG00000020859.17:B3	junction	poly(dT)	2	-0.023223304703363118
ENSMUSG00000020859.17:B3	junction	random hexamer	1	-1.0
ENSMUSG00000020863.16:B2	exon	poly(dT)	1	0.7999999999999999
ENSMUSG00000020863.16:B2	exon	random hexamer	1	0.7
ENSMUSG00000020863.16:B2	junction	poly(dT)	1	0.7999999999999999
ENSMUSG00000020863.16:B2	junction	random hexamer	1	-0.09999999999999999
ENSMUSG00000020866.18:B4	exon	random hexamer	1	0.5
ENSMUSG00000020866.18:B4	junction	random hexamer	1	-1.0
ENSMUSG00000020886.18:B1	exon	random hexamer	5	-0.07428571428571429
ENSMUSG00000020886.18:B1	junction	random hexamer	2	-0.5714285714285715
ENSMUSG00000020886.18:B2	exon	random hexamer	1	-0.7714285714285715
ENSMUSG00000020886.18:B2	junction	random hexamer	2	0.4285714285714286
ENSMUSG00000020894.17:B1	exon	random hexamer	1	-0.3142857142857143
ENSMUSG00000021071.18:B1	exon	random hexamer	2	0.6499999999999999
ENSMUSG00000021087.19:B1	exon	random hexamer	4	0.6571428571428573
ENSMUSG00000021087.19:B1	junction	random hexamer	4	0.4
ENSMUSG00000021244.16:B1	exon	random hexamer	1	-0.3142857142857143
ENSMUSG00000021268.19:B1	exon	poly(dT)	2	-0.04350320151972098
ENSMUSG00000021268.19:B1	exon	random hexamer	2	0.26363636363636367
ENSMUSG00000021268.19:B1	junction	poly(dT)	3	0.3411268398411
ENSMUSG00000021268.19:B1	junction	random hexamer	3	-0.19090909090909092
ENSMUSG00000021288.20:B1	exon	random hexamer	3	-0.14285714285714288
ENSMUSG00000021288.20:B1	junction	random hexamer	1	-0.6571428571428573
ENSMUSG00000021488.9:B1	exon	poly(dT)	2	-0.45615122580178913
ENSMUSG00000021488.9:B1	junction	poly(dT)	2	-0.297651691155779
ENSMUSG00000021488.9:B2	exon	poly(dT)	1	0.5428571428571429
ENSMUSG00000021488.9:B2	exon	random hexamer	1	-0.5
ENSMUSG00000021488.9:B2	junction	poly(dT)	1	0.08571428571428573
ENSMUSG00000021488.9:B2	junction	random hexamer	1	-0.5
ENSMUSG00000021488.9:B3	exon	poly(dT)	24	-0.21168664767069056
ENSMUSG00000021488.9:B3	exon	random hexamer	22	0.4772727272727273
ENSMUSG00000021488.9:B3	junction	poly(dT)	22	-0.24613467228740518
ENSMUSG00000021488.9:B3	junction	random hexamer	19	0.3684210526315789
ENSMUSG00000021557.16:B1	exon	poly(dT)	2	-0.009698277504679331
ENSMUSG00000021700.11:B1	exon	poly(dT)	2	0.0
ENSMUSG00000021700.11:B1	junction	poly(dT)	2	-0.5
ENSMUSG00000021843.18:B1	exon	poly(dT)	1	-0.7
ENSMUSG00000021843.18:B1	exon	random hexamer	1	-1.0
ENSMUSG00000021843.18:B2	exon	poly(dT)	1	1.0
ENSMUSG00000021843.18:B2	junction	poly(dT)	3	0.8333333333333334
ENSMUSG00000021843.18:B3	exon	poly(dT)	1	1.0
ENSMUSG00000021843.18:B3	junction	poly(dT)	3	0.3333333333333333
