bayes_factor	null_type	replicate	tests	bf_ge_1	bf_ge_10	bf_ge_100
mixture_log_bayes_factor	label_permutation	0	4436	406	23	10
mixture_log_bayes_factor	label_permutation	1	4428	436	31	11
mixture_log_bayes_factor	label_permutation	2	4437	408	27	15
mixture_log_bayes_factor	label_permutation	3	4436	424	26	6
mixture_log_bayes_factor	label_permutation	4	4438	411	27	12
mixture_log_bayes_factor	label_permutation	5	4445	438	33	16
mixture_log_bayes_factor	label_permutation	6	4428	403	27	12
mixture_log_bayes_factor	label_permutation	7	4434	410	31	12
mixture_log_bayes_factor	label_permutation	8	4440	428	22	7
mixture_log_bayes_factor	label_permutation	9	4433	413	31	11
mixture_log_bayes_factor	label_permutation	10	4437	408	25	10
mixture_log_bayes_factor	label_permutation	11	4438	421	26	13
mixture_log_bayes_factor	label_permutation	12	4431	424	29	9
mixture_log_bayes_factor	label_permutation	13	4435	403	27	12
mixture_log_bayes_factor	label_permutation	14	4439	429	26	13
mixture_log_bayes_factor	label_permutation	15	4447	419	30	16
mixture_log_bayes_factor	label_permutation	16	4441	413	31	13
mixture_log_bayes_factor	label_permutation	17	4439	422	28	12
mixture_log_bayes_factor	label_permutation	18	4429	421	30	11
mixture_log_bayes_factor	label_permutation	19	4439	425	22	13
mixture_log_bayes_factor	label_permutation	20	4434	418	24	13
mixture_log_bayes_factor	label_permutation	21	4440	405	32	14
mixture_log_bayes_factor	label_permutation	22	4432	442	34	15
mixture_log_bayes_factor	label_permutation	23	4442	432	23	11
mixture_log_bayes_factor	label_permutation	24	4437	435	31	13
mixture_log_bayes_factor	label_permutation	25	4441	435	28	15
mixture_log_bayes_factor	label_permutation	26	4441	443	33	13
mixture_log_bayes_factor	label_permutation	27	4434	429	39	17
mixture_log_bayes_factor	label_permutation	28	4438	413	24	10
mixture_log_bayes_factor	label_permutation	29	4436	391	31	12
mixture_log_bayes_factor	label_permutation	30	4437	433	28	16
mixture_log_bayes_factor	label_permutation	31	4433	436	21	8
mixture_log_bayes_factor	wild_cluster	0	4273	318	14	3
mixture_log_bayes_factor	wild_cluster	1	4273	306	15	6
mixture_log_bayes_factor	wild_cluster	2	4273	301	17	7
mixture_log_bayes_factor	wild_cluster	3	4273	314	15	3
mixture_log_bayes_factor	wild_cluster	4	4273	327	13	4
mixture_log_bayes_factor	wild_cluster	5	4273	314	15	3
mixture_log_bayes_factor	wild_cluster	6	4273	323	17	3
mixture_log_bayes_factor	wild_cluster	7	4273	324	11	6
mixture_log_bayes_factor	wild_cluster	8	4273	292	9	5
mixture_log_bayes_factor	wild_cluster	9	4273	324	14	4
mixture_log_bayes_factor	wild_cluster	10	4273	288	18	7
mixture_log_bayes_factor	wild_cluster	11	4273	316	19	7
mixture_log_bayes_factor	wild_cluster	12	4273	306	14	2
mixture_log_bayes_factor	wild_cluster	13	4273	317	13	3
mixture_log_bayes_factor	wild_cluster	14	4273	307	19	7
mixture_log_bayes_factor	wild_cluster	15	4273	304	17	7
mixture_log_bayes_factor	wild_cluster	16	4273	317	12	2
mixture_log_bayes_factor	wild_cluster	17	4273	338	12	3
mixture_log_bayes_factor	wild_cluster	18	4273	305	9	3
mixture_log_bayes_factor	wild_cluster	19	4273	286	9	3
mixture_log_bayes_factor	wild_cluster	20	4273	293	10	4
mixture_log_bayes_factor	wild_cluster	21	4273	315	14	5
mixture_log_bayes_factor	wild_cluster	22	4273	315	11	3
mixture_log_bayes_factor	wild_cluster	23	4273	336	15	6
mixture_log_bayes_factor	wild_cluster	24	4273	311	16	4
mixture_log_bayes_factor	wild_cluster	25	4273	303	9	1
mixture_log_bayes_factor	wild_cluster	26	4273	309	15	4
mixture_log_bayes_factor	wild_cluster	27	4273	303	17	5
