test_id	null_type	replicates	observed_statistic	empirical_p_value	observed_mixture_log_bayes_factor	empirical_bf_p_value
ENSMUSG00000000127.16:B1	label_permutation	32	0.4673265726131035	0.8181818181818182	-0.2654130642941303	0.8181818181818182
ENSMUSG00000000127.16:B1	wild_cluster	32	0.4673265726131035	0.21212121212121213	-0.2654130642941303	0.21212121212121213
ENSMUSG00000000127.16:B2	label_permutation	32	1.9422868433593976e-06	1.0	-6.136230412678856e-09	0.21212121212121213
ENSMUSG00000000127.16:B2	wild_cluster	32	1.9422868433593976e-06	0.06060606060606061	-6.136230412678856e-09	0.3333333333333333
ENSMUSG00000000127.16:B3	label_permutation	32	0.2015663741797482	0.8484848484848485	-0.2479322805184809	0.8484848484848485
ENSMUSG00000000127.16:B3	wild_cluster	32	0.2015663741797482	0.42424242424242425	-0.2479322805184809	0.3333333333333333
ENSMUSG00000000131.16:B1	label_permutation	32	7.138673909136855	0.48484848484848486	-0.0250842785327369	0.45454545454545453
ENSMUSG00000000131.16:B1	wild_cluster	32	7.138673909136855	0.06060606060606061	-0.0250842785327369	0.15151515151515152
ENSMUSG00000000142.16:B1	label_permutation	32	0.5811246554446967	0.9696969696969697	-0.8976357597857973	0.8484848484848485
ENSMUSG00000000142.16:B1	wild_cluster	32	0.5811246554446967	0.45454545454545453	-0.8976357597857973	0.45454545454545453
ENSMUSG00000000184.13:B1	label_permutation	32	2.657618410634882	0.696969696969697	-0.9256736657469368	0.696969696969697
ENSMUSG00000000184.13:B1	wild_cluster	32	2.657618410634882	0.8484848484848485	-0.9256736657469368	0.6666666666666666
ENSMUSG00000000223.14:B1	label_permutation	32	6.047674373164512	0.09090909090909091	-0.7143297027620203	0.06060606060606061
ENSMUSG00000000223.14:B1	wild_cluster	32	6.047674373164512	0.06060606060606061	-0.7143297027620203	0.030303030303030304
ENSMUSG00000000223.14:B2	label_permutation	32	5.686002943441849	0.09090909090909091	0.1863241045372929	0.030303030303030304
ENSMUSG00000000223.14:B2	wild_cluster	32	5.686002943441849	0.030303030303030304	0.1863241045372929	0.030303030303030304
ENSMUSG00000000223.14:B3	label_permutation	32	0.907703961008096	0.6666666666666666	-1.188150889013512	0.30303030303030304
ENSMUSG00000000223.14:B3	wild_cluster	32	0.907703961008096	0.45454545454545453	-1.188150889013512	0.36363636363636365
ENSMUSG00000000247.12:B1	label_permutation	32	0.4810690022868513	0.48484848484848486	-0.3352382718562103	0.48484848484848486
ENSMUSG00000000247.12:B1	wild_cluster	32	0.4810690022868513	0.42424242424242425	-0.3352382718562103	0.42424242424242425
ENSMUSG00000000266.12:B1	label_permutation	32	6.538796242239187e-07	0.7272727272727273	-1.556783178813248e-06	0.7575757575757576
ENSMUSG00000000266.12:B1	wild_cluster	32	6.538796242239187e-07	0.48484848484848486	-1.556783178813248e-06	0.030303030303030304
ENSMUSG00000000276.12:B1	label_permutation	32	0.274529637646097	0.8787878787878788	-1.2496791321447611	0.09090909090909091
ENSMUSG00000000276.12:B1	wild_cluster	32	0.274529637646097	0.9090909090909091	-1.2496791321447611	0.8181818181818182
ENSMUSG00000000308.15:B1	label_permutation	32	0.0106995386808819	1.0	-0.2103162551443451	0.6363636363636364
ENSMUSG00000000308.15:B1	wild_cluster	32	0.0106995386808819	0.7272727272727273	-0.2103162551443451	0.7575757575757576
ENSMUSG00000000378.16:B1	label_permutation	32	0.0064240628134939	0.7878787878787878	-5.323639270615743e-05	0.2727272727272727
ENSMUSG00000000378.16:B1	wild_cluster	32	0.0064240628134939	0.030303030303030304	-5.323639270615743e-05	0.030303030303030304
ENSMUSG00000000384.16:B1	label_permutation	32	2.9577265621583138e-05	1.0	-7.3690459068132e-08	0.6363636363636364
ENSMUSG00000000384.16:B1	wild_cluster	32	2.9577265621583138e-05	0.09090909090909091	-7.3690459068132e-08	0.09090909090909091
ENSMUSG00000000420.16:B2	label_permutation	32	0.0	1.0	-5.551115123125783e-15	0.030303030303030304
ENSMUSG00000000420.16:B2	wild_cluster	32	0.0	1.0	-5.551115123125783e-15	0.030303030303030304
ENSMUSG00000000440.13:B1	label_permutation	32	0.5290191535123085	0.3333333333333333	-0.0822176873761197	0.030303030303030304
ENSMUSG00000000440.13:B1	wild_cluster	32	0.5290191535123085	0.030303030303030304	-0.0822176873761197	0.030303030303030304
ENSMUSG00000000441.18:B1	label_permutation	32	0.0864810626831058	1.0	-0.3116335373034398	0.12121212121212122
ENSMUSG00000000441.18:B1	wild_cluster	32	0.0864810626831058	0.30303030303030304	-0.3116335373034398	0.42424242424242425
ENSMUSG00000000538.19:B1	label_permutation	31	11.457571396200136	0.96875	-0.9547981544668174	0.9375
ENSMUSG00000000538.19:B1	wild_cluster	32	11.457571396200136	0.8787878787878788	-0.9547981544668174	0.9696969696969697
ENSMUSG00000000538.19:B2	label_permutation	32	12.007153488866038	0.18181818181818182	0.0398504906414041	0.09090909090909091
ENSMUSG00000000538.19:B2	wild_cluster	32	12.007153488866038	0.12121212121212122	0.0398504906414041	0.09090909090909091
ENSMUSG00000000552.11:B1	label_permutation	32	3.338980858588912	0.696969696969697	-0.73425390754005	0.48484848484848486
ENSMUSG00000000552.11:B1	wild_cluster	32	3.338980858588912	0.21212121212121213	-0.73425390754005	0.2727272727272727
ENSMUSG00000000552.11:B2	label_permutation	32	2.5381037881438715	0.5757575757575758	-0.7335701587596029	0.5151515151515151
ENSMUSG00000000552.11:B2	wild_cluster	32	2.5381037881438715	0.15151515151515152	-0.7335701587596029	0.2727272727272727
ENSMUSG00000000605.10:B1	label_permutation	32	1.1942520891674349	0.9393939393939394	-1.1798337099087677	0.8484848484848485
ENSMUSG00000000605.10:B1	wild_cluster	32	1.1942520891674349	0.7272727272727273	-1.1798337099087677	0.6060606060606061
ENSMUSG00000000605.10:B2	label_permutation	32	0.0846011906583044	0.7272727272727273	-0.1397647111796285	0.24242424242424243
ENSMUSG00000000605.10:B2	wild_cluster	32	0.0846011906583044	0.12121212121212122	-0.1397647111796285	0.3333333333333333
ENSMUSG00000000605.10:B3	label_permutation	32	1.1943399413045768	0.9696969696969697	-1.1798175787357734	0.8484848484848485
ENSMUSG00000000605.10:B3	wild_cluster	32	1.1943399413045768	0.6363636363636364	-1.1798175787357734	0.5454545454545454
ENSMUSG00000000631.21:B4	label_permutation	32	5.334172216368302	0.7878787878787878	-2.138764379796916	0.9090909090909091
ENSMUSG00000000631.21:B4	wild_cluster	32	5.334172216368302	0.8181818181818182	-2.138764379796916	0.9393939393939394
ENSMUSG00000000632.14:B1	label_permutation	32	13.017620123130826	0.06060606060606061	0.7656080624585024	0.030303030303030304
ENSMUSG00000000632.14:B1	wild_cluster	32	13.017620123130826	0.030303030303030304	0.7656080624585024	0.030303030303030304
ENSMUSG00000000751.14:B1	label_permutation	32	9.159914270640002e-06	0.9696969696969697	-5.146899191288412e-07	0.2727272727272727
ENSMUSG00000000751.14:B1	wild_cluster	32	9.159914270640002e-06	0.8787878787878788	-5.146899191288412e-07	0.8787878787878788
ENSMUSG00000000826.17:B1	label_permutation	32	0.0	1.0	-4.440892098500626e-16	1.0
ENSMUSG00000000826.17:B1	wild_cluster	32	0.0	1.0	-4.440892098500626e-16	1.0
ENSMUSG00000000838.18:B1	label_permutation	32	1.4256846732902204	0.8181818181818182	-0.5356017072923515	0.45454545454545453
ENSMUSG00000000838.18:B1	wild_cluster	32	1.4256846732902204	0.696969696969697	-0.5356017072923515	0.5151515151515151
ENSMUSG00000000861.16:B1	label_permutation	32	7.874616579058738	0.18181818181818182	-1.3574777695935571	0.09090909090909091
ENSMUSG00000000861.16:B1	wild_cluster	32	7.874616579058738	0.09090909090909091	-1.3574777695935571	0.12121212121212122
ENSMUSG00000000881.13:B1	label_permutation	32	2.0503135213189125	0.24242424242424243	-0.7750611784435035	0.2727272727272727
ENSMUSG00000000881.13:B1	wild_cluster	32	2.0503135213189125	0.24242424242424243	-0.7750611784435035	0.36363636363636365
ENSMUSG00000001036.18:B1	label_permutation	32	18.80973587788702	0.06060606060606061	2.4548456891340287	0.030303030303030304
ENSMUSG00000001036.18:B1	wild_cluster	32	18.80973587788702	0.030303030303030304	2.4548456891340287	0.030303030303030304
ENSMUSG00000001062.19:B1	label_permutation	32	0.0702739848475175	1.0	-0.4360809921218975	0.7272727272727273
ENSMUSG00000001062.19:B1	wild_cluster	32	0.0702739848475175	0.9090909090909091	-0.4360809921218975	0.9090909090909091
ENSMUSG00000001089.15:B1	label_permutation	32	6.605026508144874	0.45454545454545453	-1.0728463318537975	0.45454545454545453
ENSMUSG00000001089.15:B1	wild_cluster	32	6.605026508144874	0.45454545454545453	-1.0728463318537975	0.48484848484848486
ENSMUSG00000001089.15:B2	label_permutation	32	4.99117017389824	0.42424242424242425	-1.0397375589540314	0.42424242424242425
ENSMUSG00000001089.15:B2	wild_cluster	32	4.99117017389824	0.5151515151515151	-1.0397375589540314	0.5757575757575758
ENSMUSG00000001120.16:B1	label_permutation	32	0.0109452759323822	1.0	-0.549063110997344	1.0
ENSMUSG00000001120.16:B1	wild_cluster	32	0.0109452759323822	0.9393939393939394	-0.549063110997344	0.9393939393939394
ENSMUSG00000001127.13:B1	label_permutation	32	1.8819224429933	0.7272727272727273	-1.03858533855666	0.6666666666666666
ENSMUSG00000001127.13:B1	wild_cluster	32	1.8819224429933	0.5454545454545454	-1.03858533855666	0.6363636363636364
ENSMUSG00000001131.12:B1	label_permutation	32	0.0	1.0	0.0	1.0
