test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000021843.18:B1	label_permutation	0.0042328586695192	0.007869589657110737	8894	8	all	0.18522528919262746
ENSMUSG00000021843.18:B2	label_permutation	8.049885380944383e-05	0.00044969083754918494	8894	8	all	0.050210144574976516
ENSMUSG00000021843.18:B3	label_permutation	0.004232817143913	0.007869589657110737	8894	8	all	0.18522528919262746
ENSMUSG00000021843.18:B4	label_permutation	8.049725247216175e-05	0.00044969083754918494	8894	8	all	0.050210144574976516
ENSMUSG00000021843.18:B5	label_permutation	0.0043032208406386	0.008094435075885328	8894	8	all	0.18608837187036237
ENSMUSG00000021843.18:B6	label_permutation	0.0167324699755484	0.055	1599	16	all	0.4773439452486687
ENSMUSG00000027346.16:B1	label_permutation	0.5493288644046987	0.28038926570333234	16954	4	all	0.8249347343587514
ENSMUSG00000027346.16:B2	label_permutation	0.1345089162750644	0.05697953162456205	16268	2	all	0.48184753899269467
ENSMUSG00000027346.16:B4	label_permutation	0.3999700873606562	0.19239043579814372	16268	2	all	0.7394962030146638
ENSMUSG00000040860.17:B1	label_permutation	0.9982807147883336	0.8335059018430316	4828	9	all	1.0
ENSMUSG00000040860.17:B2	label_permutation	0.5717146242538378	0.2530477972005418	15502	3	all	0.8034386518482209
ENSMUSG00000040860.17:B3	label_permutation	0.4419917229000104	0.18686705798877637	15502	3	all	0.7355737599174353
ENSMUSG00000020340.17:B1	label_permutation	0.0004050512953296	0.025325119780971937	1460	24	all	0.3370652847038884
ENSMUSG00000020340.17:B2	label_permutation	1.9824137080743915e-09	0.0010741138560687433	6516	12	all	0.06491131303161378
ENSMUSG00000026743.17:B1	label_permutation	0.8376854450973801	0.5831365935919056	8894	8	all	0.9923163945405419
ENSMUSG00000026743.17:B2	label_permutation	0.9258436755321048	0.5752875258035978	16954	4	all	0.9892155218752491
ENSMUSG00000031393.17:B1	label_permutation	0.7082296979090942	0.5204021289178001	1690	14	all	0.9667118032046942
ENSMUSG00000039713.18:B1	label_permutation	0.1417202301500242	0.06924211147154231	16954	4	all	0.5212975126275038
ENSMUSG00000039713.18:B2	label_permutation	0.3319654239550394	0.16107342966676497	16954	4	all	0.7006553726556927
ENSMUSG00000056158.15:B1	label_permutation	0.5619659892837487	0.28681804777351816	16954	4	all	0.8332150786779614
ENSMUSG00000056158.15:B2	label_permutation	0.1965762432749875	0.09109349068781117	16268	2	all	0.5811270903793032
ENSMUSG00000001558.6:B1	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000006262.16:B1	label_permutation	0.9957723812304228	0.6750951428755725	15502	3	all	1.0
ENSMUSG00000015837.16:B1	label_permutation	0.692052061579068	0.4507085454880069	16300	5	all	0.942919009515274
ENSMUSG00000020173.18:B1	label_permutation	0.4362871602523516	0.21303450309643174	16954	4	all	0.7616689411961013
ENSMUSG00000021061.16:B1	label_permutation	0.0073487035008043	0.026444484694801665	5520	7	all	0.34680274356349866
ENSMUSG00000022208.13:B1	label_permutation	0.1081084226239096	0.09196177627880832	8894	8	all	0.5858305748131493
ENSMUSG00000023805.18:B1	label_permutation	0.4508496153761179	0.2183293380047944	16268	2	all	0.7663044102044811
ENSMUSG00000024924.15:B2	label_permutation	0.6348206624174004	0.33140666470067826	16954	4	all	0.8686334226342727
ENSMUSG00000026113.18:B1	label_permutation	0.3332314934188888	0.21022727272727273	1231	15	all	0.7595345749938097
ENSMUSG00000027002.14:B1	label_permutation	0.5658895573445031	0.3456125233376418	13925	6	all	0.8842006993555778
ENSMUSG00000028165.10:B1	label_permutation	0.9470555358578032	0.552667225698252	15502	3	all	0.9819339822497349
ENSMUSG00000029168.15:B1	label_permutation	0.2221148830902501	0.10719773802938103	16268	2	all	0.6198159637858991
ENSMUSG00000030268.18:B1	label_permutation	0.6471597123926818	0.3279889266970413	17338	1	all	0.8665308666331631
ENSMUSG00000031644.20:B4	label_permutation	0.0537716932593176	0.021144507959923783	16268	2	all	0.29978530278488286
ENSMUSG00000032531.16:B1	label_permutation	0.9990455343500468	0.7379895034315704	17338	1	all	1.0
ENSMUSG00000034059.15:B1	label_permutation	0.9727956858431096	0.6481037556088266	16268	2	all	1.0
ENSMUSG00000035649.18:B1	label_permutation	0.6900564134004425	0.45868465430016864	8894	8	all	0.9449700598802394
ENSMUSG00000037386.17:B1	label_permutation	2.8893548440552297e-11	0.0004603345097437471	6516	12	all	0.050210144574976516
ENSMUSG00000040452.10:B1	label_permutation	0.8661415530605584	0.4696926004959917	17338	1	all	0.9468526141921377
ENSMUSG00000042359.19:B2	label_permutation	0.1516395468830898	0.07478619876142731	16954	4	all	0.5377376626871984
ENSMUSG00000046982.12:B1	label_permutation	0.9685742342077488	0.653258625774108	16954	4	all	1.0
ENSMUSG00000052248.18:B1	label_permutation	1.0	1.0	17338	1	all	1.0
ENSMUSG00000056492.7:B1	label_permutation	0.190525708926316	0.07670569236980218	17338	1	all	0.5431703197915928
ENSMUSG00000060780.3:B1	label_permutation	0.9986904214062716	0.712520744975106	16268	2	all	1.0
ENSMUSG00000068151.9:B1	label_permutation	0.4448033405128112	0.2763894872899612	13925	6	all	0.8185521769276202
ENSMUSG00000111375.6:B1	label_permutation	0.0500418882844408	0.05907626208378088	6516	12	all	0.48529122517117745
ENSMUSG00000005899.15:B1	label_permutation	0.9905861171069772	0.8051250575418137	6516	12	all	1.0
ENSMUSG00000005899.15:B2	label_permutation	0.7616752498086055	0.4786729857819905	13925	6	all	0.9505442239862617
ENSMUSG00000005899.15:B3	label_permutation	0.1400018028961595	0.05753725085467329	15502	3	all	0.48184753899269467
ENSMUSG00000005899.15:B4	label_permutation	0.7795541048642542	0.4921011058451817	13925	6	all	0.9559844245611001
ENSMUSG00000005899.15:B5	label_permutation	0.126530161988786	0.051925433787008965	15502	3	all	0.4721511514171175
ENSMUSG00000005899.15:B6	label_permutation	0.6471844258681037	0.4257610271277697	4828	9	all	0.931876488215696
ENSMUSG00000025576.18:B1	label_permutation	6.592143326570728e-11	0.0005913660555884093	1690	14	all	0.052381287042893625
ENSMUSG00000025576.18:B3	label_permutation	0.0004456112684196	0.004890418402463322	5520	7	all	0.14483411321732434
ENSMUSG00000025576.18:B4	label_permutation	1.6088082946348426e-07	0.0009056330374932077	5520	7	all	0.05967002688620398
ENSMUSG00000039137.19:B1	label_permutation	0.921386880895794	0.5705943819534083	16268	2	all	0.98773092754044
ENSMUSG00000013033.17:B1	label_permutation	0.0532896753350137	0.1606714628297362	416	22	all	0.7006553726556927
ENSMUSG00000013033.17:B2	label_permutation	0.078322945303979	0.10675381263616558	1376	11	all	0.6198159637858991
ENSMUSG00000024381.17:B1	label_permutation	0.3319134827597114	0.23215289488476673	8894	8	all	0.780481263832499
ENSMUSG00000024381.17:B3	label_permutation	0.0210327492567621	0.055	1599	16	all	0.4773439452486687
ENSMUSG00000030077.12:B1	label_permutation	0.5136301188761891	0.3274118611642525	7317	10	all	0.8665308666331631
ENSMUSG00000030077.12:B2	label_permutation	0.3973075610438779	0.2586344396049322	16300	5	all	0.8120210526315789
ENSMUSG00000037012.19:B1	label_permutation	0.9999964548847474	0.8854878382071604	7317	10	all	1.0
ENSMUSG00000037012.19:B2	label_permutation	0.3378836024599882	0.22133611434881295	16300	5	all	0.7684899870868723
ENSMUSG00000049044.17:B1	label_permutation	0.0674802484661924	0.1273100616016427	1460	24	all	0.6514080039846066
ENSMUSG00000049044.17:B2	label_permutation	0.0483818245765609	0.057848703391130886	6516	12	all	0.48355028329932215
ENSMUSG00000000266.12:B1	label_permutation	0.9999999999999466	0.9204364494249484	16954	4	all	1.0
ENSMUSG00000001627.13:B1	label_permutation	0.9370240562281844	0.5117942211200185	17338	1	all	0.9623820269774713
ENSMUSG00000006276.11:B1	label_permutation	0.9892745860305602	0.7742803893145579	4828	9	all	1.0
ENSMUSG00000015850.12:B1	label_permutation	0.9995975541128368	0.7682103927562143	17338	1	all	1.0
ENSMUSG00000020176.18:B1	label_permutation	0.9119237435424684	0.4961647153815099	17338	1	all	0.9564864097893082
ENSMUSG00000021071.18:B1	label_permutation	0.0046318251933683	0.0513347022587269	1460	24	all	0.4721511514171175
ENSMUSG00000022237.18:B1	label_permutation	0.8079506861370596	0.5135717363205515	13925	6	all	0.9633778543731151
ENSMUSG00000024941.10:B1	label_permutation	0.1450735910638894	0.06515458848116049	16268	2	all	0.513902629321108
ENSMUSG00000026116.12:B1	label_permutation	0.998540255759678	0.8386829571339822	4828	9	all	1.0
ENSMUSG00000027007.17:B1	label_permutation	0.9499466268996026	0.6059376728747925	16268	2	all	0.9936632774667871
ENSMUSG00000028176.14:B1	label_permutation	0.1556497134164796	0.12377740303541315	8894	8	all	0.6458956200401023
ENSMUSG00000029169.12:B1	label_permutation	0.0389902917038195	0.021763491595399587	16954	4	all	0.3031973034723581
ENSMUSG00000030275.7:B1	label_permutation	0.9999998779293774	0.9848569826135727	1782	18	all	1.0
ENSMUSG00000032536.13:B1	label_permutation	0.0547067899423755	0.11498973305954825	1460	24	all	0.6325038000395341
ENSMUSG00000034066.14:B1	label_permutation	0.9372886602737156	0.6549291454511993	16300	5	all	1.0
ENSMUSG00000035653.17:B1	label_permutation	0.9148750317899847	0.5101593240018061	15502	3	all	0.9622490126004959
ENSMUSG00000037416.14:B1	label_permutation	0.0658437727269774	0.054430561539566276	13925	6	all	0.4773439452486687
ENSMUSG00000038679.17:B1	label_permutation	0.9733585853270974	0.759091606567439	6516	12	all	1.0
ENSMUSG00000040455.18:B1	label_permutation	0.999999999999999	0.9410905002810568	8894	8	all	1.0
ENSMUSG00000042388.15:B1	label_permutation	0.5522472762865858	0.42184386886433617	5520	7	all	0.931876488215696
ENSMUSG00000047013.16:B1	label_permutation	0.5967438402341707	0.39426644182124787	8894	8	all	0.919934880114669
ENSMUSG00000052299.10:B1	label_permutation	0.990532345868404	0.6543894730052248	15502	3	all	1.0
ENSMUSG00000056493.10:B1	label_permutation	1.0	1.0	16954	4	all	1.0
ENSMUSG00000060961.17:B1	label_permutation	0.0417205871604357	0.045531197301854974	8894	8	all	0.4494162995594714
ENSMUSG00000068250.14:B1	label_permutation	1.0	1.0	16954	4	all	1.0
ENSMUSG00000112925.2:B1	label_permutation	1.0	1.0	13925	6	all	1.0
ENSMUSG00000010066.16:B1	label_permutation	0.9899422223471124	0.7903316469926925	8894	8	all	1.0
ENSMUSG00000010066.16:B2	label_permutation	0.9972540478817647	0.8233839235525576	8894	8	all	1.0
ENSMUSG00000010066.16:B3	label_permutation	0.9560778443518112	0.6264818637570039	16954	4	all	1.0
ENSMUSG00000010066.16:B4	label_permutation	0.999655841916498	0.8545250140528386	8894	8	all	1.0
ENSMUSG00000024589.19:B2	label_permutation	0.6451976269145101	0.39630906218583944	13925	6	all	0.9201942503089688
ENSMUSG00000024589.19:B3	label_permutation	0.1837410684597277	0.15006905017646155	6516	12	all	0.6827149464792839
ENSMUSG00000036916.14:B1	label_permutation	0.9999995572055252	0.9172077922077922	1231	15	all	1.0
ENSMUSG00000036916.14:B2	label_permutation	0.769160587744112	0.507330838598859	16300	5	all	0.9622490126004959
ENSMUSG00000036916.14:B3	label_permutation	0.9998985366525902	0.8270044782528679	16300	5	all	1.0
ENSMUSG00000004383.19:B1	label_permutation	0.0024703139140633	0.0077909330715907	16300	5	all	0.18522528919262746
ENSMUSG00000004383.19:B2	label_permutation	0.0173365229429739	0.03197594971303635	7317	10	all	0.38336849092948677
ENSMUSG00000020593.17:B1	label_permutation	0.860912332544149	0.558164584230935	13925	6	all	0.9837916278784535
ENSMUSG00000020593.17:B2	label_permutation	0.8663242991740041	0.5123240518778044	16268	2	all	0.9623820269774713
ENSMUSG00000031585.14:B1	label_permutation	0.9999999999998228	0.9461439034898751	13925	6	all	1.0
ENSMUSG00000031585.14:B2	label_permutation	0.999999996974594	0.8484809391730633	15502	3	all	1.0
ENSMUSG00000040183.14:B1	label_permutation	0.9999996398579531	0.9010658649904345	7317	10	all	1.0
ENSMUSG00000040183.14:B3	label_permutation	0.9999999992108298	0.860376664008343	16300	5	all	1.0
ENSMUSG00000057113.14:B1	label_permutation	0.9999999991995572	0.8526098496018873	16954	4	all	1.0
ENSMUSG00000057113.14:B2	label_permutation	1.0	1.0	16268	2	all	1.0
ENSMUSG00000001924.16:B1	label_permutation	0.2219559511570004	0.1480683613385035	13925	6	all	0.6799678046529166
ENSMUSG00000006676.18:B1	label_permutation	0.6231495551838591	0.3235033913299912	16954	4	all	0.863156174789234
ENSMUSG00000016921.15:B1	label_permutation	0.9563130916611088	0.6270716602772044	16954	4	all	1.0
ENSMUSG00000020262.16:B1	label_permutation	0.7939371038207115	0.5454749859471614	8894	8	all	0.9777010569762347
ENSMUSG00000021140.10:B1	label_permutation	0.9523303445911429	0.723057417134577	5520	7	all	1.0
ENSMUSG00000022311.16:B1	label_permutation	0.7273061145473032	0.47622845224219373	16300	5	all	0.9497135808850645
ENSMUSG00000024002.19:B1	label_permutation	0.030869838813512	0.03541105819010147	4828	9	all	0.4024567020739595
ENSMUSG00000026211.19:B1	label_permutation	0.9977502491784512	0.6604187092681238	17338	1	all	1.0
ENSMUSG00000027206.14:B1	label_permutation	0.9993440796525996	0.7718667059864347	16954	4	all	1.0
ENSMUSG00000028312.20:B1	label_permutation	0.998988180550831	0.7331449333871619	17338	1	all	1.0
ENSMUSG00000029267.18:B1	label_permutation	0.9452348658547384	0.7018549747048903	8894	8	all	1.0
ENSMUSG00000030376.9:B1	label_permutation	0.3425860886140869	0.21607065919862128	13925	6	all	0.7644525221014512
ENSMUSG00000031749.13:B1	label_permutation	0.9759976721652291	0.7105085577571928	16300	5	all	1.0
ENSMUSG00000032579.15:B1	label_permutation	0.9999935576753428	0.8065031655295347	16268	2	all	1.0
ENSMUSG00000034243.18:B1	label_permutation	1.399309209135202e-06	0.00013664935774801857	7317	10	all	0.029835013443101986
ENSMUSG00000035864.15:B1	label_permutation	6.182749121420963e-14	0.00015344483658124905	6516	12	all	0.029835013443101986
ENSMUSG00000037593.13:B1	label_permutation	0.9987866404672058	0.7165926524020994	17338	1	all	1.0
ENSMUSG00000038872.11:B1	label_permutation	0.0538080737468268	0.04703432428550912	13925	6	all	0.4562635535895809
ENSMUSG00000040560.11:B1	label_permutation	0.6558075014274345	0.422796147475615	16300	5	all	0.931876488215696
ENSMUSG00000042523.13:B1	label_permutation	0.2075619505569138	0.13937957776820337	13925	6	all	0.670942380817444
ENSMUSG00000047459.15:B1	label_permutation	0.9642379915581496	0.5290385835399966	17338	1	all	0.9692257845734665
ENSMUSG00000052539.16:B1	label_permutation	0.9899258731537628	0.7521183397960649	13925	6	all	1.0
ENSMUSG00000056820.8:B1	label_permutation	0.9916640115174968	0.7559045457333906	16300	5	all	1.0
ENSMUSG00000061353.12:B1	label_permutation	0.3442817244677192	0.15185420151104448	17338	1	all	0.686171272325653
ENSMUSG00000068917.13:B1	label_permutation	0.9853102804714376	0.6961368327926866	16954	4	all	1.0
