null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	1	all	259	0.003861003861003861	0.0	0.7616765024130688
label_permutation	2	all	261	0.011494252873563218	0.0038314176245210726	0.8161506004816976
label_permutation	3	all	237	0.02531645569620253	0.0	0.7559253437700971
label_permutation	4	all	296	0.02364864864864865	0.013513513513513514	0.8677245227928202
label_permutation	5	all	168	0.05357142857142857	0.011904761904761904	0.692843203481502
label_permutation	6	all	272	0.04411764705882353	0.007352941176470588	0.8171603678756143
label_permutation	7	all	128	0.0234375	0.0	0.7562215020374037
label_permutation	8	all	187	0.0106951871657754	0.0106951871657754	0.7897213852893561
label_permutation	9	all	80	0.025	0.0	0.5620523569624497
label_permutation	10	all	197	0.050761421319796954	0.03553299492385787	0.815995439540675
label_permutation	11	all	40	0.0	0.0	0.718173029374935
label_permutation	12	all	208	0.009615384615384616	0.0	0.8704028283435549
label_permutation	13	all	32	0.0	0.0	0.8161427863284103
label_permutation	14	all	96	0.052083333333333336	0.010416666666666666	0.8519415206274321
label_permutation	15	all	102	0.029411764705882353	0.0	0.8015626309080006
label_permutation	16	all	159	0.012578616352201259	0.0	0.8627410351566889
label_permutation	17	all	16	0.0	0.0	0.646046387488292
label_permutation	18	all	221	0.09049773755656108	0.04072398190045249	0.7902733164634337
label_permutation	19	all	96	0.08333333333333333	0.052083333333333336	0.5833508545113191
label_permutation	20	all	240	0.025	0.008333333333333333	0.8957842027313774
label_permutation	21	all	64	0.046875	0.03125	0.9845706826223276
label_permutation	22	all	48	0.20833333333333334	0.16666666666666666	0.8283289019341846
label_permutation	23	all	72	0.06944444444444445	0.027777777777777776	0.8543393672647026
label_permutation	24	all	204	0.05392156862745098	0.029411764705882353	0.7778526839152163
label_permutation	25	all	24	0.0	0.0	0.5498496244084976
label_permutation	26	all	40	0.1	0.0	0.8267820252296454
label_permutation	27	all	72	0.05555555555555555	0.027777777777777776	0.896217080192114
label_permutation	28	all	104	0.057692307692307696	0.009615384615384616	0.8756752961745916
label_permutation	30	all	109	0.0	0.0	0.9052934952771666
label_permutation	32	all	64	0.046875	0.0	0.6488656971508318
label_permutation	33	all	48	0.0	0.0	0.8925189227529366
label_permutation	34	all	24	0.08333333333333333	0.0	0.714078288095935
label_permutation	35	all	36	0.0	0.0	0.9960742889287835
label_permutation	36	all	155	0.06451612903225806	0.01935483870967742	0.9341512689564236
label_permutation	38	all	112	0.16071428571428573	0.14285714285714285	0.747477109663595
label_permutation	39	all	70	0.014285714285714285	0.0	0.8626656700937638
label_permutation	40	all	142	0.07746478873239436	0.04929577464788732	0.8572530142462432
label_permutation	42	all	186	0.053763440860215055	0.04838709677419355	0.8906906773131034
label_permutation	44	all	32	0.15625	0.03125	0.6183424213744129
label_permutation	45	all	74	0.013513513513513514	0.0	0.9068486283962109
label_permutation	46	all	40	0.0	0.0	0.9001330885267295
label_permutation	48	all	165	0.07878787878787878	0.06060606060606061	0.9549793315974932
label_permutation	49	all	6	0.0	0.0	0.9999993410448134
label_permutation	50	all	53	0.09433962264150944	0.07547169811320754	0.6892039235114165
label_permutation	51	all	16	0.0625	0.0	0.898891626942488
label_permutation	52	all	64	0.078125	0.0625	0.766093898186067
label_permutation	54	all	102	0.10784313725490197	0.0784313725490196	0.8513840300439715
label_permutation	55	all	13	0.0	0.0	0.9625177513509618
label_permutation	56	all	72	0.013888888888888888	0.0	0.7937024599808674
label_permutation	57	all	104	0.057692307692307696	0.028846153846153848	0.6527671549058653
label_permutation	60	all	134	0.1791044776119403	0.15671641791044777	0.8736414423149457
label_permutation	63	all	80	0.125	0.1125	0.8729919337075934
label_permutation	64	all	48	0.125	0.020833333333333332	0.9818317045515954
label_permutation	65	all	32	0.0	0.0	0.9548923904446998
label_permutation	66	all	61	0.2786885245901639	0.21311475409836064	0.4277036404882344
label_permutation	68	all	30	0.0	0.0	0.9672406339462218
label_permutation	69	all	24	0.0	0.0	0.8652000800306827
label_permutation	70	all	8	0.0	0.0	0.8474031501866516
label_permutation	72	all	87	0.11494252873563218	0.09195402298850575	0.72012242773099
label_permutation	75	all	70	0.04285714285714286	0.0	0.8022054149749165
