test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSG00000124333.16:B3	label_permutation	0.7611246323019227	0.5378151260504201	237	3	all	0.8547734099516782
ENSG00000124333.16_PAR_Y:B3	label_permutation	0.7611246323019227	0.5378151260504201	237	3	all	0.8547734099516782
ENSG00000104722.14:B1	label_permutation	3.3402097307575012e-09	0.004878048780487805	204	24	all	0.24323621227887615
ENSG00000104722.14:B2	label_permutation	0.0001332639788919	0.012048192771084338	165	48	all	0.24323621227887615
ENSG00000124164.15:B1	label_permutation	0.0002223187958982	0.009523809523809525	104	57	all	0.24323621227887615
ENSG00000124164.15:B2	label_permutation	0.3516125133182398	0.29896907216494845	96	19	all	0.6764194139194138
ENSG00000136715.18:B1	label_permutation	0.7831627937238438	0.45185185185185184	134	60	all	0.8049242424242424
ENSG00000152214.14:B1	label_permutation	0.3150103640841981	0.13804713804713806	296	4	all	0.4816196793808734
ENSG00000152214.14:B2	label_permutation	0.7685684588603835	0.45038167938931295	261	2	all	0.8049242424242424
ENSG00000166816.14:B1	label_permutation	0.9541964430234748	0.7184873949579832	237	3	all	0.9542410714285715
ENSG00000166816.14:B2	label_permutation	0.1352982875984823	0.06538461538461539	259	1	all	0.3304573804573805
ENSG00000176909.12:B2	label_permutation	0.3457825453682633	0.1919191919191919	197	10	all	0.5549620132953467
ENSG00000196757.8:B1	label_permutation	0.1024968167733594	0.03827751196172249	208	12	all	0.26051825020897185
ENSG00000196757.8:B2	label_permutation	0.0074979564487879	0.01098901098901099	272	6	all	0.24323621227887615
ENSG00000068078.18:B1	label_permutation	0.6554856067830788	0.40310077519379844	128	7	all	0.7868459808062663
ENSG00000072832.14:B1	label_permutation	1.1000072222972048e-05	0.01282051282051282	155	36	all	0.24323621227887615
ENSG00000090971.5:B1	label_permutation	0.9993859261739289	0.9014084507042254	70	39	all	1.0
ENSG00000099326.8:B1	label_permutation	0.9999909845427832	0.9041095890410958	72	27	all	1.0
ENSG00000101132.10:B1	label_permutation	0.9159349440914204	0.5454545454545454	109	30	all	0.8600610920198548
ENSG00000102390.10:B1	label_permutation	0.8805062763664798	0.6686390532544378	168	5	all	0.9374531484257871
ENSG00000103512.15:B1	label_permutation	0.995712168098	0.8049792531120332	240	20	all	0.9891992610020686
ENSG00000105072.9:B1	label_permutation	0.999989526405056	0.8571428571428571	13	55	all	0.999287495546847
ENSG00000106052.13:B1	label_permutation	4.88242099916567e-12	0.058823529411764705	16	150	all	0.3142857142857143
ENSG00000107593.17:B1	label_permutation	0.5643939841884968	0.30036630036630035	272	6	all	0.6764194139194138
ENSG00000111843.14:B1	label_permutation	0.74001280806804	0.43956043956043955	272	6	all	0.8049242424242424
ENSG00000113319.13:B1	label_permutation	3.6974326930862503e-19	0.03225806451612903	61	66	all	0.25560415527610714
ENSG00000114857.18:B1	label_permutation	1.8003008695458632e-23	0.04	24	208	all	0.26051825020897185
ENSG00000117115.13:B1	label_permutation	0.982886324157138	0.9259259259259259	80	9	all	1.0
ENSG00000118873.16:B1	label_permutation	0.847818953155115	0.44919786096256686	186	42	all	0.8049242424242424
ENSG00000120253.14:B1	label_permutation	0.8761307592639372	0.507177033492823	208	12	all	0.8268944330664681
