evidence_center	alpha_scope	scaling	subject_half	selected_alphas	global_alpha	global_spike_weight	global_training_genes
baseline	cross_fitted	per_path	0	4;8;8;4;4	NA	NA	NA
baseline	cross_fitted	per_path	1	8;8;8;8;8	NA	NA	NA
baseline	cross_fitted	total	0	16;32;16;16;8	NA	NA	NA
baseline	cross_fitted	total	1	16;32;16;16;16	NA	NA	NA
baseline	global	per_path	0	4	4	0.9379	456
baseline	global	per_path	1	8	8	0.9634	428
baseline	global	total	0	16	16	0.9327	455
baseline	global	total	1	16	16	0.9647	428
uniform	cross_fitted	per_path	0	0.5;0.5;0.5;0.5;1	NA	NA	NA
uniform	cross_fitted	per_path	1	2;1;2;2;1	NA	NA	NA
uniform	cross_fitted	total	0	2;2;2;2;2	NA	NA	NA
uniform	cross_fitted	total	1	4;4;4;4;4	NA	NA	NA
uniform	global	per_path	0	0.5	0.5	0.9007	458
uniform	global	per_path	1	2	2	0.9363	429
uniform	global	total	0	2	2	0.9003	458
uniform	global	total	1	4	4	0.9348	429
