comparison	method	gene_id	fold0_p_value	fold1_p_value	conjunction_p_value	conjunction_q_value	shared_block_tests
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000000305	1.0	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000000440	0.3358309683938624	0.4122574440699602	0.4122574440699602	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000000441	0.4868287602712997	0.996587232593232	0.996587232593232	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000000552	0.9490147168063614	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000000631	0.2829956143630122	0.1079324590663672	0.2829956143630122	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000000632	0.0139093951537793	0.1237058934428031	0.1237058934428031	0.8853043268815329	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000001127	0.422274474938239	0.9408798582252882	0.9408798582252882	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000001175	0.0366303699425719	0.3921545637812739	0.3921545637812739	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000001248	0.1572384503508162	0.5583303979815442	0.5583303979815442	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000001472	0.0011244575615178	0.0077282800402059	0.0077282800402059	0.1301226685839319	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000001521	0.9999889876085452	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000001986	0.9738363137073744	0.2412387304143189	0.9738363137073744	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000002006	0.9926053472784468	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000002107	0.0055206908172124	0.1261178332253169	0.1261178332253169	0.8853043268815329	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000002265	1.193146304378078e-06	0.0310634975147405	0.0310634975147405	0.3802597629081876	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000002489	0.6426642871793814	0.054366316102618	0.6426642871793814	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000002625	0.1747284262580334	0.6614811112885812	0.6614811112885812	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000003119	0.2523556892015682	0.092605335457029	0.2523556892015682	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000003134	0.0567871763311076	0.6394847633316136	0.6394847633316136	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000003279	1.8588475991094802e-20	1.4527536224904323e-20	1.8588475991094802e-20	1.6822570771940797e-18	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000003363	0.0101471276052625	0.6273771536190953	0.6273771536190953	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000003810	0.1410051491571503	0.1271531101712146	0.1410051491571503	0.9280702544525165	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000003847	0.9002345025274735	0.5602623497756363	0.9002345025274735	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004110	0.1732275983964585	0.7591614359107737	0.7591614359107737	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004113	0.5966809959096131	0.1617632028358824	0.5966809959096131	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004187	0.2789292057486757	0.014804383831137	0.2789292057486757	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004207	0.5239301697289063	0.4211020858354635	0.5239301697289063	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004267	0.213779226864642	0.3285452607844623	0.3285452607844623	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004415	0.0193283091226354	0.2171560458776759	0.2171560458776759	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000004980	0.304573657408911	0.7643051617427096	0.7643051617427096	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000005045	0.6340490186634522	0.0724514745379397	0.6340490186634522	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000005089	0.0021755677239523	0.4349201662303629	0.4349201662303629	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000005417	1.0	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000005506	1.0	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000005583	0.6802508849183156	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000005871	0.3848144078057002	0.2853289597339863	0.3848144078057002	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000006005	0.3171265356897876	0.0342981834987457	0.3171265356897876	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000006276	0.2726229849125169	0.8635959275147479	0.8635959275147479	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000006307	0.0262651434992426	0.8703516197035851	0.8703516197035851	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000006575	0.6549369056417124	0.8612114656186665	0.8612114656186665	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000006800	0.3418459390761643	0.630406644334766	0.630406644334766	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000006930	0.004056269562308	0.0236258942252237	0.0236258942252237	0.3098051422331251	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000007817	0.4653009858168992	0.3322332932736257	0.4653009858168992	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000007850	0.6272958912656723	0.6896552665404385	0.6896552665404385	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000007880	0.5714052984169643	0.7584729211845165	0.7584729211845165	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000008348	0.5959239935165821	0.8779088921444803	0.8779088921444803	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000008575	0.6437467901611642	0.056515213130139894	0.6437467901611642	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000008658	0.4572790673399133	0.0252428325973914	0.4572790673399133	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000008855	0.7512159464354577	0.0520299515909684	0.7512159464354577	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000009394	0.3525884541455	0.0651713239971098	0.3525884541455	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000009545	1.0	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000009569	0.4569823949456641	0.0485118189055624	0.4569823949456641	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000009681	0.5856085147000326	0.0771790563248406	0.5856085147000326	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000010086	0.8838704021330825	0.0887405443517958	0.8838704021330825	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000010803	0.1580519283183425	0.1801584638333231	0.1801584638333231	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000011751	0.268323494655628	0.6095035324364169	0.6095035324364169	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000011877	2.9444763482196025e-08	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000013033	0.3115032108187857	0.0357753333634308	0.3115032108187857	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000013236	0.0079922676458094	0.5466223528592851	0.5466223528592851	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000013539	0.929938548239176	0.4287282053375838	0.929938548239176	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000014592	0.6423415143989437	0.1388370402521673	0.6423415143989437	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000014602	0.73810902924258	0.2575036511314684	0.73810902924258	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000015222	0.8111977631778254	0.04982928576956895	0.8111977631778254	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000015501	0.9891051318164792	0.1120902079624354	0.9891051318164792	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000015597	0.1427057757766107	0.2695103731069997	0.2695103731069997	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000015829	1.0	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000017631	7.320854305407027e-07	0.0048235392799494	0.0048235392799494	0.08730606096708414	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000017670	0.8387547988218624	0.9965747821204	0.9965747821204	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000017740	0.4027264249290337	0.3732700148419935	0.4027264249290337	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000018076	0.6559033862159074	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000018474	0.2302178948767066	0.8013766063054015	0.8013766063054015	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000018501	0.0148272053674249	0.4067845377564292	0.4067845377564292	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000019302	0.5692918556355753	0.3462691708271575	0.5692918556355753	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000019841	0.9374384225766452	0.9301616398755724	0.9374384225766452	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000019852	0.8663734100205187	1.0	1.0	1.0	948
Isoform-space EC GLMM vs Estimate-once path Wald	Isoform-space EC GLMM	ENSMUSG00000019856	0.999999996608322	0.334533616884911	0.999999996608322	1.0	948
