null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	1	1-5	3519	0.43478260869565216	0.3603296391020176	0.1061007893600928
label_permutation	1	11-20	7753	0.38385141235650716	0.32039210628143944	0.1588947507187634
label_permutation	1	6-10	4584	0.41972076788830714	0.331369982547993	0.1376435147736487
label_permutation	1	>20	2575	0.4866019417475728	0.40504854368932036	0.0644940069442834
label_permutation	2	1-5	1692	0.5005910165484634	0.4101654846335697	0.0492670326568983
label_permutation	2	11-20	7301	0.4466511436789481	0.35680043829612385	0.0945778265791022
label_permutation	2	6-10	2753	0.4765710134398838	0.38176534689429714	0.0707651777299986
label_permutation	2	>20	4980	0.4975903614457831	0.4178714859437751	0.051480387126421154
label_permutation	3	1-5	286	0.34965034965034963	0.1853146853146853	0.18907980416329695
label_permutation	3	11-20	5001	0.5192961407718456	0.42091581683663265	0.0380566792816445
label_permutation	3	6-10	1087	0.5574977000919963	0.45262189512419504	0.0223875784364548
label_permutation	3	>20	8958	0.5749051127483813	0.4916275954454119	0.01264873056678455
label_permutation	4	1-5	205	0.7902439024390244	0.7121951219512195	0.0003415548511688
label_permutation	4	11-20	4272	0.6343632958801498	0.5491573033707865	0.0027548917518422002
label_permutation	4	6-10	825	0.7393939393939394	0.6824242424242424	4.74539772297772e-07
label_permutation	4	>20	11782	0.6108470548294008	0.5327618400950602	0.0041658495161537995
label_permutation	5	1-5	38	0.7368421052631579	0.7368421052631579	1.6116919050033084e-06
label_permutation	5	11-20	2246	0.6277827248441674	0.5329474621549422	0.00431869749779005
label_permutation	5	6-10	64	0.78125	0.59375	0.0023740131800427
label_permutation	5	>20	13652	0.6083357749780252	0.5207295634339291	0.00576211892762365
label_permutation	6	1-5	165	0.509090909090909	0.42424242424242425	0.0465045351327876
label_permutation	6	11-20	2435	0.8353182751540041	0.7659137577002053	3.302455404297245e-08
label_permutation	6	6-10	588	0.7704081632653061	0.6955782312925171	1.142611746669437e-07
label_permutation	6	>20	10715	0.6937937470835278	0.6007466168922072	0.0006081542685791
label_permutation	7	1-5	1	1.0	1.0	7.352136103883384e-17
label_permutation	7	11-20	54	0.9444444444444444	0.9444444444444444	2.8960063458119254e-12
label_permutation	7	6-10	29	0.7586206896551724	0.7241379310344828	0.0007425974838195
label_permutation	7	>20	5617	0.7450596403774257	0.6542638419084921	3.451327542044924e-05
label_permutation	8	1-5	57	0.5614035087719298	0.543859649122807	9.529043301387572e-05
label_permutation	8	11-20	1209	0.8717948717948718	0.815550041356493	8.342002741322169e-12
label_permutation	8	6-10	187	0.9358288770053476	0.8877005347593583	2.987265640385579e-07
label_permutation	8	>20	7517	0.8090993747505654	0.7295463615804177	1.7990466148595875e-07
label_permutation	9	1-5	32	0.53125	0.53125	0.0013959678525883796
label_permutation	9	11-20	623	0.884430176565008	0.8571428571428571	1.2297700754809074e-14
label_permutation	9	6-10	76	0.9868421052631579	0.9868421052631579	1.8361802704473696e-13
label_permutation	9	>20	4142	0.8326895219700627	0.7653307580878802	2.5043065283790136e-08
label_permutation	10	1-5	1	1.0	1.0	9.293342732417122e-13
label_permutation	10	11-20	1033	0.888673765730881	0.850919651500484	1.7951537446618005e-13
label_permutation	10	6-10	63	0.6666666666666666	0.6666666666666666	5.3865483093491206e-15
label_permutation	10	>20	6227	0.8561104865906536	0.7893046410791713	1.1400046611460687e-09
label_permutation	11	1-5	2	0.5	0.5	0.5000000000000046
label_permutation	11	11-20	16	1.0	1.0	7.074584950714104e-28
label_permutation	11	>20	1453	0.8726772195457674	0.8107364074328974	3.8886051351557815e-09
label_permutation	12	1-5	51	0.5490196078431373	0.5490196078431373	4.609541730647224e-07
label_permutation	12	11-20	818	0.9229828850855746	0.9009779951100244	1.6628222411512677e-19
label_permutation	12	6-10	32	0.96875	0.90625	1.4553548863955558e-05
label_permutation	12	>20	5412	0.9301552106430155	0.8754619364375462	4.883886510956814e-15
label_permutation	13	11-20	1	1.0	1.0	5.610041268492576e-36
label_permutation	13	>20	22	1.0	1.0	4.1629020862426145e-19
label_permutation	14	11-20	11	0.7272727272727273	0.7272727272727273	5.379608025620297e-32
label_permutation	14	>20	1668	0.9448441247002398	0.9148681055155875	6.294722887757566e-20
label_permutation	15	1-5	28	0.5357142857142857	0.5357142857142857	0.0001700230416568683
label_permutation	15	11-20	403	0.8089330024813896	0.8064516129032258	8.835567311648878e-22
label_permutation	15	>20	867	0.936562860438293	0.9123414071510957	7.271214242425825e-25
label_permutation	16	1-5	27	0.48148148148148145	0.48148148148148145	1.0
label_permutation	16	11-20	126	0.6984126984126984	0.6984126984126984	1.1883509460389925e-18
label_permutation	16	>20	1474	0.9701492537313433	0.9531886024423338	1.1959009674537574e-24
label_permutation	17	11-20	11	0.8181818181818182	0.8181818181818182	8.528901455536162e-36
label_permutation	17	>20	24	1.0	1.0	1.709879438940661e-56
label_permutation	18	11-20	84	0.9761904761904762	0.9761904761904762	2.9487115286102292e-27
label_permutation	18	>20	1680	0.9738095238095238	0.9636904761904762	3.5395944757203915e-27
label_permutation	19	11-20	53	0.9245283018867925	0.9245283018867925	1.0246455941711394e-42
label_permutation	19	>20	15	1.0	1.0	1.4247175263815197e-96
label_permutation	20	11-20	100	0.87	0.85	4.836533285006124e-38
label_permutation	20	>20	836	0.9712918660287081	0.9700956937799043	1.0488169237045077e-34
label_permutation	21	11-20	50	0.88	0.88	1.6512990169684548e-17
label_permutation	21	>20	300	0.9833333333333333	0.9833333333333333	1.425249059235413e-25
label_permutation	22	11-20	5	0.8	0.8	2.4763540362958352e-45
label_permutation	22	>20	405	1.0	1.0	1.9885282726622608e-37
label_permutation	23	11-20	6	0.5	0.5	0.5
label_permutation	23	>20	14	0.9285714285714286	0.9285714285714286	2.6481655444764814e-55
label_permutation	24	11-20	14	0.5	0.5	0.5
label_permutation	24	>20	1398	0.9785407725321889	0.977110157367668	2.521931918902562e-36
label_permutation	25	11-20	55	0.8909090909090909	0.8909090909090909	3.0003373864080234e-20
label_permutation	25	>20	32	1.0	1.0	6.841711250230271e-27
label_permutation	26	11-20	5	0.8	0.8	1.2116845197385494e-30
label_permutation	26	>20	4	1.0	1.0	5.998444183474286e-47
label_permutation	27	11-20	8	0.875	0.875	6.688319339547602e-30
label_permutation	27	>20	281	0.99644128113879	0.99644128113879	6.504374803564644e-29
label_permutation	28	11-20	8	1.0	1.0	2.5913757221070576e-46
label_permutation	28	>20	64	1.0	1.0	1.53509449400832e-49
label_permutation	29	11-20	9	0.5555555555555556	0.5555555555555556	1.2231304332445506e-39
label_permutation	29	>20	3	1.0	1.0	4.899001702583651e-69
label_permutation	30	11-20	1	1.0	1.0	6.54690523759159e-42
label_permutation	30	>20	253	0.9802371541501976	0.9802371541501976	1.180020689935513e-44
label_permutation	31	>20	2	1.0	1.0	8.88816361991461e-56
label_permutation	32	1-5	2	0.5	0.5	0.5000000000033685
label_permutation	32	>20	199	0.9899497487437185	0.9899497487437185	9.669711032542997e-53
label_permutation	33	>20	183	0.9836065573770492	0.9836065573770492	3.186428952857744e-54
label_permutation	34	>20	2	0.0	0.0	1.0
label_permutation	35	>20	62	0.7580645161290323	0.7580645161290323	3.541884617955312e-74
label_permutation	36	>20	154	0.9285714285714286	0.9285714285714286	1.9441918148794187e-59
label_permutation	37	11-20	1	1.0	1.0	4.999615558710738e-32
label_permutation	37	>20	6	1.0	1.0	1.8851050762550795e-98
label_permutation	38	11-20	3	0.6666666666666666	0.6666666666666666	6.077204893818416e-27
label_permutation	38	>20	4	1.0	1.0	1.0124207265484575e-92
label_permutation	39	11-20	4	0.5	0.5	0.5
label_permutation	39	>20	10	0.9	0.9	2.629886665968552e-91
label_permutation	40	11-20	5	0.2	0.2	1.0
label_permutation	40	>20	195	0.882051282051282	0.882051282051282	9.808548352364032e-74
label_permutation	41	>20	3	0.6666666666666666	0.6666666666666666	1.6174524372682349e-15
label_permutation	42	>20	5	1.0	1.0	6.247168703977412e-23
label_permutation	43	6-10	2	0.5	0.5	0.5
label_permutation	43	>20	2	0.0	0.0	1.0
label_permutation	44	>20	35	0.9428571428571428	0.9428571428571428	1.2939073627547913e-45
label_permutation	45	>20	2	0.0	0.0	1.0
label_permutation	46	>20	1	1.0	1.0	3.343241896958994e-101
label_permutation	47	6-10	1	1.0	1.0	1.6282258865614065e-27
label_permutation	47	>20	61	1.0	1.0	6.155910282411111e-44
label_permutation	48	>20	1	1.0	1.0	6.0693464237017795e-96
label_permutation	49	6-10	1	0.0	0.0	1.0
label_permutation	50	6-10	1	1.0	1.0	6.578772886020385e-25
label_permutation	50	>20	2	1.0	1.0	1.732893514972103e-60
label_permutation	51	6-10	1	1.0	1.0	3.9351795827228233e-25
label_permutation	52	6-10	2	0.5	0.5	0.5
label_permutation	52	>20	1	0.0	0.0	1.0
label_permutation	53	6-10	2	0.5	0.5	0.5
label_permutation	53	>20	2	1.0	1.0	4.27951732081503e-88
label_permutation	54	6-10	1	0.0	0.0	1.0
label_permutation	54	>20	1	0.0	0.0	1.0
label_permutation	55	>20	2	0.5	0.5	0.5
label_permutation	56	6-10	1	0.0	0.0	1.0
label_permutation	57	>20	1	0.0	0.0	1.0
label_permutation	63	>20	1	1.0	1.0	1.0812549752826808e-87
label_permutation	64	>20	1	1.0	1.0	2.086907982603355e-88
label_permutation	66	>20	1	1.0	1.0	1.1439250298823696e-95
label_permutation	68	6-10	2	0.0	0.0	1.0
label_permutation	69	>20	1	1.0	1.0	5.4008770252438665e-77
label_permutation	72	6-10	5	0.6	0.6	5.381190468869031e-32
label_permutation	73	6-10	1	1.0	1.0	2.375375033106149e-31
label_permutation	74	6-10	2	0.0	0.0	1.0
label_permutation	75	>20	1	0.0	0.0	1.0
label_permutation	76	6-10	1	0.0	0.0	1.0
