null_type	replicate	coordinates	agreements	sign_agreement
label_permutation	0	14057	7209	0.5128405776481468
label_permutation	1	14059	7040	0.500746852549968
label_permutation	2	14045	7374	0.5250266998932004
label_permutation	3	14047	7136	0.5080088275076529
label_permutation	4	14059	7184	0.5109894018066719
label_permutation	5	14045	7249	0.516126735493058
label_permutation	6	14047	7044	0.501459386345839
label_permutation	7	14047	7218	0.5138463728910088
label_permutation	8	14045	7139	0.5082947668209327
label_permutation	9	14047	7111	0.5062290880615078
label_permutation	10	14059	7256	0.5161106764350238
label_permutation	11	14059	7122	0.5065794153211466
label_permutation	12	14035	7141	0.5087994299964375
label_permutation	13	14059	7102	0.5051568390354932
label_permutation	14	14047	7326	0.5215348472983555
label_permutation	15	14047	7035	0.5008186801452268
wild_cluster	0	14059	7091	0.5043744220783839
wild_cluster	1	14059	7049	0.501387011878512
wild_cluster	2	14059	6920	0.4922113948360481
wild_cluster	3	14059	7193	0.5116295611352158
wild_cluster	4	14059	6893	0.4902909168504161
wild_cluster	5	14059	7152	0.5087132797496265
wild_cluster	6	14059	7077	0.5033786186784266
wild_cluster	7	14059	7088	0.5041610356355359
wild_cluster	8	14059	6963	0.49526993385020274
wild_cluster	9	14059	7009	0.49854185930720535
wild_cluster	10	14059	6945	0.49398961519311474
wild_cluster	11	14059	7046	0.501173625435664
wild_cluster	12	14059	7024	0.49960879152144533
wild_cluster	13	14059	6944	0.49391848637883207
wild_cluster	14	14059	7229	0.5141901984493918
wild_cluster	15	14059	7214	0.5131232662351518
