test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSMUSG00000021843.18:B1	label_permutation	7.19584625061668e-38	0.038461538461538464	3769	8	>20	0.5677768959471334
ENSMUSG00000021843.18:B2	label_permutation	0.0001359632172272	0.3037135278514589	3769	8	>20	0.7318810953112224
ENSMUSG00000021843.18:B3	label_permutation	7.1903024119308e-38	0.038461538461538464	3769	8	>20	0.5677768959471334
ENSMUSG00000021843.18:B4	label_permutation	0.0001359607986261	0.3037135278514589	3769	8	>20	0.7318810953112224
ENSMUSG00000021843.18:B5	label_permutation	1.473900468267886e-36	0.04668435013262599	3769	8	>20	0.5977402845246357
ENSMUSG00000021843.18:B6	label_permutation	2.90394826219484e-07	0.5983717774762551	736	16	>20	0.852124703712352
ENSMUSG00000002279.20:B1	label_permutation	0.0333713587800326	0.3302872062663185	5361	6	>20	0.7421633546983134
ENSMUSG00000002279.20:B2	label_permutation	0.0747646462804329	0.24071155145237558	4440	3	>20	0.7102004579935987
ENSMUSG00000002279.20:B3	label_permutation	0.8917317843765704	0.8034226525557306	4440	3	>20	0.9423909852035474
ENSMUSG00000020882.18:B1	label_permutation	0.0555831747344324	0.28825828869263065	6906	5	>20	0.7277459433406522
ENSMUSG00000020882.18:B2	label_permutation	0.0746696749484609	0.30852758071521647	6906	5	>20	0.7329591912450679
ENSMUSG00000020882.18:B3	label_permutation	3.1541154359557134e-05	0.32898919262555626	3145	10	>20	0.7421633546983134
ENSMUSG00000026566.16:B1	label_permutation	0.0429239024823192	0.8078817733990148	202	15	11-20	0.9432709920726544
ENSMUSG00000026566.16:B2	label_permutation	0.9692260437391496	0.8946360153256705	521	10	11-20	0.9779244373838968
ENSMUSG00000026566.16:B3	label_permutation	0.8588336486018239	0.8601532567049809	521	10	11-20	0.9643947183496375
ENSMUSG00000031154.16:B1	label_permutation	0.9925079978504016	0.9743150684931506	583	8	11-20	1.0
ENSMUSG00000031154.16:B2	label_permutation	0.9792002085494764	0.9026752767527675	2167	4	11-20	0.9818918707368892
ENSMUSG00000031154.16:B5	label_permutation	0.9332766636354708	0.8454797047970479	2167	4	11-20	0.9576759051841299
ENSMUSG00000040003.19:B1	label_permutation	6.408050241200225e-12	0.47381242387332523	820	18	>20	0.7926722340846395
ENSMUSG00000040003.19:B2	label_permutation	2.030041794662396e-10	0.5176613885505481	820	18	>20	0.8128909868153613
ENSMUSG00000040003.19:B3	label_permutation	8.647620216547393e-34	0.2689655172413793	144	27	>20	0.7203360339025302
ENSMUSG00000061904.13:B1	label_permutation	0.7296460717614162	0.6853146853146853	428	4	6-10	0.8863198373552182
ENSMUSG00000061904.13:B2	label_permutation	0.996414261307427	0.9011152416356877	1344	2	6-10	0.9813844876745949
ENSMUSG00000061904.13:B3	label_permutation	0.6106286230078952	0.47360594795539035	1344	2	6-10	0.7926722340846395
