test_id	gene_id	coordinates	cosine_similarity	fold0_p_value	fold1_p_value	both_nominal	both_bh
ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13	20	0.012741913273155176	2.0277782700076555e-46	0.9048630022637196	False	False
ENSMUSG00000000440.13:B1	ENSMUSG00000000440.13	2	0.9999999999999999	0.4323883112553994	0.8831631593322685	False	False
ENSMUSG00000000441.18:B1	ENSMUSG00000000441.18	2	-1.0000000000000002	0.3615622971503984	0.5500021476135826	False	False
ENSMUSG00000000552.11:B1	ENSMUSG00000000552.11	3	0.9378847095073064	0.6691714491644251	0.8018865310468957	False	False
ENSMUSG00000000552.11:B2	ENSMUSG00000000552.11	2	1.0	0.752826988477043	0.9721016646807952	False	False
ENSMUSG00000000631.21:B2	ENSMUSG00000000631.21	9	0.7554653652092573	1.0	0.4192631768178085	False	False
ENSMUSG00000000631.21:B4	ENSMUSG00000000631.21	6	0.9936748007857761	0.7157613634564369	0.898731901476093	False	False
ENSMUSG00000000632.14:B1	ENSMUSG00000000632.14	6	-0.7616619119059922	0.0073436649940128	0.1754283397695483	False	False
ENSMUSG00000001127.13:B1	ENSMUSG00000001127.13	2	-0.9999999999999999	0.6060476808761567	0.995589595568348	False	False
ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	42	-0.007207544753563461	0.0214545173668841	0.6695272978441859	False	False
ENSMUSG00000001248.16:B1	ENSMUSG00000001248.16	2	0.9999999999999999	0.9418292470597364	0.1392804961777097	False	False
ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	30	0.6488670717714776	0.0089039141942531	0.087092557361656	False	False
ENSMUSG00000001521.13:B1	ENSMUSG00000001521.13	2	1.0	0.8825324053477394	0.0190736604346538	False	False
ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	12	-0.8448052752877312	0.9395669218089956	0.3326542016686417	False	False
ENSMUSG00000002006.13:B1	ENSMUSG00000002006.13	6	-0.7011857605806401	0.0168175594380152	0.4472657103526042	False	False
ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	12	-0.19436295608363963	6.081261516422956e-11	0.4529574920405119	False	False
ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	30	-0.2472824387988821	1.0	1.1502895984974785e-18	False	False
