null_type	numerator_df	denominator_df_bin	tests	p_le_0.05	p_le_0.01	median_p
label_permutation	1	1-5	64	0.25	0.25	0.39169402421752614
label_permutation	1	11-20	260	0.6846153846153846	0.6269230769230769	7.980167553853444e-05
label_permutation	1	6-10	280	0.4928571428571429	0.39285714285714285	0.0733738416224778
label_permutation	1	>20	28	0.9285714285714286	0.8214285714285714	1.4611577068469814e-273
label_permutation	2	1-5	50	0.76	0.7	0.00021969174292335
label_permutation	2	11-20	273	0.5018315018315018	0.42857142857142855	0.049889304983379
label_permutation	2	6-10	292	0.339041095890411	0.2602739726027397	0.2216079645550605
label_permutation	2	>20	17	0.9411764705882353	0.8823529411764706	9.501452284424439e-12
label_permutation	3	1-5	106	0.7547169811320755	0.6886792452830188	2.4042994657780745e-05
label_permutation	3	11-20	212	0.5613207547169812	0.49056603773584906	0.0163785646678257
label_permutation	3	6-10	98	0.6224489795918368	0.5102040816326531	0.00011498941919469162
label_permutation	3	>20	100	0.54	0.49	0.017532449903635
label_permutation	4	1-5	61	0.5737704918032787	0.4262295081967213	0.0223164670782784
label_permutation	4	11-20	200	0.495	0.43	0.05458689941692795
label_permutation	4	6-10	162	0.48148148148148145	0.4074074074074074	0.0818250559796671
label_permutation	4	>20	47	0.6595744680851063	0.6382978723404256	0.0043343565806288
label_permutation	5	1-5	2	1.0	1.0	1.4753005555627477e-13
label_permutation	5	11-20	224	0.5535714285714286	0.45089285714285715	0.024250185441968247
label_permutation	5	6-10	14	1.0	1.0	1.9613186484398718e-07
label_permutation	5	>20	56	0.75	0.6071428571428571	0.0005773475386214001
label_permutation	6	1-5	35	0.6571428571428571	0.5714285714285714	4.3993420320137276e-07
label_permutation	6	11-20	402	0.7761194029850746	0.6766169154228856	0.00037229204066175
label_permutation	6	6-10	80	0.9625	0.9	2.3594441541691186e-08
label_permutation	6	>20	125	0.552	0.472	0.0236250549709353
label_permutation	7	1-5	4	0.5	0.5	0.5000000014910797
label_permutation	7	11-20	81	0.8518518518518519	0.7777777777777778	0.0001217146874499
label_permutation	7	6-10	16	1.0	1.0	1.0339548049734593e-07
label_permutation	7	>20	95	0.7894736842105263	0.6736842105263158	1.206898374201334e-05
label_permutation	8	1-5	24	0.625	0.625	0.0001638619358947871
label_permutation	8	11-20	184	0.7228260869565217	0.6630434782608695	0.0003666652587995
label_permutation	8	6-10	33	0.9696969696969697	0.9393939393939394	1.272403346967195e-12
label_permutation	8	>20	166	0.7469879518072289	0.6204819277108434	0.00040018182662359997
label_permutation	9	1-5	14	0.5714285714285714	0.5	0.005876408624060751
label_permutation	9	11-20	167	0.8203592814371258	0.7125748502994012	2.8592573928426743e-05
label_permutation	9	6-10	7	1.0	1.0	1.5648877876841838e-13
