test_id	null_type	replicates	observed_statistic	empirical_p_value
ENSG00000001461.17:B1	label_permutation	16	-1522357017.3015027	0.5294117647058824
ENSG00000001461.17:B1	wild_cluster	16	-1522357017.3015027	1.0
ENSG00000004779.10:B1	label_permutation	16	453.65951709498654	1.0
ENSG00000004779.10:B1	wild_cluster	16	453.65951709498654	0.11764705882352941
ENSG00000004779.10:B2	label_permutation	16	137.66006167041306	0.29411764705882354
ENSG00000004779.10:B2	wild_cluster	16	137.66006167041306	0.058823529411764705
ENSG00000005249.13:B1	label_permutation	16	133834440.96430647	0.5294117647058824
ENSG00000005249.13:B1	wild_cluster	16	133834440.96430647	0.11764705882352941
ENSG00000005513.10:B1	label_permutation	16	15287.045397889491	0.47058823529411764
ENSG00000005513.10:B1	wild_cluster	16	15287.045397889491	0.11764705882352941
ENSG00000008300.17:B1	label_permutation	16	446814.91766100144	0.058823529411764705
ENSG00000008300.17:B1	wild_cluster	16	446814.91766100144	0.11764705882352941
ENSG00000008952.17:B1	label_permutation	16	70934.67709071825	0.7647058823529411
ENSG00000008952.17:B1	wild_cluster	16	70934.67709071825	0.8823529411764706
ENSG00000009954.11:B1	label_permutation	16	-3248877.983673897	0.8823529411764706
ENSG00000009954.11:B1	wild_cluster	16	-3248877.983673897	0.8235294117647058
ENSG00000011083.9:B1	label_permutation	16	1087.6046316515874	0.058823529411764705
ENSG00000011083.9:B1	wild_cluster	16	1087.6046316515874	0.6470588235294118
ENSG00000012660.14:B1	label_permutation	16	53087154.93164063	0.35294117647058826
ENSG00000012660.14:B1	wild_cluster	16	53087154.93164063	0.35294117647058826
ENSG00000012660.14:B2	label_permutation	15	-2013236056.4214888	0.625
ENSG00000012660.14:B2	wild_cluster	16	-2013236056.4214888	1.0
ENSG00000014824.14:B1	label_permutation	16	3607934.0083242175	0.7647058823529411
ENSG00000014824.14:B1	wild_cluster	16	3607934.0083242175	0.4117647058823529
ENSG00000020256.20:B1	label_permutation	15	101899884.42891017	0.5625
ENSG00000020256.20:B1	wild_cluster	16	101899884.42891017	0.17647058823529413
ENSG00000022567.9:B1	label_permutation	16	-481353773.0072336	0.7647058823529411
ENSG00000022567.9:B1	wild_cluster	16	-481353773.0072336	0.9411764705882353
ENSG00000023909.10:B1	label_permutation	16	19226856214.8372	0.17647058823529413
ENSG00000023909.10:B1	wild_cluster	16	19226856214.8372	0.058823529411764705
ENSG00000025796.14:B1	label_permutation	16	-4128370001.389857	0.9411764705882353
ENSG00000025796.14:B1	wild_cluster	16	-4128370001.389857	1.0
ENSG00000028310.18:B1	label_permutation	9	4855600.475054124	0.2
ENSG00000028310.18:B1	wild_cluster	16	4855600.475054124	0.47058823529411764
ENSG00000032742.17:B1	label_permutation	16	35145870.03771134	0.17647058823529413
ENSG00000032742.17:B1	wild_cluster	16	35145870.03771134	0.058823529411764705
ENSG00000036549.13:B1	label_permutation	16	-8690445434.311207	0.8823529411764706
ENSG00000036549.13:B1	wild_cluster	16	-8690445434.311207	1.0
ENSG00000038219.13:B1	label_permutation	16	459465548.5627942	0.4117647058823529
ENSG00000038219.13:B1	wild_cluster	16	459465548.5627942	0.11764705882352941
ENSG00000039319.17:B1	label_permutation	15	16178050841.17998	0.0625
ENSG00000039319.17:B1	wild_cluster	16	16178050841.17998	0.058823529411764705
ENSG00000041802.11:B1	label_permutation	16	42911344.188795365	0.6470588235294118
ENSG00000041802.11:B1	wild_cluster	16	42911344.188795365	0.23529411764705882
ENSG00000043093.14:B1	label_permutation	14	1096011372.4808528	0.4666666666666667
ENSG00000043093.14:B1	wild_cluster	16	1096011372.4808528	0.4117647058823529
ENSG00000044524.11:B1	label_permutation	16	42.58083989089259	0.5882352941176471
ENSG00000044524.11:B1	wild_cluster	16	42.58083989089259	0.8235294117647058
ENSG00000047365.12:B1	label_permutation	15	-9373348603.045725	0.8125
ENSG00000047365.12:B1	wild_cluster	16	-9373348603.045725	1.0
ENSG00000054267.22:B1	label_permutation	16	36906812852.09735	0.11764705882352941
ENSG00000054267.22:B1	wild_cluster	16	36906812852.09735	0.058823529411764705
ENSG00000055130.16:B2	label_permutation	16	1014.69918365636	0.17647058823529413
ENSG00000055130.16:B2	wild_cluster	16	1014.69918365636	0.23529411764705882
ENSG00000057294.14:B1	label_permutation	16	71.08375445344667	0.4117647058823529
ENSG00000057294.14:B1	wild_cluster	16	71.08375445344667	0.5882352941176471
ENSG00000058056.9:B1	label_permutation	16	232403646.0281312	0.058823529411764705
ENSG00000058056.9:B1	wild_cluster	16	232403646.0281312	0.058823529411764705
ENSG00000058673.16:B1	label_permutation	14	-23282954011.14985	0.9333333333333333
ENSG00000058673.16:B1	wild_cluster	16	-23282954011.14985	1.0
ENSG00000059769.20:B1	label_permutation	16	1037.7931386533078	0.058823529411764705
ENSG00000059769.20:B1	wild_cluster	16	1037.7931386533078	0.11764705882352941
ENSG00000059769.20:B2	label_permutation	16	52710.0840011706	0.29411764705882354
ENSG00000059769.20:B2	wild_cluster	16	52710.0840011706	0.8823529411764706
ENSG00000059769.20:B3	label_permutation	16	348.48409674090993	0.058823529411764705
ENSG00000059769.20:B3	wild_cluster	16	348.48409674090993	0.11764705882352941
ENSG00000059804.16:B1	label_permutation	16	-13901813197.294136	0.8235294117647058
ENSG00000059804.16:B1	wild_cluster	16	-13901813197.294136	1.0
ENSG00000060709.15:B1	label_permutation	16	39530235.1426571	0.058823529411764705
ENSG00000060709.15:B1	wild_cluster	16	39530235.1426571	0.058823529411764705
ENSG00000061936.9:B1	label_permutation	16	7388.518607904917	0.11764705882352941
ENSG00000061936.9:B1	wild_cluster	16	7388.518607904917	0.29411764705882354
ENSG00000065457.10:B1	label_permutation	16	7903209.014915682	0.23529411764705882
ENSG00000065457.10:B1	wild_cluster	16	7903209.014915682	0.5294117647058824
ENSG00000066933.16:B1	label_permutation	16	3711757009.4305778	0.5294117647058824
ENSG00000066933.16:B1	wild_cluster	16	3711757009.4305778	0.058823529411764705
ENSG00000067208.14:B1	label_permutation	16	-1703608591.6589935	0.8823529411764706
ENSG00000067208.14:B1	wild_cluster	16	-1703608591.6589935	0.9411764705882353
ENSG00000067704.10:B1	label_permutation	16	5636398.339195961	0.7647058823529411
ENSG00000067704.10:B1	wild_cluster	16	5636398.339195961	0.5882352941176471
ENSG00000068078.18:B1	label_permutation	16	638.1493978234771	0.6470588235294118
ENSG00000068078.18:B1	wild_cluster	16	638.1493978234771	0.9411764705882353
ENSG00000068308.13:B1	label_permutation	16	42219535.52540136	0.35294117647058826
ENSG00000068308.13:B1	wild_cluster	16	42219535.52540136	0.058823529411764705
ENSG00000068308.13:B2	label_permutation	16	3057483.2993245265	0.7058823529411765
ENSG00000068308.13:B2	wild_cluster	16	3057483.2993245265	0.5294117647058824
ENSG00000068912.14:B2	label_permutation	16	90.4975966332974	0.5294117647058824
ENSG00000068912.14:B2	wild_cluster	16	90.4975966332974	0.4117647058823529
ENSG00000069424.14:B1	label_permutation	16	34464.25328829476	0.6470588235294118
ENSG00000069424.14:B1	wild_cluster	16	34464.25328829476	0.47058823529411764
ENSG00000070010.19:B1	label_permutation	15	727.2568159575104	0.4375
ENSG00000070010.19:B1	wild_cluster	16	727.2568159575104	0.35294117647058826
ENSG00000070367.16:B1	label_permutation	16	-4182864110.591201	0.8823529411764706
ENSG00000070367.16:B1	wild_cluster	16	-4182864110.591201	1.0
ENSG00000070614.15:B1	label_permutation	9	7836.410532974498	0.7
ENSG00000070614.15:B1	wild_cluster	16	7836.410532974498	0.11764705882352941
ENSG00000070831.16:B1	label_permutation	16	162287.32910675355	0.23529411764705882
ENSG00000070831.16:B1	wild_cluster	16	162287.32910675355	0.35294117647058826
ENSG00000071205.11:B1	label_permutation	16	525057.5362926445	0.4117647058823529
ENSG00000071205.11:B1	wild_cluster	16	525057.5362926445	0.35294117647058826
ENSG00000071626.16:B1	label_permutation	16	-13204730477.45007	0.9411764705882353
ENSG00000071626.16:B1	wild_cluster	16	-13204730477.45007	1.0
ENSG00000072415.8:B1	label_permutation	16	2887902340.742801	0.17647058823529413
