test_id	null_type	analytic_p_value	calibrated_p_value	reference_nulls	degrees_of_freedom	denominator_df_bin	fdr
ENSG00000124333.16:B3	label_permutation	1.2781630544067124e-42	0.01824817518248175	273	2	11-20	0.8412698412698413
ENSG00000124333.16_PAR_Y:B3	label_permutation	1.2781630544067124e-42	0.01824817518248175	273	2	11-20	0.8412698412698413
ENSG00000104722.14:B1	label_permutation	1.3633042302513267e-09	0.8066298342541437	180	24	>20	1.0
ENSG00000104722.14:B2	label_permutation	1.7522294238071491e-10	0.7785714285714286	139	48	>20	1.0
ENSG00000124164.15:B1	label_permutation	1.0	1.0	240	45	>20	1.0
ENSG00000124164.15:B2	label_permutation	5.1757488087972e-09	0.4409090909090909	219	19	>20	0.9420871559633027
ENSG00000136715.18:B1	label_permutation	3.2090391029701585e-57	0.3488372093023256	85	60	>20	0.888268156424581
ENSG00000136715.18:B2	label_permutation	6.473404249392448e-09	0.25	47	4	>20	0.888268156424581
ENSG00000152214.14:B1	label_permutation	0.0039517292859979	0.40298507462686567	200	4	11-20	0.927992476825937
ENSG00000152214.14:B2	label_permutation	0.3298334078797547	0.6496350364963503	273	2	11-20	0.983821267886646
ENSG00000166816.14:B1	label_permutation	1.0149042167410383e-10	0.24299065420560748	106	3	1-5	0.888268156424581
ENSG00000166816.14:B2	label_permutation	2.97367828797291e-07	0.19217081850533807	280	1	6-10	0.8822953388170781
ENSG00000176909.12:B2	label_permutation	5.9572101349648906e-15	0.3269230769230769	207	10	>20	0.888268156424581
ENSG00000196757.8:B1	label_permutation	0.0021244457542923	0.875968992248062	257	12	11-20	1.0
ENSG00000196757.8:B2	label_permutation	0.0020885452249324	0.4523809523809524	125	6	>20	0.9420871559633027
ENSG00000068078.18:B1	label_permutation	2.426306975634157e-06	0.6470588235294118	16	7	6-10	0.983821267886646
ENSG00000072832.14:B1	label_permutation	1.0228891280915892e-56	0.5907335907335908	258	36	>20	0.9793478260869566
ENSG00000090971.5:B1	label_permutation	9.265306538349673e-53	0.4551971326164875	278	38	>20	0.9420871559633027
