subject	cell_type	primer	cells
A_1	EX_cortical	poly(dT)	139
A_1	EX_cortical	random hexamer	139
A_1	INH_medium_spiny	poly(dT)	45
A_1	INH_medium_spiny	random hexamer	45
A_1	INH_midbrain	poly(dT)	58
A_1	INH_midbrain	random hexamer	58
A_2	EX_cortical	poly(dT)	575
A_2	EX_cortical	random hexamer	575
A_2	INH_medium_spiny	poly(dT)	63
A_2	INH_medium_spiny	random hexamer	63
A_2	INH_midbrain	poly(dT)	136
A_2	INH_midbrain	random hexamer	136
A_4	EX_cortical	poly(dT)	220
A_4	EX_cortical	random hexamer	220
A_4	INH_medium_spiny	poly(dT)	58
A_4	INH_medium_spiny	random hexamer	58
A_4	INH_midbrain	poly(dT)	64
A_4	INH_midbrain	random hexamer	64
A_5	EX_cortical	poly(dT)	182
A_5	EX_cortical	random hexamer	182
A_5	INH_medium_spiny	poly(dT)	44
A_5	INH_medium_spiny	random hexamer	44
A_5	INH_midbrain	poly(dT)	68
A_5	INH_midbrain	random hexamer	68
A_6	EX_cortical	poly(dT)	67
A_6	EX_cortical	random hexamer	67
A_6	INH_medium_spiny	poly(dT)	16
A_6	INH_medium_spiny	random hexamer	16
A_6	INH_midbrain	poly(dT)	19
A_6	INH_midbrain	random hexamer	19
A_7	EX_cortical	poly(dT)	381
A_7	EX_cortical	random hexamer	381
A_7	INH_medium_spiny	poly(dT)	37
A_7	INH_medium_spiny	random hexamer	37
A_7	INH_midbrain	poly(dT)	77
A_7	INH_midbrain	random hexamer	77
A_8	EX_cortical	poly(dT)	285
A_8	EX_cortical	random hexamer	285
A_8	INH_medium_spiny	poly(dT)	74
A_8	INH_medium_spiny	random hexamer	74
A_8	INH_midbrain	poly(dT)	106
A_8	INH_midbrain	random hexamer	106
A_9	EX_cortical	poly(dT)	121
A_9	EX_cortical	random hexamer	121
A_9	INH_medium_spiny	poly(dT)	24
A_9	INH_medium_spiny	random hexamer	24
A_9	INH_midbrain	poly(dT)	27
A_9	INH_midbrain	random hexamer	27
B_1	EX_cortical	poly(dT)	305
B_1	EX_cortical	random hexamer	305
B_1	INH_medium_spiny	poly(dT)	131
B_1	INH_medium_spiny	random hexamer	131
B_1	INH_midbrain	poly(dT)	122
B_1	INH_midbrain	random hexamer	122
B_2	EX_cortical	poly(dT)	162
B_2	EX_cortical	random hexamer	162
B_2	INH_medium_spiny	poly(dT)	76
B_2	INH_medium_spiny	random hexamer	76
B_2	INH_midbrain	poly(dT)	87
B_2	INH_midbrain	random hexamer	87
B_3	EX_cortical	poly(dT)	250
B_3	EX_cortical	random hexamer	250
B_3	INH_medium_spiny	poly(dT)	50
