test_id	cell_type	path	path_number	n_subjects	mean_proportion	sd_proportion	se_proportion
ENSMUSG00000022892.12:B3	EX_cortical	Path 1	1	46	0.01666804314336851	0.013154416371746018	0.0019395128819262373
ENSMUSG00000022892.12:B3	EX_cortical	Path 2	2	46	0.9833319568566314	0.013154416371746021	0.001939512881926238
ENSMUSG00000022892.12:B3	EX_hippocampus_pyramidal	Path 1	1	4	0.0311889836669502	0.01346993991334295	0.006734969956671475
ENSMUSG00000022892.12:B3	EX_hippocampus_pyramidal	Path 2	2	4	0.9688110163330498	0.01346993991334288	0.00673496995667144
ENSMUSG00000026959.14:B3	INH_medium_spiny	Path 1	1	20	0.5440134902131162	0.23247484863345916	0.051982956460338875
ENSMUSG00000026959.14:B3	INH_medium_spiny	Path 2	2	20	0.45598650978688376	0.23247484863345919	0.05198295646033888
ENSMUSG00000026959.14:B3	INH_midbrain	Path 1	1	12	0.8442791004060798	0.154667042137102	0.04464852920630952
ENSMUSG00000026959.14:B3	INH_midbrain	Path 2	2	12	0.1557208995939201	0.154667042137102	0.04464852920630952
ENSMUSG00000033981.15:B1	EX_cortical	Path 1	1	47	0.8100630719515177	0.0841804752011216	0.012278984299500325
ENSMUSG00000033981.15:B1	EX_cortical	Path 2	2	47	0.18993692804848217	0.08418047520112162	0.012278984299500329
ENSMUSG00000033981.15:B1	INH_midbrain	Path 1	1	40	0.7512628575385422	0.09183240180114356	0.014519977634768136
ENSMUSG00000033981.15:B1	INH_midbrain	Path 2	2	40	0.2487371424614578	0.09183240180114356	0.014519977634768136
