event	subject	cell_type	primer	spliced_umis
App	A_1	ASC	poly(dT)	4
App	A_1	ASC	random hexamer	26
App	A_1	EX_cerebellum_granule	poly(dT)	11
App	A_1	EX_cerebellum_granule	random hexamer	139
App	A_1	EX_cortical	poly(dT)	18
App	A_1	EX_cortical	random hexamer	155
App	A_1	EX_hippocampus_granule	poly(dT)	3
App	A_1	EX_hippocampus_granule	random hexamer	16
App	A_1	EX_hippocampus_pyramidal	poly(dT)	2
App	A_1	EX_hippocampus_pyramidal	random hexamer	7
App	A_1	EX_thalamus	poly(dT)	2
App	A_1	EX_thalamus	random hexamer	11
App	A_1	INH_medium_spiny	poly(dT)	5
App	A_1	INH_medium_spiny	random hexamer	31
App	A_1	INH_midbrain	poly(dT)	9
App	A_1	INH_midbrain	random hexamer	55
App	A_1	INH_migrating_interneuron	poly(dT)	4
App	A_1	INH_migrating_interneuron	random hexamer	42
App	A_1	ODC	poly(dT)	2
App	A_1	ODC	random hexamer	43
App	A_2	ASC	poly(dT)	9
App	A_2	ASC	random hexamer	13
App	A_2	EX_cerebellum_granule	poly(dT)	8
App	A_2	EX_cerebellum_granule	random hexamer	27
App	A_2	EX_cortical	poly(dT)	73
App	A_2	EX_cortical	random hexamer	53
App	A_2	EX_hippocampus_granule	poly(dT)	9
App	A_2	EX_hippocampus_granule	random hexamer	5
App	A_2	EX_hippocampus_pyramidal	poly(dT)	24
App	A_2	EX_hippocampus_pyramidal	random hexamer	7
App	A_2	EX_thalamus	poly(dT)	6
App	A_2	EX_thalamus	random hexamer	2
App	A_2	INH_medium_spiny	poly(dT)	7
App	A_2	INH_medium_spiny	random hexamer	3
App	A_2	INH_midbrain	poly(dT)	17
App	A_2	INH_midbrain	random hexamer	15
App	A_2	INH_migrating_interneuron	poly(dT)	13
App	A_2	INH_migrating_interneuron	random hexamer	9
App	A_2	ODC	poly(dT)	3
App	A_2	ODC	random hexamer	20
App	A_4	ASC	poly(dT)	24
App	A_4	ASC	random hexamer	52
App	A_4	EX_cerebellum_granule	poly(dT)	27
App	A_4	EX_cerebellum_granule	random hexamer	32
App	A_4	EX_cortical	poly(dT)	78
App	A_4	EX_cortical	random hexamer	97
App	A_4	EX_hippocampus_granule	poly(dT)	1
App	A_4	EX_hippocampus_granule	random hexamer	2
