test_id	gene_id	block_id	equivalent_blocks	contrast	method	fitted_model	cell_types	n_cell_types	n_mice	n_samples	n_paths	median_effective_count	statistic	degrees_of_freedom	asymptotic_p_value	p_value	converged	null_concentration	celltype_logit_effects	max_celltype_logit_effect	permutation_count	permutation_p_value	valid_for_inference	fdr	calibration_bin	pooled_permutation_p_value	inference_eligible
ENSMUSG00000038738.16:B2|EX_cerebellum_granule_vs_EX_cortical	ENSMUSG00000038738.16	ENSMUSG00000038738.16:B2	ENSMUSG00000038738.16:B2	EX_cerebellum_granule_vs_EX_cortical	paired_dirichlet_multinomial	dirichlet_multinomial	EX_cerebellum_granule,EX_cortical	2	18	36	2	99.17499945268476	29.18664561958485	1	6.573069069389448e-08	2.3363940094857598e-05	True	11.29494729204938	[[1.1859491193914369]]	1.1859491193914369	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000061601.16:B1|EX_cortical_vs_INH_midbrain	ENSMUSG00000061601.16	ENSMUSG00000061601.16:B1	ENSMUSG00000061601.16:B1	EX_cortical_vs_INH_midbrain	paired_dirichlet_multinomial	dirichlet_multinomial	EX_cortical,INH_midbrain	2	35	70	2	106.59464106257172	35.67775912271463	1	2.328067631496989e-09	2.3363940094857598e-05	True	14.28399960889007	[[-0.8316041375655429]]	0.8316041375655429	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000028649.23:B3|ASC_vs_INH_migrating_interneuron	ENSMUSG00000028649.23	ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23:B3,ENSMUSG00000028649.23:B4	ASC_vs_INH_migrating_interneuron	paired_dirichlet_multinomial	dirichlet_multinomial	ASC,INH_migrating_interneuron	2	29	58	2	104.48540463916108	38.36082283788619	1	5.88010749071989e-10	2.3363940094857598e-05	True	143.1419910214502	[[0.5697128633831274]]	0.5697128633831274	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000028649.23:B3|EX_cortical_vs_INH_migrating_interneuron	ENSMUSG00000028649.23	ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23:B3,ENSMUSG00000028649.23:B4	EX_cortical_vs_INH_migrating_interneuron	paired_dirichlet_multinomial	dirichlet_multinomial	EX_cortical,INH_migrating_interneuron	2	41	82	2	90.61798706177332	33.3185720124784	1	7.823193569299437e-09	2.3363940094857598e-05	True	80.72211714206804	[[0.5087228005994098]]	0.5087228005994098	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000028649.23:B3|ASC_vs_INH_midbrain	ENSMUSG00000028649.23	ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23:B3,ENSMUSG00000028649.23:B4	ASC_vs_INH_midbrain	paired_dirichlet_multinomial	dirichlet_multinomial	ASC,INH_midbrain	2	26	52	2	102.0835377355328	42.64716139121629	1	6.555949830562107e-11	2.3363940094857598e-05	True	31.40664370395815	[[0.9472535513505669]]	0.9472535513505668	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000030302.18:B2|EX_cerebellum_granule_vs_EX_cortical	ENSMUSG00000030302.18	ENSMUSG00000030302.18:B2	ENSMUSG00000030302.18:B2	EX_cerebellum_granule_vs_EX_cortical	paired_dirichlet_multinomial	dirichlet_multinomial	EX_cerebellum_granule,EX_cortical	2	17	34	2	145.08896914836407	27.575935124808893	1	1.510463739069141e-07	2.3363940094857598e-05	True	21.168692181667986	[[-0.867037504912617]]	0.867037504912617	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000028649.23:B3|INH_medium_spiny_vs_INH_midbrain	ENSMUSG00000028649.23	ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23:B3,ENSMUSG00000028649.23:B4	INH_medium_spiny_vs_INH_midbrain	paired_dirichlet_multinomial	dirichlet_multinomial	INH_medium_spiny,INH_midbrain	2	28	56	2	53.33270672715592	44.48173876893861	1	2.5674082554563458e-11	2.3363940094857598e-05	True	19.19677405078828	[[1.1392472826407858]]	1.1392472826407858	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000028649.23:B3|INH_medium_spiny_vs_INH_migrating_interneuron	ENSMUSG00000028649.23	ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23:B3,ENSMUSG00000028649.23:B4	INH_medium_spiny_vs_INH_migrating_interneuron	paired_dirichlet_multinomial	dirichlet_multinomial	INH_medium_spiny,INH_migrating_interneuron	2	32	64	2	47.44890386258132	47.72514581257383	1	4.90361555862784e-12	2.3363940094857598e-05	True	41.65991816983091	[[0.886185959568375]]	0.886185959568375	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000028649.23:B3|EX_cortical_vs_INH_midbrain	ENSMUSG00000028649.23	ENSMUSG00000028649.23:B3	ENSMUSG00000028649.23:B3,ENSMUSG00000028649.23:B4	EX_cortical_vs_INH_midbrain	paired_dirichlet_multinomial	dirichlet_multinomial	EX_cortical,INH_midbrain	2	33	66	2	113.69582302560464	52.75778477046788	1	3.773248072060763e-13	2.3363940094857598e-05	True	34.32874402662054	[[0.9153932042675121]]	0.915393204267512	50	0.0196078431372549	True	0.008860426772443787	3	2.3363940094857598e-05	True
ENSMUSG00000097545.9:B1|EX_cortical_vs_INH_midbrain	ENSMUSG00000097545.9	ENSMUSG00000097545.9:B1	ENSMUSG00000097545.9:B1,ENSMUSG00000097545.9:B2	EX_cortical_vs_INH_midbrain	paired_dirichlet_multinomial	multinomial	EX_cortical,INH_midbrain	2	20	40	2	39.33091910447145	26.6366165649481	1	2.455457666852156e-07	2.389543358264236e-05	True	inf	[[0.6640045077131872]]	0.6640045077131872	50	0.0196078431372549	True	0.008860426772443787	2	2.389543358264236e-05	True
ENSMUSG00000030302.18:B2|EX_cerebellum_granule_vs_INH_medium_spiny	ENSMUSG00000030302.18	ENSMUSG00000030302.18:B2	ENSMUSG00000030302.18:B2	EX_cerebellum_granule_vs_INH_medium_spiny	paired_dirichlet_multinomial	dirichlet_multinomial	EX_cerebellum_granule,INH_medium_spiny	2	15	30	2	68.86536435095158	25.84873791255268	1	3.6924605111185284e-07	4.6727880189715196e-05	True	28.250405535081377	[[-0.8476339001476456]]	0.8476339001476456	50	0.0196078431372549	True	0.014767377954072979	3	4.6727880189715196e-05	True
ENSMUSG00000038738.16:B2|ASC_vs_INH_migrating_interneuron	ENSMUSG00000038738.16	ENSMUSG00000038738.16:B2	ENSMUSG00000038738.16:B2	ASC_vs_INH_migrating_interneuron	paired_dirichlet_multinomial	dirichlet_multinomial	ASC,INH_migrating_interneuron	2	17	34	2	39.28696962160137	20.871510402946114	1	4.911454838271388e-06	4.779086716528472e-05	True	60.67460843055586	[[0.750954119458889]]	0.750954119458889	50	0.0196078431372549	True	0.014767377954072979	2	4.779086716528472e-05	True
ENSMUSG00000026836.16:B2|INH_medium_spiny_vs_INH_migrating_interneuron	ENSMUSG00000026836.16	ENSMUSG00000026836.16:B2	ENSMUSG00000026836.16:B2	INH_medium_spiny_vs_INH_migrating_interneuron	paired_dirichlet_multinomial	multinomial	INH_medium_spiny,INH_migrating_interneuron	2	9	18	3	14.789648228893832	37.81683435654577	2	6.140146849154933e-09	6.269199423233653e-05	True	inf	[[1.171853041577197, 2.119437598053959]]	2.4218289128463355	50	0.0196078431372549	True	0.01629639396136858	0	6.269199423233653e-05	True
