method	replicate	n_tests	nominal_0.05	bh_0.05
cauchy	0	11285	572	0
adaptive_p2_lt_0.01_then_p32	0	11285	559	0
cauchy	1	11285	554	0
adaptive_p2_lt_0.01_then_p32	1	11285	541	0
cauchy	2	11285	606	2
adaptive_p2_lt_0.01_then_p32	2	11285	601	2
cauchy	3	11285	599	0
adaptive_p2_lt_0.01_then_p32	3	11285	590	0
cauchy	4	11285	560	1
adaptive_p2_lt_0.01_then_p32	4	11285	566	0
cauchy	5	11285	609	0
adaptive_p2_lt_0.01_then_p32	5	11285	609	0
cauchy	6	11285	581	0
adaptive_p2_lt_0.01_then_p32	6	11285	580	0
cauchy	7	11285	552	1
adaptive_p2_lt_0.01_then_p32	7	11285	532	0
cauchy	8	11285	585	0
adaptive_p2_lt_0.01_then_p32	8	11285	586	0
cauchy	9	11285	569	0
adaptive_p2_lt_0.01_then_p32	9	11285	556	0
cauchy	10	11285	553	0
adaptive_p2_lt_0.01_then_p32	10	11285	560	0
cauchy	11	11285	578	0
adaptive_p2_lt_0.01_then_p32	11	11285	570	0
cauchy	12	11285	562	1
adaptive_p2_lt_0.01_then_p32	12	11285	574	1
cauchy	13	11285	586	0
adaptive_p2_lt_0.01_then_p32	13	11285	580	0
cauchy	14	11285	558	0
adaptive_p2_lt_0.01_then_p32	14	11285	568	0
cauchy	15	11285	570	0
adaptive_p2_lt_0.01_then_p32	15	11285	593	0
cauchy	16	11285	575	0
adaptive_p2_lt_0.01_then_p32	16	11285	579	0
cauchy	17	11285	543	1
adaptive_p2_lt_0.01_then_p32	17	11285	532	0
cauchy	18	11285	549	0
adaptive_p2_lt_0.01_then_p32	18	11285	549	0
cauchy	19	11285	564	1
adaptive_p2_lt_0.01_then_p32	19	11285	562	0
cauchy	20	11285	573	1
adaptive_p2_lt_0.01_then_p32	20	11285	593	1
cauchy	21	11285	597	0
adaptive_p2_lt_0.01_then_p32	21	11285	589	0
cauchy	22	11285	566	0
adaptive_p2_lt_0.01_then_p32	22	11285	583	0
cauchy	23	11285	611	0
adaptive_p2_lt_0.01_then_p32	23	11285	594	0
cauchy	24	11285	589	0
adaptive_p2_lt_0.01_then_p32	24	11285	592	0
cauchy	25	11285	569	1
adaptive_p2_lt_0.01_then_p32	25	11285	568	0
cauchy	26	11285	572	1
adaptive_p2_lt_0.01_then_p32	26	11285	562	0
cauchy	27	11285	551	1
adaptive_p2_lt_0.01_then_p32	27	11285	543	1
cauchy	28	11285	569	0
adaptive_p2_lt_0.01_then_p32	28	11285	552	0
cauchy	29	11285	559	0
adaptive_p2_lt_0.01_then_p32	29	11285	556	0
cauchy	30	11285	599	0
adaptive_p2_lt_0.01_then_p32	30	11285	599	0
cauchy	31	11285	584	0
adaptive_p2_lt_0.01_then_p32	31	11285	584	0
