test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication
ENSMUSG00000000305.13:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13	Cdh4	whole-gene complex	EX_cortical	INH_medium_spiny	2	2	2	True	0.09872963557731673	0.05142594772265801	0.0050772650778761665	1.0	True	0.008462108463126939	NA	0.9999999999999998	NA	NA	55.0	13.0	0.45051323317691316	[13, 0]	[44, 0]	[31, 2]	[22, 0]	0.6085450916217037	False
ENSMUSG00000000631.21:B5|cell_type|ASC|EX_cortical	ENSMUSG00000000631.21:B5	ENSMUSG00000000631.21	Myo18a	alternative last region	ASC	EX_cortical	6	6	12	True	0.11552111652803541	1.4142135623730951	-0.10832264524040007	-0.6630448121314932	False	-0.10832264524040007	NA	-0.6630448121314932	NA	NA	1.0	0.0	0.24141300345729966	[0, 0, 0, 0, 0, 1]	[0, 0, 0, 0, 0, 0]	[0, 0, 0, 0, 6, 0]	[0, 0, 0, 0, 3, 0]	0.37740377001522657	False
ENSMUSG00000000826.17:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000000826.17:B1	ENSMUSG00000000826.17	Dnajc5	alternative first region	EX_cortical	INH_migrating_interneuron	2	2	2	False	0.028764889621595024	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[60, 12]	[48, 37]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001175.17:B1|cell_type|EX_cerebellum_granule|INH_medium_spiny	ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	Calm1	alternative first region	EX_cerebellum_granule	INH_medium_spiny	2	2	2	True	0.15001783156156825	0.0004514981352302955	6.773277120134064e-05	1.0000000000000002	True	NA	0.00014539340716374056	NA	1.0000000000000002	NA	10526.92	540.17	0.09223236575949402	[540, 0]	[9986, 0]	[15057, 0]	[13123, 9]	0.1717983911535643	False
ENSMUSG00000001175.17:B1|cell_type|EX_cerebellum_granule|INH_midbrain	ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	Calm1	alternative first region	EX_cerebellum_granule	INH_midbrain	2	2	2	False	0.24543135348396664	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[540, 0]	[9986, 0]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001248.16:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001248.16:B1	ENSMUSG00000001248.16	Gramd1a	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.016919936709924425	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[0, 48]	[0, 162]	[0, 0]	[0, 0]	NA	False
ENSMUSG00000001472.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	ASC	EX_cortical	2	2	2	True	0.039611023131961604	0.5837654121003659	-0.023123545242346694	-1.0	False	-0.019250089551775807	-0.025012276434476025	-1.0	-0.9999999999999999	False	149.87	60.370000000000005	2.2129580771356734e-30	[30, 29]	[41, 48]	[337, 60]	[1000, 105]	4.4397471422534447e-29	False
ENSMUSG00000001472.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cerebellum_granule	EX_cortical	2	2	2	True	0.10544186823251407	0.1847055101617883	-0.01947569406429857	-1.0	False	-0.00909279271225466	-0.02190583806368505	-1.0	-1.0	False	159.59	8.25	2.083573586379145e-05	[6, 1]	[114, 36]	[337, 60]	[1000, 105]	8.395319513318478e-05	False
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cortical	INH_medium_spiny	2	2	2	True	0.10428357892065135	0.15715741817888265	-0.016388938021623316	-1.0	False	-0.002343278096184818	-0.029009675835691116	-1.0000000000000002	-0.9999999999999999	False	586.9499999999999	254.5	3.8837183903962697e-10	[337, 60]	[1000, 105]	[276, 55]	[180, 74]	2.8769390845781596e-09	False
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region	EX_cortical	INH_midbrain	2	2	2	False	0.10212984928144209	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0	0.0	NA	[337, 60]	[1000, 105]	[0, 0]	[0, 0]	NA	False
