endpoint	minimum_depth	minimum_original_effect_norm	n_tests	n_replicated	replication_rate	ci_low	ci_high	null_rate	n_orientation_trials	sign_test_p_value	n_technical_bh_directional	technical_bh_directional_rate
pooled direction	10	0.0	808	459	0.568069306930693	0.533671926468005	0.6018225088122395	0.5	808	6.150155091135997e-05	244	0.30198019801980197
both biological replicates	10	0.0	541	207	0.3826247689463956	0.34263323402390927	0.4242714353180848	0.32532347504621073	352	0.0005595049647520458	154	0.2846580406654344
pooled direction	10	0.05	468	276	0.5897435897435898	0.5446246830054906	0.6334012162233458	0.5	468	5.999233546118301e-05	157	0.33547008547008544
both biological replicates	10	0.05	318	138	0.4339622641509434	0.38059757427110436	0.48890339010465295	0.3522012578616352	224	0.00031162431399552656	109	0.34276729559748426
pooled direction	10	0.1	246	139	0.5650406504065041	0.502560099682182	0.6255211249113941	0.5	246	0.0239394101171954	87	0.35365853658536583
both biological replicates	10	0.1	160	73	0.45625	0.38100176815340075	0.533549773924106	0.396875	127	0.05492475128302971	60	0.375
pooled direction	10	0.2	82	46	0.5609756097560976	0.4532292110128184	0.6632646153664377	0.5	82	0.1601466818190071	30	0.36585365853658536
both biological replicates	10	0.2	45	20	0.4444444444444444	0.30938930034997586	0.5882386550647896	0.4	36	0.308859658514848	18	0.4
pooled direction	10	0.3	35	19	0.5428571428571428	0.3818972506848375	0.6953398071159278	0.5	35	0.3679394004284405	14	0.4
both biological replicates	10	0.3	16	8	0.5	0.27999563610326017	0.7200043638967398	0.40625	13	0.29052734375	8	0.5
pooled direction	20	0.0	704	405	0.5752840909090909	0.5384590513971805	0.6112919962125516	0.5	704	3.6812046908991644e-05	228	0.32386363636363635
both biological replicates	20	0.0	459	175	0.3812636165577342	0.33798973371575225	0.4265084590828605	0.3311546840958606	304	0.004869477772722471	137	0.2984749455337691
pooled direction	20	0.05	403	241	0.598014888337469	0.5494377173220906	0.6447411164403196	0.5	403	4.870814184018193e-05	146	0.36228287841191065
both biological replicates	20	0.05	276	119	0.4311594202898551	0.37407290262558757	0.49013592418606733	0.35144927536231885	194	0.000971741800494627	96	0.34782608695652173
pooled direction	20	0.1	210	120	0.5714285714285714	0.5038053478089644	0.6364855020825666	0.5	210	0.022557043932420348	80	0.38095238095238093
both biological replicates	20	0.1	136	61	0.4485294117647059	0.36750091178865585	0.5323857161250952	0.39705882352941174	108	0.105382896989391	52	0.38235294117647056
pooled direction	20	0.2	74	42	0.5675675675675675	0.4541274325981889	0.6743388134293266	0.5	74	0.147706640327835	27	0.36486486486486486
both biological replicates	20	0.2	41	17	0.4146341463414634	0.27756549454252133	0.5663289686596986	0.4024390243902439	33	0.5	16	0.3902439024390244
pooled direction	20	0.3	30	16	0.5333333333333333	0.36142299619873297	0.6976761109230025	0.5	30	0.42776777595281607	12	0.4
both biological replicates	20	0.3	15	7	0.4666666666666667	0.24809535365737387	0.698830199745016	0.4	12	0.38720703125	7	0.4666666666666667
pooled direction	50	0.0	559	321	0.5742397137745975	0.532880612468047	0.6145854256129208	0.5	559	0.00025640239866124174	197	0.35241502683363146
both biological replicates	50	0.0	360	142	0.39444444444444443	0.34532825164344144	0.4457895603663939	0.34305555555555556	247	0.010897258619239918	115	0.3194444444444444
pooled direction	50	0.05	321	196	0.6105919003115264	0.5562417706849045	0.6623263894808535	0.5	321	4.395558919343076e-05	128	0.3987538940809969
both biological replicates	50	0.05	212	102	0.4811320754716981	0.4148107299385338	0.5481250283550301	0.37735849056603776	160	0.00031467353737534416	82	0.3867924528301887
pooled direction	50	0.1	161	93	0.577639751552795	0.5004063764582354	0.6512544992635312	0.5	161	0.029112322017370646	67	0.4161490683229814
both biological replicates	50	0.1	105	51	0.4857142857142857	0.39232189167701137	0.5801150819495345	0.4142857142857143	87	0.06645094259773095	43	0.4095238095238095
pooled direction	50	0.2	48	26	0.5416666666666666	0.40291074545649797	0.6742475770713254	0.5	48	0.3327329060383094	19	0.3958333333333333
both biological replicates	50	0.2	27	15	0.5555555555555556	0.3731302451322448	0.72414141822977	0.46296296296296297	25	0.21217811107635498	14	0.5185185185185185
