age	sample	region	broad	cell_type	subtype	tealeaf_cell_type	replicate	column
P14	M5	Hippocampus	Glia	Astro	Astrocytes	NA	NA	0
P14	M5	Hippocampus	Glia	Astro	Ependymal	NA	NA	1
P14	M5	Hippocampus	Glia	Oligo	COPs	NA	NA	2
P14	M5	Hippocampus	Glia	Oligo	DivOPCs	NA	NA	3
P14	M5	Hippocampus	Glia	Oligo	MFOLs	NA	NA	4
P14	M5	Hippocampus	Glia	Oligo	MOLs	NA	NA	5
P14	M5	Hippocampus	Glia	Oligo	OPCs	NA	NA	6
P14	M5	Hippocampus	Neuron	ExciteNeuron	ExciteCA	NA	NA	7
P14	M5	Hippocampus	Neuron	ExciteNeuron	ExciteDG	NA	NA	8
P14	M5	Hippocampus	Neuron	InhibNeuron	InhCajalRetzius	NA	NA	9
P14	M5	Hippocampus	Neuron	InhibNeuron	InhibNeuron	NA	NA	10
P14	M5	Hippocampus	Neuron	Progenitor	GranuleNB	NA	NA	11
P14	M5	Hippocampus	Neuron	Progenitor	NIPCs	NA	NA	12
P14	M5	Hippocampus	Supportive	Immune	Macrophages	NA	NA	13
P14	M5	Hippocampus	Supportive	Immune	Microglia	NA	NA	14
P14	M5	Hippocampus	Supportive	Vasc	Endo	NA	NA	15
P14	M5	Hippocampus	Supportive	Vasc	Fibroblasts	NA	NA	16
P14	M5	Hippocampus	Supportive	Vasc	Pericytes	NA	NA	17
P14	M5	VisCortex	Glia	Astro	Astrocytes	NA	NA	18
P14	M5	VisCortex	Glia	Astro	Ependymal	NA	NA	19
P14	M5	VisCortex	Glia	Oligo	COPs	NA	NA	20
P14	M5	VisCortex	Glia	Oligo	DivOPCs	NA	NA	21
P14	M5	VisCortex	Glia	Oligo	MFOLs	NA	NA	22
P14	M5	VisCortex	Glia	Oligo	MOLs	NA	NA	23
P14	M5	VisCortex	Glia	Oligo	OPCs	NA	NA	24
P14	M5	VisCortex	Neuron	ExciteNeuron	ExciteL23	NA	NA	25
P14	M5	VisCortex	Neuron	ExciteNeuron	ExciteL4	NA	NA	26
P14	M5	VisCortex	Neuron	ExciteNeuron	ExciteL5	NA	NA	27
P14	M5	VisCortex	Neuron	ExciteNeuron	ExciteL6	NA	NA	28
P14	M5	VisCortex	Neuron	ExciteNeuron	ExciteNP	NA	NA	29
P14	M5	VisCortex	Neuron	InhibNeuron	InhCajalRetzius	NA	NA	30
P14	M5	VisCortex	Neuron	InhibNeuron	InhibNeuron	NA	NA	31
P14	M5	VisCortex	Neuron	Progenitor	NIPCs	NA	NA	32
P14	M5	VisCortex	Supportive	Immune	Macrophages	NA	NA	33
P14	M5	VisCortex	Supportive	Immune	Microglia	NA	NA	34
P14	M5	VisCortex	Supportive	Vasc	Endo	NA	NA	35
P14	M5	VisCortex	Supportive	Vasc	Fibroblasts	NA	NA	36
P14	M5	VisCortex	Supportive	Vasc	Pericytes	NA	NA	37
P14	M6	Hippocampus	Glia	Astro	Astrocytes	NA	NA	38
P14	M6	Hippocampus	Glia	Astro	Ependymal	NA	NA	39
P14	M6	Hippocampus	Glia	Oligo	COPs	NA	NA	40
P14	M6	Hippocampus	Glia	Oligo	DivOPCs	NA	NA	41
