zeta	test_id	block_id	gene_id	gene_name	event_type	level_a	level_b	n_paths	n_mappable_paths	n_mapped_transcripts	mapping_complete	original_effect_norm	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	replicate_1_cosine	replicate_2_cosine	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication	test_statistic	test_p_value	test_raw_p_value
128.0	ENSMUSG00000032356.13:B2|cell_type|EX_cortical|ODC	ENSMUSG00000032356.13:B2	ENSMUSG00000032356.13	ENSMUSG00000032356.13	local path	EX_cortical	ODC	2	2	2	True	0.2260927559609163	0.0722928837131042	0.0163448973150577	1.0	True	0.0211350947084984	0.0118633836917781	1.0000000000000002	1.0	True	358.0	161.0	0.0018465487568021	[142, 1569]	[255, 3164]	[24, 137]	[22, 175]	0.0058019974598973	True	857.5023108316152	2.0708650003106297e-05	2.4635767962019595e-06
128.0	ENSMUSG00000035864.15:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000035864.15:B1	ENSMUSG00000035864.15	ENSMUSG00000035864.15	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0459801531228162	0.1385690971853865	0.0063714283066744	1.0	True	-0.0026340600224372	0.0260421106075677	-1.0	1.0	False	296.54	94.32	0.0017149578449735	[406, 280]	[480, 320]	[111, 90]	[94, 0]	0.0054520109470622	True	223.72278284647103	3.1724881824815205e-05	1.306850263844507e-17
128.0	ENSMUSG00000031229.17:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000031229.17:B1	ENSMUSG00000031229.17	ENSMUSG00000031229.17	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0268332271397178	0.0001399732738992	-3.75593465202923e-06	-1.0	False	5.379706792444947e-05	-5.6027393281106416e-05	1.0	-1.0	False	1268.73	563.34	1.0	[0, 899]	[2, 1352]	[1, 704]	[0, 563]	1.0	False	153.10977812332823	3.1724881824815205e-05	5.042229302126052e-15
128.0	ENSMUSG00000019986.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000019986.18:B1	ENSMUSG00000019986.18	ENSMUSG00000019986.18	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.030805814611101	0.0007457495985631	2.29734238796395e-05	1.0	True	-8.012916625314465e-06	6.018526068506898e-05	-1.0	1.0	False	5200.73	2251.22	0.4027141817127381	[4209, 3]	[3853, 0]	[2947, 1]	[2248, 3]	0.5613591623874531	False	165.7969234643575	3.1724881824815205e-05	7.335324301883358e-14
128.0	ENSMUSG00000033981.15:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	ENSMUSG00000033981.15	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0083345599004032	0.1905853246256068	0.0015884448042299	1.0	True	0.001256015960913	0.0018101748842439	1.0000000000000002	1.0	True	4758.3	2018.8	3.04950257602646e-60	[643, 1535]	[1475, 3016]	[517, 2222]	[352, 1665]	2.0628988014296642e-58	True	116.86338593513368	3.1724881824815205e-05	1.9890455444410157e-13
128.0	ENSMUSG00000032356.13:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000032356.13:B2	ENSMUSG00000032356.13	ENSMUSG00000032356.13	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0597724654390246	0.1464542219583237	0.0087539299204031	1.0	True	0.0078934674766721	0.009607388167954	1.0	1.0	True	3896.5	1503.5	1.4499173646228166e-49	[142, 1569]	[255, 3164]	[422, 1971]	[283, 1220]	6.94752070548433e-48	True	93.51920224552892	3.1724881824815205e-05	4.8213668362510674e-12
128.0	ENSMUSG00000028248.16:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000028248.16:B1	ENSMUSG00000028248.16	ENSMUSG00000028248.16	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0759861345560496	0.0415995261836237	-0.0031609871940567	-1.0000000000000002	False	-0.0047555894138589	-0.0011406438503146	-1.0	-1.0	False	1205.6999999999998	477.1	7.989848381117613e-06	[828, 15]	[1515, 38]	[682, 45]	[460, 16]	3.4284797157780804e-05	False	93.70629228375822	3.1724881824815205e-05	4.882294025965741e-12
128.0	ENSMUSG00000040225.16:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000040225.16:B1	ENSMUSG00000040225.16	ENSMUSG00000040225.16	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0121714262008341	0.0751687791901779	-0.00091491124852	-1.0000000000000002	False	9.41425060052596e-06	-0.0019727718298219	1.0	-1.0	False	333.87	142.16	0.1284391791721127	[74, 180]	[37, 130]	[41, 100]	[64, 127]	0.2272628823158314	False	98.80315759191453	3.1724881824815205e-05	5.464788417349956e-12
128.0	ENSMUSG00000022263.11:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000022263.11:B1	ENSMUSG00000022263.11	ENSMUSG00000022263.11	local path	EX_cortical	INH_medium_spiny	2	2	2	True	0.0843833246818368	0.0116287524626656	0.0009812727947018	1.0	True	0.0150974529198587	-0.0150967282305235	1.0000000000000002	-1.0	False	50.7	17.5	1.0	[51, 7]	[23, 0]	[17, 0]	[29, 4]	1.0	False	86.56510968070772	3.1724881824815205e-05	1.0973670174596732e-11
128.0	ENSMUSG00000063077.16:B2|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000063077.16:B2	ENSMUSG00000063077.16	ENSMUSG00000063077.16	local path	EX_cortical	INH_medium_spiny	2	2	3	True	0.0322793652791776	0.1342308654088852	0.0043328871362735	1.0	True	0.0105915024557662	-0.0040585471956921	1.0	-0.9999999999999998	False	228.79	92.63	0.0116097181172776	[165, 106]	[175, 71]	[114, 21]	[57, 34]	0.029024295293194	True	113.56507863861204	3.1724881824815205e-05	1.7414932027837528e-11
