test_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000000631.21:B1	ENSMUSG00000000631.21	Myo18a	alternative first region	alternative acceptor; mutually exclusive exons	chr11	+	null	[77709406, 77709620]	8	[[[77654071, 77654205], [77668060, 77669140], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77662976, 77663051], [77668060, 77669140], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77668090, 77669140], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77668141, 77669140], [77706681, 77706717], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77692123, 77692206], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77692175, 77692206], [77706681, 77706717], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77692200, 77692206], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77702340, 77702407], [77702834, 77703017]]]	9	101.914568557233	0.001077943615257	0.0300453416923091
ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	13	40.51648772058252	0.0004145936981757	0.0194094253650839
ENSMUSG00000001774.9:B1	ENSMUSG00000001774.9	Chordc1	alternative first region	cassette exon	chr9	+	null	[18203601, 18203756]	2	[[], [[18203420, 18203601]]]	5	18.46685851768575	0.001865671641791	0.0405237326879117
ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	cassette exon	chr7	-	[6721424, 6721555]	[6729488, 6729573]	2	[[], [[6721555, 6721847]]]	13	47.72904714364995	0.0004560530679933	0.0201751182923304
ENSMUSG00000003038.16:B1	ENSMUSG00000003038.16	Hmgn2	alternative first region	alternative acceptor; mutually exclusive exons	chr4	-	[133694267, 133694312]	null	4	[[[133694585, 133694752]], [[133695105, 133695204]], [[133695105, 133695205]], [[133695783, 133695961], [133695105, 133695220]]]	2	25.62550287021986	0.0004560530679933	0.0201751182923304
ENSMUSG00000003038.16:B2	ENSMUSG00000003038.16	Hmgn2	cassette exon	cassette exon	chr4	-	[133693739, 133693790]	[133694076, 133694106]	2	[[], [[133694070, 133694076]]]	2	11.03911853266004	0.0012437810945273	0.0324189861503294
ENSMUSG00000003279.18:B1	ENSMUSG00000003279.18	Dlgap1	alternative first region	mutually exclusive exons	chr17	+	null	[70900161, 70900376]	3	[[[70276240, 70276665], [70385256, 70385418], [70513231, 70513340], [70615041, 70615165], [70731790, 70731883], [70822948, 70823991]], [[70829049, 70829263]], [[70868546, 70868866]]]	10	156.0797182827082	0.0005389718076285	0.0207913764510779
ENSMUSG00000003352.15:B1	ENSMUSG00000003352.15	Cacnb3	alternative first region	mutually exclusive exons	chr15	+	null	[98537368, 98537491]	2	[[[98530256, 98530401]], [[98532647, 98533094]]]	5	24.300154972528617	0.0005389718076285	0.0207913764510779
ENSMUSG00000004591.17:B1	ENSMUSG00000004591.17	Pkn2	alternative first region	cassette exon	chr3	-	[142587371, 142587419]	null	2	[[], [[142587419, 142587765]]]	5	18.06891796364107	0.0020315091210613	0.0427770173875889
ENSMUSG00000006575.15:B3	ENSMUSG00000006575.15	Rundc3a	alternative last region	mutually exclusive exons	chr11	+	[102291719, 102291826]	null	2	[[[102292214, 102292580]], [[102292806, 102293381]]]	9	25.06270930704341	0.0016998341625207	0.0390314301508331
