test_id	block_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000000305.13:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13	Cdh4	whole-gene complex		chr2	+	null	null	2	[[[179084223, 179084471], [179086492, 179086604], [179422046, 179422273], [179439250, 179439421], [179484761, 179484917], [179489012, 179489157], [179501909, 179502082], [179515864, 179516002], [179523602, 179523788], [179527646, 179527900], [179528512, 179528655], [179530881, 179531115], [179532535, 179532769], [179534984, 179535124], [179535820, 179535985], [179537504, 179541166]], [[179084414, 179084471], [179086492, 179086604], [179422046, 179422273], [179439250, 179439421], [179484761, 179484917], [179489012, 179489497]]]	2	8.788242900213058	0.0075187969924812	0.0329457364341085
ENSMUSG00000000631.21:B5|cell_type|ASC|EX_cortical	ENSMUSG00000000631.21:B5	ENSMUSG00000000631.21	Myo18a	alternative last region	alternative donor; cassette exon	chr11	+	[77755516, 77755663]	null	6	[[], [[77755663, 77755674]], [[77755663, 77755882]], [[77755663, 77755935]], [[77755663, 77756663]], [[77755663, 77756806]]]	2	306.1321491753356	0.0111253744116388	0.0444896914480287
ENSMUSG00000000826.17:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000000826.17:B1	ENSMUSG00000000826.17	Dnajc5	alternative first region	mutually exclusive exons	chr2	+	null	[181188163, 181188281]	2	[[[181162277, 181162490]], [[181162739, 181162851]]]	2	22.531361883161868	0.0019664002051895	0.0123603595996838
ENSMUSG00000001175.17:B1|cell_type|EX_cerebellum_granule|INH_medium_spiny	ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	Calm1	alternative first region	mutually exclusive exons	chr12	+	null	[100168651, 100168682]	2	[[[100165693, 100165975]], [[100166402, 100166564]]]	2	12.667438294192657	0.0020309326667708	0.0126509572362524
ENSMUSG00000001175.17:B1|cell_type|EX_cerebellum_granule|INH_midbrain	ENSMUSG00000001175.17:B1	ENSMUSG00000001175.17	Calm1	alternative first region	mutually exclusive exons	chr12	+	null	[100168651, 100168682]	2	[[[100165693, 100165975]], [[100166402, 100166564]]]	2	8.354643512491641	0.0082799562568348	0.0354686980881062
ENSMUSG00000001248.16:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001248.16:B1	ENSMUSG00000001248.16	Gramd1a	alternative first region	cassette exon	chr7	-	[30850320, 30850439]	null	2	[[], [[30850439, 30850507]]]	2	15.75151379698922	0.0041974815110933	0.0215889574535533
ENSMUSG00000001472.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	2	40.75222682200277	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000001472.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	2	22.786074327947155	0.0006601386291121	0.0055859784446949
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	2	51.02751687125857	0.0001174674027957	0.001870378857191
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	2	59.663876724358005	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000001472.18:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	2	80.09060100409098	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000001911.17:B3|cell_type|ASC|EX_cortical	ENSMUSG00000001911.17:B3	ENSMUSG00000001911.17	Nfix	cassette exon	cassette exon	chr8	-	[85448271, 85448447]	[85453097, 85453231]	2	[[], [[85450356, 85450479]]]	2	16.205451942196717	0.00369076324984	0.0196629127983299
ENSMUSG00000001911.17:B4|cell_type|ASC|EX_cortical	ENSMUSG00000001911.17:B4	ENSMUSG00000001911.17	Nfix	cassette exon	cassette exon	chr8	-	[85440394, 85440486]	[85448271, 85448447]	2	[[], [[85442769, 85442917]]]	2	13.120551996988898	0.0054131194330987	0.0260184163227812
ENSMUSG00000001911.17:B4|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000001911.17:B4	ENSMUSG00000001911.17	Nfix	cassette exon	cassette exon	chr8	-	[85440394, 85440486]	[85448271, 85448447]	2	[[], [[85442769, 85442917]]]	2	25.842492909521585	0.0015389218997135	0.0102371292210047
ENSMUSG00000001986.17:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	Gria3	alternative first region		chrX	+	null	[40490441, 40490532]	2	[[[40490004, 40490134], [40490405, 40490441]], [[40490180, 40490441]]]	2	44.20008397703999	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000001986.17:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	Gria3	alternative first region		chrX	+	null	[40490441, 40490532]	2	[[[40490004, 40490134], [40490405, 40490441]], [[40490180, 40490441]]]	2	30.92189134079498	0.0002349348055914	0.0028775059341401
ENSMUSG00000001986.17:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000001986.17:B1	ENSMUSG00000001986.17	Gria3	alternative first region		chrX	+	null	[40490441, 40490532]	2	[[[40490004, 40490134], [40490405, 40490441]], [[40490180, 40490441]]]	2	47.62029313073966	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000002107.19:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	mutually exclusive exons	chr2	-	[6726227, 6726424]	null	4	[[[6726424, 6726426]], [[6726589, 6726739]], [[7085917, 7086018], [6967189, 6967225]], [[7400668, 7400811], [7190282, 7190321], [6967189, 6967225]]]	2	51.81273488969524	0.0092843121651015	0.038850100750022
ENSMUSG00000002107.19:B1|cell_type|EX_cortical|INH_medium_spiny	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	mutually exclusive exons	chr2	-	[6726227, 6726424]	null	4	[[[6726424, 6726426]], [[6726589, 6726739]], [[7085917, 7086018], [6967189, 6967225]], [[7400668, 7400811], [7190282, 7190321], [6967189, 6967225]]]	2	99.47438483003208	5.305321237200913e-05	0.0010522220453781
ENSMUSG00000002107.19:B1|cell_type|EX_cortical|INH_midbrain	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	mutually exclusive exons	chr2	-	[6726227, 6726424]	null	4	[[[6726424, 6726426]], [[6726589, 6726739]], [[7085917, 7086018], [6967189, 6967225]], [[7400668, 7400811], [7190282, 7190321], [6967189, 6967225]]]	2	152.94456423246982	0.0091782057403575	0.0385866924115814
ENSMUSG00000002107.19:B1|cell_type|EX_cortical|INH_migrating_interneuron	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	mutually exclusive exons	chr2	-	[6726227, 6726424]	null	4	[[[6726424, 6726426]], [[6726589, 6726739]], [[7085917, 7086018], [6967189, 6967225]], [[7400668, 7400811], [7190282, 7190321], [6967189, 6967225]]]	2	27.749428364161	0.0015915963711602	0.0104732229196547
ENSMUSG00000002265.18:B1|cell_type|ASC|EX_cortical	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	cassette exon	chr7	-	[6721424, 6721555]	[6729488, 6729573]	2	[[], [[6721555, 6721847]]]	2	52.62069682558948	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000002265.18:B1|cell_type|ASC|INH_midbrain	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	cassette exon	chr7	-	[6721424, 6721555]	[6729488, 6729573]	2	[[], [[6721555, 6721847]]]	2	65.88308717712547	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000002265.18:B1|cell_type|ASC|INH_migrating_interneuron	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	cassette exon	chr7	-	[6721424, 6721555]	[6729488, 6729573]	2	[[], [[6721555, 6721847]]]	2	41.21936368791602	3.1724881824815205e-05	0.001049508388176
ENSMUSG00000002265.18:B1|cell_type|EX_cerebellum_granule|EX_cortical	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	cassette exon	chr7	-	[6721424, 6721555]	[6729488, 6729573]	2	[[], [[6721555, 6721847]]]	2	29.0009847955338	0.0003810249571346	0.0038739264974447
