event_type	event_id	suppa_event_id
SE	0	ENSMUSG00000099840.3;SE:chrY:84764892-84765555:84765589-84772605:+
SE	2	ENSMUSG00000121327.1;SE:chrY:65760010-65761849:65762085-65763392:-
SE	3	ENSMUSG00000121343.1;SE:chrY:29618953-29619515:29619581-29626601:-
SE	4	ENSMUSG00000121343.1;SE:chrY:29626635-29627184:29627250-29639923:-
SE	5	ENSMUSG00000095948.8;SE:chrY:3407071-3407566:3407716-3410096:-
SE	6	ENSMUSG00000095852.8;SE:chrY:2862210-2864561:2864711-2865206:+
SE	7	ENSMUSG00000094658.8;SE:chrY:2830751-2832910:2833060-2833555:+
SE	21	ENSMUSG00000040621.15;SE:chrX:164953546-164959841:164960075-164961788:+
SE	22	ENSMUSG00000040621.15;SE:chrX:164953546-164961530:164961638-164961788:+
SE	27	ENSMUSG00000031381.17;SE:chrX:163202836-163205580:163206359-163210928:+
SE	28	ENSMUSG00000031367.16;SE:chrX:162700839-162714359:162714367-162715129:+
SE	38	ENSMUSG00000000037.18;SE:chrX:160004745-160006153:160006236-160007457:+
SE	39	ENSMUSG00000000037.18;SE:chrX:160006236-160007457:160007540-160008873:+
SE	40	ENSMUSG00000000037.18;SE:chrX:160006236-160008873:160008956-160017609:+
SE	41	ENSMUSG00000000037.18;SE:chrX:160013170-160014396:160014479-160017609:+
SE	51	ENSMUSG00000040990.18;SE:chrX:158623607-158624072:158624182-158648321:+
SE	56	ENSMUSG00000044150.13;SE:chrX:158342949-158349424:158349538-158350915:+
SE	69	ENSMUSG00000025332.15;SE:chrX:151020706-151022626:151022748-151023022:+
SE	78	ENSMUSG00000025272.17;SE:chrX:149428517-149428690:149432651-149433430:-
SE	79	ENSMUSG00000025272.17;SE:chrX:149428517-149432544:149432651-149433430:-
SE	80	ENSMUSG00000025272.17;SE:chrX:149436392-149436985:149438610-149438880:-
SE	83	ENSMUSG00000041380.14;SE:chrX:145764601-145769979:145770112-145855381:+
SE	86	ENSMUSG00000079418.6;SE:chrX:139887138-139888915:139888986-139890907:+
SE	89	ENSMUSG00000031433.16;SE:chrX:138869348-138892265:138892336-138894047:-
SE	90	ENSMUSG00000031433.16;SE:chrX:138895977-138897414:138897495-138899249:-
SE	94	ENSMUSG00000031422.17;SE:chrX:135635250-135636295:135636371-135640554:-
SE	95	ENSMUSG00000031422.17;SE:chrX:135636371-135640554:135640643-135644342:-
SE	98	ENSMUSG00000031424.17;SE:chrX:135419082-135425698:135425976-135427136:+
SE	102	ENSMUSG00000043384.16;SE:chrX:134643727-134644312:134644363-134645248:+
SE	105	ENSMUSG00000052676.17;SE:chrX:133893058-133893146:133893247-133894288:-
SE	110	ENSMUSG00000031264.14;SE:chrX:133474836-133478219:133478373-133483760:-
SE	111	ENSMUSG00000067369.13;SE:chrX:133163633-133164476:133164610-133167010:-
SE	115	ENSMUSG00000067369.13;SE:chrX:133168310-133171259:133171334-133177595:-
SE	116	ENSMUSG00000031257.15;SE:chrX:132993564-132993752:132993898-132995503:-
SE	117	ENSMUSG00000031257.15;SE:chrX:133000371-133000585:133000695-133008482:-
SE	119	ENSMUSG00000031253.16;SE:chrX:132809527-132809702:132809753-132811266:+
SE	120	ENSMUSG00000034480.19;SE:chrX:128650865-128702144:128702176-128704762:+
SE	125	ENSMUSG00000034480.19;SE:chrX:128722092-128726676:128726696-128803649:+
SE	129	ENSMUSG00000079450.13;SE:chrX:122013334-122027151:122027266-122052307:+
SE	130	ENSMUSG00000079450.13;SE:chrX:122027266-122032595:122032635-122052307:+
SE	132	ENSMUSG00000025529.15;SE:chrX:111534573-111536867:111537001-111537801:+
SE	135	ENSMUSG00000034551.13;SE:chrX:110570440-110581040:110581186-110606664:-
SE	136	ENSMUSG00000086629.10;SE:chrX:107879961-107899061:107899100-107899486:+
SE	137	ENSMUSG00000086629.10;SE:chrX:107879961-107899486:107899535-107901874:+
SE	138	ENSMUSG00000086629.10;SE:chrX:107879961-107899486:107899535-107929951:+
SE	140	ENSMUSG00000086629.10;SE:chrX:107879961-107901874:107901978-107929951:+
SE	141	ENSMUSG00000086629.10;SE:chrX:107899535-107901874:107901978-107929951:+
SE	142	ENSMUSG00000086629.10;SE:chrX:107879961-107915078:107915204-107917874:+
SE	143	ENSMUSG00000086629.10;SE:chrX:107879961-107915078:107915204-107929951:+
SE	144	ENSMUSG00000086629.10;SE:chrX:107879961-107915078:107915204-107945070:+
SE	145	ENSMUSG00000086629.10;SE:chrX:107901978-107915078:107915204-107929951:+
SE	146	ENSMUSG00000050921.13;SE:chrX:106133033-106133164:106133338-106146018:+
SE	147	ENSMUSG00000073010.10;SE:chrX:105626852-105669092:105669175-105715106:+
SE	149	ENSMUSG00000087620.9;SE:chrX:104419443-104421622:104421726-104426359:-
SE	151	ENSMUSG00000087620.9;SE:chrX:104431542-104433476:104433533-104435082:-
SE	152	ENSMUSG00000087620.9;SE:chrX:104431542-104433476:104433549-104435082:-
SE	167	ENSMUSG00000034055.17;SE:chrX:101564530-101571673:101571723-101575528:-
SE	168	ENSMUSG00000034055.17;SE:chrX:101564530-101571673:101571723-101575683:-
SE	170	ENSMUSG00000034055.17;SE:chrX:101564530-101575528:101575566-101576009:-
SE	172	ENSMUSG00000034055.17;SE:chrX:101564530-101575683:101575721-101576009:-
SE	175	ENSMUSG00000034055.17;SE:chrX:101599223-101600702:101600878-101603171:-
SE	184	ENSMUSG00000031302.17;SE:chrX:100346037-100346678:100346737-100350681:+
SE	191	ENSMUSG00000059327.10;SE:chrX:99353705-99425061:99425084-99433308:+
SE	192	ENSMUSG00000059327.10;SE:chrX:99438749-99439281:99439419-99440511:+
SE	193	ENSMUSG00000059327.10;SE:chrX:99438749-99439281:99439436-99440511:+
SE	194	ENSMUSG00000045802.14;SE:chrX:95351418-95355323:95355383-95356634:-
SE	195	ENSMUSG00000025656.18;SE:chrX:94095760-94096286:94096396-94098549:-
SE	196	ENSMUSG00000025656.18;SE:chrX:94095760-94097835:94097896-94098549:-
SE	199	ENSMUSG00000025656.18;SE:chrX:94156152-94174442:94174621-94209206:-
