test_id	feature_id	feature_type	start	end	path_numbers	primer	low_cell_type	high_cell_type	n_common_subjects	fitted_delta	observed_delta	observed_delta_se	minimum_total_denominator
ENSMUSG00000000631.21:B1	E:77654071-77654205	exon	77654071	77654205	1	random hexamer	EX_cerebellum_granule	EX_cortical	3	0.43997278506118276	0.3169228506125326	0.4850935486282505	16.86448598130841
ENSMUSG00000000631.21:B1	E:77662976-77663051	exon	77662976	77663051	2	random hexamer	EX_cerebellum_granule	EX_cortical	3	0.08530135010729911	0.0190011098779134	0.0190011098779134	16.86448598130841
ENSMUSG00000000631.21:B1	E:77668060-77668090	exon	77668060	77668090	1,2	random hexamer	EX_cerebellum_granule	EX_cortical	3	0.5252741351684819	0.2774457429338178	0.32315633086593526	16.86448598130841
ENSMUSG00000000631.21:B1	E:77668090-77668141	exon	77668090	77668141	1,2,3	random hexamer	EX_cerebellum_granule	EX_cortical	3	0.40371784234567415	0.04392748610593008	0.2038381512445383	16.86448598130841
ENSMUSG00000000631.21:B1	E:77668141-77669140	exon	77668141	77669140	1,2,3,4	random hexamer	EX_cerebellum_granule	EX_cortical	3	0.40003306131617594	0.050988121561279985	0.09633970302985322	16.86448598130841
ENSMUSG00000000631.21:B1	E:77692200-77692206	exon	77692200	77692206	5,6,7	random hexamer	EX_cortical	EX_cerebellum_granule	3	0.39677273688561215	-0.2468535646737565	0.2515185699185534	16.86448598130841
ENSMUSG00000000631.21:B1	J:77654205-77668060	junction	77654205	77668060	1	poly(dT)	EX_cerebellum_granule	EX_cortical	3	0.2904440175613341	0.01754385964912279	0.01754385964912279	38.0
ENSMUSG00000000631.21:B1	J:77654205-77668060	junction	77654205	77668060	1	random hexamer	INH_midbrain	EX_cortical	5	0.18324951315325136	0.0	0.0	38.0
ENSMUSG00000000631.21:B1	J:77663051-77668060	junction	77663051	77668060	2	poly(dT)	EX_cerebellum_granule	EX_cortical	3	0.08720023636741671	0.0	0.0	38.0
ENSMUSG00000000631.21:B2	E:77713488-77713500	exon	77713488	77713500	2	random hexamer	ASC	EX_cortical	5	0.09673290486672904	0.1846608113925196	0.2834139187287398	8.60604960677556
ENSMUSG00000000631.21:B2	E:77713915-77713930	exon	77713915	77713930	3	random hexamer	EX_cortical	ASC	5	0.07419928101123945	-0.05042624468663183	0.08609423400351239	8.60604960677556
ENSMUSG00000000631.21:B5	E:77755663-77755674	exon	77755663	77755674	2,3,4,5,6	random hexamer	EX_cerebellum_granule	ASC	3	0.24655932585219198	-0.041482510191293766	0.19013521152569043	11.34013605442177
ENSMUSG00000000631.21:B5	E:77755674-77755882	exon	77755674	77755882	3,4,5,6	random hexamer	EX_cerebellum_granule	ASC	3	0.2646944508942283	0.04723319223484548	0.0745970368888166	11.34013605442177
ENSMUSG00000000631.21:B5	E:77755882-77755935	exon	77755882	77755935	4,5,6	random hexamer	EX_cerebellum_granule	ASC	3	0.2972693029612945	-0.026090823382360375	0.24107818076010565	11.34013605442177
ENSMUSG00000000631.21:B5	E:77755935-77756663	exon	77755935	77756663	5,6	random hexamer	EX_cerebellum_granule	ASC	3	0.2979853523519966	0.1231564480221755	0.12092252938306235	11.34013605442177
ENSMUSG00000000631.21:B5	E:77756663-77756806	exon	77756663	77756806	6	random hexamer	EX_cerebellum_granule	ASC	3	0.2851050077963974	0.0	0.0	11.34013605442177
ENSMUSG00000000826.17:B1	E:181162277-181162490	exon	181162277	181162490	1	random hexamer	EX_cerebellum_granule	EX_cortical	7	0.060384344489894416	-0.006387796112682064	0.20528925009988885	30.720338983050844
