path_number	feature_type	feature	feature_id	coordinate	column_order	cell_type	primer	raw_value
1	path	P1	P1:path		0	ASC	poly(dT)	0.05163639250688708
1	path	P1	P1:path		0	EX_cerebellum_granule	poly(dT)	0.025632956678030807
1	path	P1	P1:path		0	EX_cortical	poly(dT)	0.01666804314336851
1	path	P1	P1:path		0	EX_hippocampus_pyramidal	poly(dT)	0.0311889836669502
1	path	P1	P1:path		0	EX_thalamus	poly(dT)	0.029749746379973276
1	path	P1	P1:path		0	INH_medium_spiny	poly(dT)	0.035927310907346945
1	path	P1	P1:path		0	INH_midbrain	poly(dT)	0.02246192677748295
1	path	P1	P1:path		0	INH_migrating_interneuron	poly(dT)	0.023518666203476594
1	path	P1	P1:path		0	ODC	poly(dT)	0.029952662749789378
1	exon	E1	P1:E1	chr16:84810515-84810614	1	ASC	poly(dT)	33.972809667673715
1	exon	E1	P1:E1	chr16:84810515-84810614	1	EX_cerebellum_granule	poly(dT)	63.63830696879008
1	exon	E1	P1:E1	chr16:84810515-84810614	1	EX_cortical	poly(dT)	36.26299027824338
1	exon	E1	P1:E1	chr16:84810515-84810614	1	EX_hippocampus_pyramidal	poly(dT)	30.929752066115704
1	exon	E1	P1:E1	chr16:84810515-84810614	1	EX_thalamus	poly(dT)	29.64788732394366
1	exon	E1	P1:E1	chr16:84810515-84810614	1	INH_medium_spiny	poly(dT)	29.839258114374033
1	exon	E1	P1:E1	chr16:84810515-84810614	1	INH_midbrain	poly(dT)	24.630602782071097
1	exon	E1	P1:E1	chr16:84810515-84810614	1	INH_migrating_interneuron	poly(dT)	21.142857142857142
1	exon	E1	P1:E1	chr16:84810515-84810614	1	ODC	poly(dT)	15.566084788029926
1	junction	J1	P1:J1	chr16:84775174-84810515	2	ASC	poly(dT)	24.924471299093657
1	junction	J1	P1:J1	chr16:84775174-84810515	2	EX_cerebellum_granule	poly(dT)	55.15177426250534
1	junction	J1	P1:J1	chr16:84775174-84810515	2	EX_cortical	poly(dT)	40.3117666778411
