Name Chr Start End INHmediumspiny_polydT_0 INHmediumspiny_randomhexamer_0 INHmidbrain_polydT_0 INHmidbrain_randomhexamer_0
chr2:25181232-25181234 chr2 25181232 25181234 0.3091190108191654 0.0 0.0 0.0
chr2:25181234-25181355 chr2 25181234 25181355 0.6182380216383307 0.0 0.0 0.0
chr2:25181339-25181465 chr2 25181339 25181465 0.0 0.3091190108191654 0.0 0.0
chr2:25181705-25181737 chr2 25181705 25181737 0.0 0.3091190108191654 0.0 0.0
chr2:25181737-25181789 chr2 25181737 25181789 0.0 0.6182380216383307 0.0 0.0
chr2:25181789-25181831 chr2 25181789 25181831 0.0 0.9273570324574961 0.0 0.0
chr2:25181804-25181852 chr2 25181804 25181852 0.0 0.0 0.0 0.3091190108191654
chr2:25181831-25181835 chr2 25181831 25181835 0.0 0.6182380216383307 0.0 0.0
chr2:25181835-25181841 chr2 25181835 25181841 0.0 0.3091190108191654 0.0 0.0
chr2:25181841-25181862 chr2 25181841 25181862 0.0 0.6182380216383307 0.0 0.0
chr2:25181862-25181880 chr2 25181862 25181880 0.0 0.9273570324574961 0.0 0.0
chr2:25181880-25181900 chr2 25181880 25181900 0.0 0.3091190108191654 0.0 0.0
chr2:25181892-25181912 chr2 25181892 25181912 0.0 0.0 0.0 0.3091190108191654
chr2:25181912-25181958 chr2 25181912 25181958 0.0 0.0 0.0 0.6182380216383307
chr2:25181958-25182003 chr2 25181958 25182003 0.0 0.6182380216383307 0.0 0.0
chr2:25181995-25181996 chr2 25181995 25181996 0.0 0.0 0.0 0.3091190108191654
chr2:25181996-25181997 chr2 25181996 25181997 0.0 0.0 0.0 0.6182380216383307
chr2:25181997-25181998 chr2 25181997 25181998 0.0 0.0 0.0 1.2364760432766615
chr2:25181998-25182001 chr2 25181998 25182001 0.0 0.0 0.0 1.545595054095827
chr2:25182001-25182002 chr2 25182001 25182002 0.0 0.0 0.0 1.8547140649149922
chr2:25182002-25182003 chr2 25182002 25182003 0.0 0.0 0.0 2.1638330757341575
chr2:25182003-25182004 chr2 25182003 25182004 0.0 0.0 0.0 2.472952086553323
chr2:25182003-25182017 chr2 25182003 25182017 0.0 1.2364760432766615 0.0 0.0
chr2:25182004-25182007 chr2 25182004 25182007 0.0 0.0 0.0 2.7820710973724885
chr2:25182007-25182008 chr2 25182007 25182008 0.0 0.0 0.0 4.01854714064915
chr2:25182007-25182015 chr2 25182007 25182015 0.0 0.0 0.3091190108191654 0.0
chr2:25182008-25182011 chr2 25182008 25182011 0.0 0.0 0.0 4.327666151468315
chr2:25182011-25182015 chr2 25182011 25182015 0.0 0.0 0.0 4.945904173106646
chr2:25182015-25182018 chr2 25182015 25182018 0.0 0.0 0.0 5.255023183925811
chr2:25182015-25182038 chr2 25182015 25182038 0.0 0.0 0.6182380216383307 0.0
chr2:25182017-25182022 chr2 25182017 25182022 0.0 1.545595054095827 0.0 0.0
chr2:25182018-25182022 chr2 25182018 25182022 0.0 0.0 0.0 5.564142194744977
chr2:25182022-25182023 chr2 25182022 25182023 0.0 0.0 0.0 6.182380216383308
chr2:25182022-25182024 chr2 25182022 25182024 0.0 1.8547140649149922 0.0 0.0
chr2:25182023-25182024 chr2 25182023 25182024 0.0 0.0 0.0 6.800618238021638
chr2:25182024-25182025 chr2 25182024 25182025 0.0 2.1638330757341575 0.0 0.0
chr2:25182024-25182028 chr2 25182024 25182028 0.0 0.0 0.0 7.109737248840804
chr2:25182025-25182033 chr2 25182025 25182033 0.0 2.472952086553323 0.0 0.0
chr2:25182028-25182030 chr2 25182028 25182030 0.0 0.0 0.0 7.418856259659969
chr2:25182030-25182032 chr2 25182030 25182032 0.0 0.0 0.0 7.727975270479134
chr2:25182032-25182033 chr2 25182032 25182033 0.0 0.0 0.0 8.346213292117465
chr2:25182033-25182034 chr2 25182033 25182034 0.0 2.7820710973724885 0.0 9.582689335394127
chr2:25182034-25182035 chr2 25182034 25182035 0.0 0.0 0.0 10.200927357032457
chr2:25182034-25182036 chr2 25182034 25182036 0.0 3.091190108191654 0.0 0.0
chr2:25182035-25182036 chr2 25182035 25182036 0.0 0.0 0.0 11.128284389489954
chr2:25182036-25182037 chr2 25182036 25182037 0.0 3.400309119010819 0.0 12.055641421947449
chr2:25182037-25182038 chr2 25182037 25182038 0.0 3.7094281298299845 0.0 13.910355486862441
chr2:25182038-25182039 chr2 25182038 25182039 0.0 4.01854714064915 0.0 0.0
chr2:25182038-25182040 chr2 25182038 25182040 0.0 0.0 0.0 17.92890262751159
chr2:25182038-25182138 chr2 25182038 25182138 0.0 0.0 0.9273570324574961 0.0
chr2:25182039-25182042 chr2 25182039 25182042 0.0 4.327666151468315 0.0 0.0
chr2:25182040-25182042 chr2 25182040 25182042 0.0 0.0 0.0 18.547140649149924
chr2:25182042-25182043 chr2 25182042 25182043 0.0 4.636785162287481 0.0 0.0
chr2:25182042-25182044 chr2 25182042 25182044 0.0 0.0 0.0 18.856259659969087
chr2:25182043-25182044 chr2 25182043 25182044 0.0 4.945904173106646 0.0 0.0
chr2:25182044-25182045 chr2 25182044 25182045 0.0 5.255023183925811 0.0 19.165378670788254
chr2:25182045-25182046 chr2 25182045 25182046 0.0 0.0 0.0 19.474497681607417
chr2:25182045-25182048 chr2 25182045 25182048 0.0 5.873261205564142 0.0 0.0
chr2:25182046-25182047 chr2 25182046 25182047 0.0 0.0 0.0 20.401854714064914
chr2:25182047-25182049 chr2 25182047 25182049 0.0 0.0 0.0 20.71097372488408
chr2:25182048-25182053 chr2 25182048 25182053 0.0 6.182380216383308 0.0 0.0
chr2:25182049-25182053 chr2 25182049 25182053 0.0 0.0 0.0 21.020092735703244
chr2:25182053-25182054 chr2 25182053 25182054 0.0 0.0 0.0 21.32921174652241
chr2:25182053-25182067 chr2 25182053 25182067 0.0 6.491499227202473 0.0 0.0
chr2:25182054-25182055 chr2 25182054 25182055 0.0 0.0 0.0 21.94744976816074
chr2:25182055-25182060 chr2 25182055 25182060 0.0 0.0 0.0 22.256568778979908
chr2:25182060-25182064 chr2 25182060 25182064 0.0 0.0 0.0 22.56568778979907
chr2:25182064-25182066 chr2 25182064 25182066 0.0 0.0 0.0 22.874806800618238
chr2:25182066-25182068 chr2 25182066 25182068 0.0 0.0 0.0 23.183925811437405
chr2:25182067-25182070 chr2 25182067 25182070 0.0 6.800618238021638 0.0 0.0
chr2:25182068-25182069 chr2 25182068 25182069 0.0 0.0 0.0 23.493044822256568
chr2:25182069-25182070 chr2 25182069 25182070 0.0 0.0 0.0 23.802163833075735
chr2:25182070-25182072 chr2 25182070 25182072 0.0 0.0 0.0 24.111282843894898
chr2:25182070-25182073 chr2 25182070 25182073 0.0 6.491499227202473 0.0 0.0
chr2:25182072-25182073 chr2 25182072 25182073 0.0 0.0 0.0 24.72952086553323
chr2:25182073-25182074 chr2 25182073 25182074 0.0 0.0 0.0 25.038639876352395
chr2:25182073-25182078 chr2 25182073 25182078 0.0 6.800618238021638 0.0 0.0
chr2:25182074-25182076 chr2 25182074 25182076 0.0 0.0 0.0 25.965996908809892
chr2:25182076-25182077 chr2 25182076 25182077 0.0 0.0 0.0 26.89335394126739
chr2:25182077-25182081 chr2 25182077 25182081 0.0 0.0 0.0 27.202472952086552
chr2:25182078-25182079 chr2 25182078 25182079 0.0 7.109737248840804 0.0 0.0
chr2:25182079-25182083 chr2 25182079 25182083 0.0 7.418856259659969 0.0 0.0
chr2:25182081-25182084 chr2 25182081 25182084 0.0 0.0 0.0 27.51159196290572
chr2:25182083-25182088 chr2 25182083 25182088 0.0 7.727975270479134 0.0 0.0
chr2:25182084-25182088 chr2 25182084 25182088 0.0 0.0 0.0 28.12982998454405
chr2:25182088-25182089 chr2 25182088 25182089 0.0 0.0 0.0 29.057187017001546
chr2:25182088-25182099 chr2 25182088 25182099 0.0 8.0370942812983 0.0 0.0
chr2:25182089-25182090 chr2 25182089 25182090 0.0 0.0 0.0 28.74806800618238
chr2:25182090-25182091 chr2 25182090 25182091 0.0 0.0 0.0 29.057187017001546
chr2:25182091-25182092 chr2 25182091 25182092 0.0 0.0 0.0 29.36630602782071
chr2:25182092-25182093 chr2 25182092 25182093 0.0 0.0 0.0 29.675425038639876
chr2:25182093-25182098 chr2 25182093 25182098 0.0 0.0 0.0 29.984544049459043
chr2:25182098-25182105 chr2 25182098 25182105 0.0 0.0 0.0 30.293663060278206
chr2:25182099-25182113 chr2 25182099 25182113 0.0 8.65533230293663 0.0 0.0
chr2:25182105-25182112 chr2 25182105 25182112 0.0 0.0 0.0 30.911901081916536
chr2:25182112-25182113 chr2 25182112 25182113 0.0 0.0 0.0 31.221020092735703
chr2:25182113-25182116 chr2 25182113 25182116 0.0 8.964451313755795 0.0 0.0
chr2:25182113-25182118 chr2 25182113 25182118 0.0 0.0 0.0 31.839258114374033
chr2:25182116-25182126 chr2 25182116 25182126 0.0 9.273570324574962 0.0 0.0
chr2:25182118-25182119 chr2 25182118 25182119 0.0 0.0 0.0 32.1483771251932
chr2:25182119-25182120 chr2 25182119 25182120 0.0 0.0 0.0 32.766615146831526
chr2:25182120-25182121 chr2 25182120 25182121 0.0 0.0 0.0 33.07573415765069
chr2:25182121-25182122 chr2 25182121 25182122 0.0 0.0 0.0 34.003091190108194
chr2:25182122-25182123 chr2 25182122 25182123 0.0 0.0 0.0 34.31221020092735
