feature_type	feature	coordinate	cell_type	primer	coverage
junction	J1	chr2:25181355-25183669	INH_medium_spiny	poly(dT)	0.6182380216383307
junction	J2	chr2:25181835-25181862	INH_medium_spiny	poly(dT)	0.0
junction	J3	chr2:25181852-25182413	INH_medium_spiny	poly(dT)	0.0
junction	J4	chr2:25181880-25181958	INH_medium_spiny	poly(dT)	0.0
junction	J5	chr2:25181958-25182105	INH_medium_spiny	poly(dT)	0.0
junction	J6	chr2:25182141-25184450	INH_medium_spiny	poly(dT)	0.0
junction	J7	chr2:25182141-25185804	INH_medium_spiny	poly(dT)	0.0
junction	J8	chr2:25182377-25182413	INH_medium_spiny	poly(dT)	0.0
junction	J9	chr2:25182497-25184450	INH_medium_spiny	poly(dT)	28.748068006182383
junction	J10	chr2:25182497-25185804	INH_medium_spiny	poly(dT)	3.709428129829985
junction	J11	chr2:25182663-25182710	INH_medium_spiny	poly(dT)	0.0
junction	J12	chr2:25182808-25183714	INH_medium_spiny	poly(dT)	0.0
junction	J13	chr2:25182936-25183033	INH_medium_spiny	poly(dT)	0.0
junction	J14	chr2:25184561-25185497	INH_medium_spiny	poly(dT)	0.3091190108191654
junction	J15	chr2:25184561-25185804	INH_medium_spiny	poly(dT)	127.97527047913444
junction	J16	chr2:25184561-25185808	INH_medium_spiny	poly(dT)	0.0
junction	J17	chr2:25184754-25185620	INH_medium_spiny	poly(dT)	0.0
junction	J18	chr2:25184814-25185146	INH_medium_spiny	poly(dT)	0.0
junction	J19	chr2:25185816-25185913	INH_medium_spiny	poly(dT)	0.6182380216383307
junction	J1	chr2:25181355-25183669	INH_medium_spiny	random hexamer	0.0
junction	J2	chr2:25181835-25181862	INH_medium_spiny	random hexamer	0.3091190108191654
junction	J3	chr2:25181852-25182413	INH_medium_spiny	random hexamer	0.0
junction	J4	chr2:25181880-25181958	INH_medium_spiny	random hexamer	0.6182380216383307
junction	J5	chr2:25181958-25182105	INH_medium_spiny	random hexamer	0.0
junction	J6	chr2:25182141-25184450	INH_medium_spiny	random hexamer	1.8547140649149925
junction	J7	chr2:25182141-25185804	INH_medium_spiny	random hexamer	9.582689335394123
junction	J8	chr2:25182377-25182413	INH_medium_spiny	random hexamer	0.3091190108191654
junction	J9	chr2:25182497-25184450	INH_medium_spiny	random hexamer	24.72952086553324
junction	J10	chr2:25182497-25185804	INH_medium_spiny	random hexamer	7.418856259659969
junction	J11	chr2:25182663-25182710	INH_medium_spiny	random hexamer	0.0
junction	J12	chr2:25182808-25183714	INH_medium_spiny	random hexamer	0.0
junction	J13	chr2:25182936-25183033	INH_medium_spiny	random hexamer	0.0
junction	J14	chr2:25184561-25185497	INH_medium_spiny	random hexamer	0.0
junction	J15	chr2:25184561-25185804	INH_medium_spiny	random hexamer	54.40494590417313
junction	J16	chr2:25184561-25185808	INH_medium_spiny	random hexamer	0.3091190108191654
junction	J17	chr2:25184754-25185620	INH_medium_spiny	random hexamer	0.0
junction	J18	chr2:25184814-25185146	INH_medium_spiny	random hexamer	0.0
junction	J19	chr2:25185816-25185913	INH_medium_spiny	random hexamer	0.0
junction	J1	chr2:25181355-25183669	INH_midbrain	poly(dT)	0.0
junction	J2	chr2:25181835-25181862	INH_midbrain	poly(dT)	0.0
junction	J3	chr2:25181852-25182413	INH_midbrain	poly(dT)	0.0
junction	J4	chr2:25181880-25181958	INH_midbrain	poly(dT)	0.0
junction	J5	chr2:25181958-25182105	INH_midbrain	poly(dT)	0.0
junction	J6	chr2:25182141-25184450	INH_midbrain	poly(dT)	0.0
junction	J7	chr2:25182141-25185804	INH_midbrain	poly(dT)	0.927357032457496
junction	J8	chr2:25182377-25182413	INH_midbrain	poly(dT)	0.0
junction	J9	chr2:25182497-25184450	INH_midbrain	poly(dT)	1.8547140649149925
junction	J10	chr2:25182497-25185804	INH_midbrain	poly(dT)	8.964451313755795
junction	J11	chr2:25182663-25182710	INH_midbrain	poly(dT)	0.3091190108191654
junction	J12	chr2:25182808-25183714	INH_midbrain	poly(dT)	0.0
junction	J13	chr2:25182936-25183033	INH_midbrain	poly(dT)	0.3091190108191654
junction	J14	chr2:25184561-25185497	INH_midbrain	poly(dT)	0.0
junction	J15	chr2:25184561-25185804	INH_midbrain	poly(dT)	20.09273570324576
junction	J16	chr2:25184561-25185808	INH_midbrain	poly(dT)	0.0
junction	J17	chr2:25184754-25185620	INH_midbrain	poly(dT)	0.3091190108191654
junction	J18	chr2:25184814-25185146	INH_midbrain	poly(dT)	0.0
junction	J19	chr2:25185816-25185913	INH_midbrain	poly(dT)	0.0
junction	J1	chr2:25181355-25183669	INH_midbrain	random hexamer	0.0
junction	J2	chr2:25181835-25181862	INH_midbrain	random hexamer	0.0
junction	J3	chr2:25181852-25182413	INH_midbrain	random hexamer	0.3091190108191654
junction	J4	chr2:25181880-25181958	INH_midbrain	random hexamer	0.0
junction	J5	chr2:25181958-25182105	INH_midbrain	random hexamer	0.6182380216383307
junction	J6	chr2:25182141-25184450	INH_midbrain	random hexamer	2.472952086553323
junction	J7	chr2:25182141-25185804	INH_midbrain	random hexamer	40.18547140649149
junction	J8	chr2:25182377-25182413	INH_midbrain	random hexamer	0.3091190108191654
junction	J9	chr2:25182497-25184450	INH_midbrain	random hexamer	4.63678516228748
junction	J10	chr2:25182497-25185804	INH_midbrain	random hexamer	11.437403400309115
junction	J11	chr2:25182663-25182710	INH_midbrain	random hexamer	0.0
junction	J12	chr2:25182808-25183714	INH_midbrain	random hexamer	0.3091190108191654
junction	J13	chr2:25182936-25183033	INH_midbrain	random hexamer	0.0
junction	J14	chr2:25184561-25185497	INH_midbrain	random hexamer	0.0
junction	J15	chr2:25184561-25185804	INH_midbrain	random hexamer	20.09273570324576
junction	J16	chr2:25184561-25185808	INH_midbrain	random hexamer	0.0
junction	J17	chr2:25184754-25185620	INH_midbrain	random hexamer	0.0
junction	J18	chr2:25184814-25185146	INH_midbrain	random hexamer	0.3091190108191654
junction	J19	chr2:25185816-25185913	INH_midbrain	random hexamer	0.0
exon	E1	chr2:25181193-25182140	INH_medium_spiny	poly(dT)	0.07956227704628306
exon	E1	chr2:25181193-25182140	INH_medium_spiny	random hexamer	1.1275670246969132
exon	E1	chr2:25181193-25182140	INH_midbrain	poly(dT)	0.11771304103978765
exon	E1	chr2:25181193-25182140	INH_midbrain	random hexamer	3.438459883004324
exon	E2	chr2:25182141-25182496	INH_medium_spiny	poly(dT)	2.5476269037736836
exon	E2	chr2:25182141-25182496	INH_medium_spiny	random hexamer	7.737526700588716
exon	E2	chr2:25182141-25182496	INH_midbrain	poly(dT)	0.6026084087317437
exon	E2	chr2:25182141-25182496	INH_midbrain	random hexamer	4.422312140735981
exon	E3	chr2:25184450-25184560	INH_medium_spiny	poly(dT)	85.40317752064274
exon	E3	chr2:25184450-25184560	INH_medium_spiny	random hexamer	41.77840901179387
exon	E3	chr2:25184450-25184560	INH_midbrain	poly(dT)	11.47082167174903
exon	E3	chr2:25184450-25184560	INH_midbrain	random hexamer	15.085564699165936
exon	E4	chr2:25185804-25185949	INH_medium_spiny	poly(dT)	76.79066714657746
exon	E4	chr2:25185804-25185949	INH_medium_spiny	random hexamer	42.8299210264445
exon	E4	chr2:25185804-25185949	INH_midbrain	poly(dT)	23.95460608498656
exon	E4	chr2:25185804-25185949	INH_midbrain	random hexamer	39.065444305646714
