test_id	block_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr
ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13:B1	ENSMUSG00000000305.13	Cdh4	whole-gene complex		chr2	+	null	null	2	[[[179084223, 179084471], [179086492, 179086604], [179422046, 179422273], [179439250, 179439421], [179484761, 179484917], [179489012, 179489157], [179501909, 179502082], [179515864, 179516002], [179523602, 179523788], [179527646, 179527900], [179528512, 179528655], [179530881, 179531115], [179532535, 179532769], [179534984, 179535124], [179535820, 179535985], [179537504, 179541166]], [[179084414, 179084471], [179086492, 179086604], [179422046, 179422273], [179439250, 179439421], [179484761, 179484917], [179489012, 179489497]]]	5	11.982109493617209	0.0104153750774953	0.0339118519433623
ENSMUSG00000000631.21:B1	ENSMUSG00000000631.21:B1	ENSMUSG00000000631.21	Myo18a	alternative first region	alternative acceptor; mutually exclusive exons	chr11	+	null	[77709406, 77709620]	8	[[[77654071, 77654205], [77668060, 77669140], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77662976, 77663051], [77668060, 77669140], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77668090, 77669140], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77668141, 77669140], [77706681, 77706717], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77692123, 77692206], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77692175, 77692206], [77706681, 77706717], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77692200, 77692206], [77708444, 77708532], [77708724, 77708831], [77708927, 77709104]], [[77702340, 77702407], [77702834, 77703017]]]	4	68.4071375740781	0.0001905306277984	0.0015180391809236
ENSMUSG00000000631.21:B5	ENSMUSG00000000631.21:B5	ENSMUSG00000000631.21	Myo18a	alternative last region	alternative donor; cassette exon	chr11	+	[77755516, 77755663]	null	6	[[], [[77755663, 77755674]], [[77755663, 77755882]], [[77755663, 77755935]], [[77755663, 77756663]], [[77755663, 77756806]]]	4	52.53376509786998	0.0001905306277984	0.0015180391809236
ENSMUSG00000000826.17:B1	ENSMUSG00000000826.17:B1	ENSMUSG00000000826.17	Dnajc5	alternative first region	mutually exclusive exons	chr2	+	null	[181188163, 181188281]	2	[[[181162277, 181162490]], [[181162739, 181162851]]]	4	10.890395329678231	0.0046617109739196	0.0177025740821979
ENSMUSG00000001419.18:B3	ENSMUSG00000001419.18:B3	ENSMUSG00000001419.18	Mef2d	cassette exon	cassette exon	chr3	+	[88068497, 88068688]	[88070264, 88070394]	2	[[], [[88069087, 88069108]]]	4	9.596205067260154	0.0098273907017764	0.0322925882654316
ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18:B1	ENSMUSG00000001472.18	Tcf25	alternative first region		chr8	+	null	[124124721, 124124880]	2	[[[124100522, 124100803], [124108138, 124108300], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]], [[124100562, 124100803], [124108138, 124108300], [124109265, 124109340], [124110063, 124110182], [124111087, 124111153], [124115303, 124115386], [124116403, 124116534], [124117517, 124117617], [124118319, 124118413], [124119660, 124119753], [124119870, 124119976], [124122289, 124122449], [124123745, 124123833]]]	6	19.21678029621869	0.0009887284951552	0.004921019502061
ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19:B1	ENSMUSG00000002107.19	Celf2	alternative first region	mutually exclusive exons	chr2	-	[6726227, 6726424]	null	4	[[[6726424, 6726426]], [[6726589, 6726739]], [[7085917, 7086018], [6967189, 6967225]], [[7400668, 7400811], [7190282, 7190321], [6967189, 6967225]]]	6	85.53442271703813	9.52653138992093e-05	0.0015180391809236
ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18:B1	ENSMUSG00000002265.18	Peg3	cassette exon	cassette exon	chr7	-	[6721424, 6721555]	[6729488, 6729573]	2	[[], [[6721555, 6721847]]]	7	61.975882181615766	0.000223164472216	0.0015647871063651
ENSMUSG00000002546.18:B1	ENSMUSG00000002546.18:B1	ENSMUSG00000002546.18	Golga2	alternative first region	alternative acceptor; cassette exon	chr2	+	null	[32178357, 32178408]	3	[[], [[32178264, 32178357]], [[32178324, 32178357]]]	2	8.436094041762672	0.00307662724738	0.0126546723500782
ENSMUSG00000002985.17:B2	ENSMUSG00000002985.17:B2	ENSMUSG00000002985.17	Apoe	alternative last region	mutually exclusive exons	chr7	-	null	[19431403, 19431572]	2	[[[19430196, 19431028]], [[19431180, 19431403]]]	3	12.268947274914131	0.0001922892029612	0.0015180391809236
ENSMUSG00000003119.15:B1	ENSMUSG00000003119.15:B1	ENSMUSG00000003119.15	Cdk12	alternative first region	alternative acceptor; cassette exon	chr11	+	null	[98094160, 98095236]	3	[[], [[98093884, 98094160]], [[98094139, 98094160]]]	4	17.3174875739821	0.0071412631109127	0.0249874058949618
ENSMUSG00000003279.18:B1	ENSMUSG00000003279.18:B1	ENSMUSG00000003279.18	Dlgap1	alternative first region	mutually exclusive exons	chr17	+	null	[70900161, 70900376]	3	[[[70276240, 70276665], [70385256, 70385418], [70513231, 70513340], [70615041, 70615165], [70731790, 70731883], [70822948, 70823991]], [[70829049, 70829263]], [[70868546, 70868866]]]	8	52.89611826264879	0.0001905306277984	0.0015180391809236
ENSMUSG00000003363.16:B1	ENSMUSG00000003363.16:B1	ENSMUSG00000003363.16	Pld3	alternative first region	cassette exon	chr7	-	[27252422, 27252637]	null	2	[[], [[27252637, 27252643]]]	5	21.950568418623725	0.0003719776813391	0.0022697996529028
ENSMUSG00000004113.19:B2	ENSMUSG00000004113.19:B2	ENSMUSG00000004113.19	Cacna1b	mutually exclusive exons	mutually exclusive exons	chr2	-	[24651787, 24651892]	[24652775, 24653059]	2	[[[24651892, 24651893]], [[24652774, 24652775]]]	4	22.5252164804116	0.0001259921884843	0.0015180391809236
ENSMUSG00000004113.19:B8	ENSMUSG00000004113.19:B8	ENSMUSG00000004113.19	Cacna1b	alternative last region	alternative donor; cassette exon	chr2	-	null	[24496581, 24497112]	3	[[], [[24493898, 24496581]], [[24496386, 24496581]]]	4	32.334589990656035	0.000223164472216	0.0015647871063651
ENSMUSG00000004207.15:B2	ENSMUSG00000004207.15:B2	ENSMUSG00000004207.15	Psap	compound internal	cassette exon; multi-exon skipping	chr10	+	[60131725, 60131782]	[60134876, 60135008]	3	[[], [[60131782, 60131786], [60134820, 60134825]], [[60134870, 60134876]]]	6	25.51894869904703	0.0084786129370296	0.02876268503019
ENSMUSG00000005045.17:B1	ENSMUSG00000005045.17:B1	ENSMUSG00000005045.17	Chd5	alternative first region	cassette exon	chr4	+	null	[152423343, 152423487]	2	[[], [[152423107, 152423343]]]	7	67.3322813228603	0.000223164472216	0.0015647871063651
ENSMUSG00000005089.16:B1	ENSMUSG00000005089.16:B1	ENSMUSG00000005089.16	Slc1a2	alternative first region	mutually exclusive exons	chr2	+	null	[102566288, 102566428]	2	[[[102489003, 102489646]], [[102536782, 102536828]]]	7	55.94915819729909	0.000223164472216	0.0015647871063651
ENSMUSG00000005360.15:B1	ENSMUSG00000005360.15:B1	ENSMUSG00000005360.15	Slc1a3	alternative first region	cassette exon	chr15	-	[8739822, 8739893]	null	2	[[], [[8739893, 8740248]]]	2	6.080427180481525	0.0005804391989939	0.0031231486809913
ENSMUSG00000005417.18:B1	ENSMUSG00000005417.18:B1	ENSMUSG00000005417.18	Mprip	alternative first region	cassette exon	chr11	+	null	[59553332, 59553774]	2	[[], [[59553320, 59553332]]]	7	18.818235022306787	0.0031243026110243	0.0127331417625499
ENSMUSG00000005417.18:B2	ENSMUSG00000005417.18:B2	ENSMUSG00000005417.18	Mprip	cassette exon	cassette exon	chr11	+	[59622333, 59622418]	[59626769, 59626890]	2	[[], [[59626655, 59626769]]]	7	52.29937326984055	0.000223164472216	0.0015647871063651
ENSMUSG00000005417.18:B3	ENSMUSG00000005417.18:B3	ENSMUSG00000005417.18	Mprip	cassette exon	cassette exon	chr11	+	[59631945, 59632087]	[59634596, 59634653]	2	[[], [[59632816, 59632924]]]	7	18.818225613357004	0.0033474670832403	0.0136115042813951
ENSMUSG00000005506.17:B1	ENSMUSG00000005506.17:B1	ENSMUSG00000005506.17	Celf1	alternative first region	alternative acceptor; cassette exon; mutually exclusive exons	chr2	+	null	[90828924, 90829112]	4	[[[90770741, 90770986]], [[90770741, 90770986], [90818009, 90818161]], [[90770887, 90770986]], [[90828923, 90828924]]]	3	26.755580529252168	0.000446328944432	0.0025396544729503
ENSMUSG00000005506.17:B2	ENSMUSG00000005506.17:B2	ENSMUSG00000005506.17	Celf1	cassette exon	cassette exon	chr2	+	[90835045, 90835207]	[90836976, 90837040]	2	[[], [[90836964, 90836976]]]	3	16.236050720303254	9.614460148062688e-05	0.0015180391809236
ENSMUSG00000005506.17:B3	ENSMUSG00000005506.17:B3	ENSMUSG00000005506.17	Celf1	cassette exon	cassette exon	chr2	+	[90838516, 90838645]	[90839549, 90839660]	2	[[], [[90839546, 90839549]]]	3	11.088391485689048	0.0002884338044418	0.0019312052846277
ENSMUSG00000005506.17:B4	ENSMUSG00000005506.17:B4	ENSMUSG00000005506.17	Celf1	compound internal	alternative acceptor; cassette exon	chr2	+	[90843582, 90843747]	[90846910, 90849835]	3	[[], [[90843747, 90846910]], [[90843835, 90846910]]]	3	22.60865257617025	0.0001239925604463	0.0015180391809236
ENSMUSG00000005506.17:B5	ENSMUSG00000005506.17:B5	ENSMUSG00000005506.17	Celf1	alternative last region	cassette exon	chr2	+	[90846910, 90849835]	null	2	[[], [[90849835, 90849842]]]	3	13.947412651736515	9.614460148062688e-05	0.0015180391809236
ENSMUSG00000005871.16:B1	ENSMUSG00000005871.16:B1	ENSMUSG00000005871.16	Apc	alternative first region	mutually exclusive exons	chr18	+	null	[34394057, 34394210]	2	[[[34354036, 34354329]], [[34380750, 34380787]]]	6	28.353596236049736	0.000197745699031	0.0015180391809236
ENSMUSG00000006005.19:B1	ENSMUSG00000006005.19:B1	ENSMUSG00000006005.19	Tpr	alternative first region	mutually exclusive exons	chr1	+	null	[150269106, 150269409]	2	[[[150268588, 150268764]], [[150269000, 150269106]]]	6	26.914645692022685	0.000197745699031	0.0015180391809236
ENSMUSG00000006476.20:B3	ENSMUSG00000006476.20:B3	ENSMUSG00000006476.20	Nsmf	compound internal	cassette exon; multi-exon skipping	chr2	+	[24947112, 24947188]	[24949032, 24949057]	3	[[], [[24947976, 24947982], [24948264, 24948333]], [[24948264, 24948333]]]	3	11.57893825041096	0.0135151890886546	0.0424524722520176
ENSMUSG00000006575.15:B1	ENSMUSG00000006575.15:B1	ENSMUSG00000006575.15	Rundc3a	cassette exon	cassette exon	chr11	+	[102288396, 102288512]	[102288925, 102289059]	2	[[], [[102288910, 102288925]]]	5	11.83389001502767	0.0122752634841909	0.0389701323802924
ENSMUSG00000006800.15:B1	ENSMUSG00000006800.15:B1	ENSMUSG00000006800.15	Sulf2	alternative first region	cassette exon; mutually exclusive exons	chr2	-	[165974507, 165974774]	null	3	[[[165996866, 165997205]], [[165997422, 165997583]], [[165997422, 165997583], [165983633, 165983686]]]	4	21.03314291759061	0.0015621513055121	0.0070613996830384
ENSMUSG00000006930.16:B1	ENSMUSG00000006930.16:B1	ENSMUSG00000006930.16	Hap1	alternative first region	cassette exon	chr11	-	[100246515, 100246913]	null	2	[[], [[100246913, 100246954]]]	4	10.483934567335352	0.0057956406702784	0.0211218754435183
ENSMUSG00000008658.17:B1	ENSMUSG00000008658.17:B1	ENSMUSG00000008658.17	Rbfox1	alternative first region	mutually exclusive exons	chr16	+	null	[7042174, 7042414]	4	[[[6167001, 6167095], [6305682, 6305730], [6627070, 6627112]], [[6627085, 6627112]], [[6887709, 6887949]], [[7042173, 7042174]]]	4	24.59065796057797	0.0061922454034486	0.0222795738657413
ENSMUSG00000008658.17:B3	ENSMUSG00000008658.17:B3	ENSMUSG00000008658.17	Rbfox1	mutually exclusive exons	mutually exclusive exons	chr16	+	[7170795, 7170928]	[7193768, 7193833]	2	[[[7181728, 7181768]], [[7187664, 7187707]]]	4	10.436463695042432	0.0059216328587627	0.0213923491307433
ENSMUSG00000009394.14:B1	ENSMUSG00000009394.14:B1	ENSMUSG00000009394.14	Syn2	alternative first region	alternative acceptor	chr6	+	null	[115111910, 115112421]	2	[[[115111862, 115111910]], [[115111877, 115111910]]]	9	22.17438890161686	0.0089549395065256	0.0302059607218223
ENSMUSG00000009569.15:B1	ENSMUSG00000009569.15:B1	ENSMUSG00000009569.15	Mrtfb	whole-gene complex		chr16	+	null	null	3	[[[13074344, 13074418], [13082942, 13083003], [13144245, 13144435], [13196127, 13196193], [13197703, 13197759], [13199391, 13199467], [13202057, 13202219], [13203469, 13203648], [13212686, 13212824], [13216087, 13216350], [13217943, 13218043], [13218516, 13219548], [13221018, 13221174], [13223112, 13223271], [13223628, 13223766], [13227480, 13227541], [13230023, 13232927]], [[13082939, 13083003], [13144245, 13144435], [13149877, 13149940], [13150482, 13150783]], [[13176284, 13176623], [13196127, 13196193], [13197703, 13197759], [13199391, 13199467], [13202057, 13202219], [13203469, 13203648], [13212686, 13212824], [13216087, 13216350], [13217943, 13218043], [13218516, 13219548], [13221018, 13221174], [13223112, 13223271], [13223628, 13223766], [13227480, 13227541], [13230023, 13235393]]]	7	41.7079159727541	0.000476326569496	0.0026345888828337
ENSMUSG00000010086.18:B3	ENSMUSG00000010086.18:B3	ENSMUSG00000010086.18	Rnf112	cassette exon	cassette exon	chr11	-	[61341653, 61341728]	[61341803, 61341860]	2	[[], [[61341728, 61341803]]]	2	5.238200947109066	0.0017413175969817	0.0078118051391043
ENSMUSG00000011751.17:B1	ENSMUSG00000011751.17:B1	ENSMUSG00000011751.17	Sptbn4	alternative first region	mutually exclusive exons	chr7	-	[27093582, 27093729]	null	4	[[[27093729, 27093931]], [[27095542, 27095623]], [[27095913, 27095978]], [[27145887, 27146024], [27141819, 27142006], [27133630, 27133782], [27132472, 27132646], [27127608, 27127700], [27126250, 27126331], [27123133, 27123249], [27118412, 27118525], [27117989, 27118177], [27117795, 27117913], [27117382, 27117541], [27116129, 27116432], [27114082, 27114233], [27107667, 27108601], [27106535, 27106673], [27103592, 27104343], [27102160, 27102363], [27097375, 27097466]]]	4	44.57793709058963	0.0001905306277984	0.0015180391809236
ENSMUSG00000011877.14:B1	ENSMUSG00000011877.14:B1	ENSMUSG00000011877.14	Git1	alternative first region	cassette exon	chr11	+	null	[77384396, 77384460]	2	[[], [[77384387, 77384396]]]	7	19.60640714122528	0.0024548091943762	0.0103848341453304
