test_id	feature_id	feature_type	primer	n_cell_types	fitted_range	rank_correlation
ENSMUSG00000000631.21:B5	E:77755663-77755674	exon	random hexamer	4	0.1772687461564939	0.39999999999999997
ENSMUSG00000000631.21:B5	E:77755674-77755882	exon	random hexamer	4	0.18393247654783962	0.7999999999999999
ENSMUSG00000000631.21:B5	E:77755882-77755935	exon	random hexamer	4	0.19138811180877158	0.19999999999999998
ENSMUSG00000000631.21:B5	E:77755935-77756663	exon	random hexamer	4	0.18921700468951103	-1.0
ENSMUSG00000000631.21:B5	E:77756663-77756806	exon	random hexamer	4	0.19597164733046407	0.9486832980505139
ENSMUSG00000001248.16:B1	E:30850439-30850507	exon	random hexamer	3	0.0520920252336589	-0.5
ENSMUSG00000001419.18:B3	E:88069087-88069108	exon	random hexamer	4	0.30743249966896047	-0.39999999999999997
ENSMUSG00000001419.18:B3	J:88068688-88069087	junction	random hexamer	4	0.30743249966896047	0.6000000000000001
ENSMUSG00000001419.18:B3	J:88068688-88070264	junction	random hexamer	4	0.30743249966896036	0.7378647873726218
ENSMUSG00000001419.18:B3	J:88069108-88070264	junction	random hexamer	4	0.30743249966896047	0.6000000000000001
ENSMUSG00000001472.18:B1	E:124100522-124100562	exon	random hexamer	5	0.09960038905060761	0.8999999999999998
ENSMUSG00000001472.18:B1	E:124109265-124109340	exon	random hexamer	5	0.09960038905060764	-0.7
ENSMUSG00000001472.18:B1	J:124108300-124109265	junction	random hexamer	5	0.09960038905060764	-0.7
ENSMUSG00000001472.18:B1	J:124108300-124110063	junction	random hexamer	5	0.09960038905060761	0.7999999999999999
ENSMUSG00000001472.18:B1	J:124109340-124110063	junction	random hexamer	5	0.09960038905060764	-0.7
ENSMUSG00000001911.17:B4	E:85442769-85442917	exon	poly(dT)	3	0.10266511119193789	0.5
ENSMUSG00000001911.17:B4	E:85442769-85442917	exon	random hexamer	3	0.10266511119193789	1.0
ENSMUSG00000001911.17:B4	J:85440486-85442769	junction	poly(dT)	3	0.10266511119193789	1.0
ENSMUSG00000001911.17:B4	J:85440486-85442769	junction	random hexamer	3	0.10266511119193789	0.5
ENSMUSG00000001911.17:B4	J:85440486-85448271	junction	poly(dT)	3	0.10266511119193791	0.5
ENSMUSG00000001911.17:B4	J:85440486-85448271	junction	random hexamer	3	0.10266511119193791	1.0
ENSMUSG00000001911.17:B4	J:85442917-85448271	junction	poly(dT)	3	0.10266511119193789	0.5
ENSMUSG00000001911.17:B4	J:85442917-85448271	junction	random hexamer	3	0.10266511119193789	1.0
ENSMUSG00000001986.17:B1	E:40490004-40490134	exon	random hexamer	5	0.09210913183113908	0.19999999999999998
ENSMUSG00000001986.17:B1	E:40490180-40490405	exon	random hexamer	5	0.09210913183113911	0.7
ENSMUSG00000001986.17:B1	J:40490134-40490405	junction	random hexamer	5	0.09210913183113908	0.09999999999999999
ENSMUSG00000002107.19:B1	E:6726424-6726426	exon	poly(dT)	3	0.05704239163175151	-1.0
ENSMUSG00000002107.19:B1	E:6726424-6726426	exon	random hexamer	4	0.05704239163175151	-0.7999999999999999
ENSMUSG00000002107.19:B1	E:6967189-6967225	exon	poly(dT)	3	0.05442368904869491	1.0
ENSMUSG00000002107.19:B1	E:6967189-6967225	exon	random hexamer	4	0.05442368904869491	0.7999999999999999
ENSMUSG00000002107.19:B1	J:6726424-6967189	junction	poly(dT)	3	0.05442368904869491	1.0
ENSMUSG00000002107.19:B1	J:6726424-6967189	junction	random hexamer	4	0.05442368904869491	0.7999999999999999
ENSMUSG00000002985.17:B1	E:19432192-19432197	exon	poly(dT)	3	0.05500146099614145	0.8660254037844387
ENSMUSG00000002985.17:B1	E:19432192-19432197	exon	random hexamer	3	0.05500146099614145	-0.5
ENSMUSG00000002985.17:B1	E:19432935-19432977	exon	poly(dT)	3	0.06903882819874485	1.0
ENSMUSG00000002985.17:B1	E:19432935-19432977	exon	random hexamer	3	0.06903882819874485	1.0
ENSMUSG00000003279.18:B1	E:70276240-70276665	exon	random hexamer	7	0.2581564877378407	0.8928571428571429
ENSMUSG00000003279.18:B1	E:70385256-70385418	exon	random hexamer	7	0.2581564877378407	0.8928571428571429
ENSMUSG00000003279.18:B1	E:70513231-70513340	exon	random hexamer	7	0.2581564877378407	0.28571428571428575
ENSMUSG00000003279.18:B1	E:70615041-70615165	exon	random hexamer	7	0.2581564877378407	0.28571428571428575
ENSMUSG00000003279.18:B1	E:70731790-70731883	exon	random hexamer	7	0.2581564877378407	0.5357142857142858
ENSMUSG00000003279.18:B1	E:70822948-70823991	exon	random hexamer	7	0.2581564877378407	0.7142857142857144
ENSMUSG00000003279.18:B1	E:70829049-70829263	exon	random hexamer	7	0.21598951934584107	0.1785714285714286
ENSMUSG00000003279.18:B1	E:70868546-70868866	exon	random hexamer	7	0.1080074966663081	-0.14285714285714288
ENSMUSG00000003279.18:B1	J:70276665-70385256	junction	random hexamer	7	0.2581564877378407	0.8928571428571429
ENSMUSG00000003279.18:B1	J:70385418-70513231	junction	random hexamer	7	0.2581564877378407	0.4504687313477795
ENSMUSG00000003279.18:B1	J:70513340-70615041	junction	random hexamer	7	0.2581564877378407	-0.18531232916527532
ENSMUSG00000003279.18:B1	J:70615165-70731790	junction	random hexamer	7	0.2581564877378407	0.5
ENSMUSG00000003279.18:B1	J:70731883-70822948	junction	random hexamer	7	0.2581564877378407	0.642857142857143
ENSMUSG00000003279.18:B1	J:70823991-70900161	junction	random hexamer	7	0.2581564877378407	0.642857142857143
ENSMUSG00000003279.18:B1	J:70829263-70900161	junction	random hexamer	7	0.21598951934584107	0.054056247761733546
ENSMUSG00000003279.18:B1	J:70868866-70900161	junction	random hexamer	7	0.1080074966663081	0.26726124191242445
ENSMUSG00000003847.17:B2	E:108095450-108096183	exon	random hexamer	3	0.05161363536384633	0.5
ENSMUSG00000003847.17:B2	E:108097049-108097291	exon	random hexamer	3	0.05161363536384633	0.5
ENSMUSG00000003847.17:B2	J:108096183-108097049	junction	random hexamer	3	0.05161363536384633	0.5
ENSMUSG00000004267.17:B1	E:124746584-124746636	exon	random hexamer	5	0.12470671956581875	-0.6
ENSMUSG00000005045.17:B1	E:152423107-152423343	exon	poly(dT)	6	0.07497896305828056	0.6
ENSMUSG00000005045.17:B1	E:152423107-152423343	exon	random hexamer	4	0.062264019732981235	0.19999999999999998
ENSMUSG00000005417.18:B1	E:59553320-59553332	exon	random hexamer	6	0.1140053661842535	0.6377481392176932
ENSMUSG00000005417.18:B3	E:59632816-59632924	exon	random hexamer	4	0.11400543581138542	-0.7999999999999999
ENSMUSG00000005417.18:B3	J:59632087-59632816	junction	random hexamer	4	0.11400543581138542	-0.7999999999999999
ENSMUSG00000005417.18:B3	J:59632087-59634596	junction	random hexamer	4	0.11400543581138534	0.7999999999999999
ENSMUSG00000005417.18:B3	J:59632924-59634596	junction	random hexamer	4	0.11400543581138542	-0.39999999999999997
ENSMUSG00000005583.17:B2	E:83773443-83773527	exon	random hexamer	3	0.09190015758655073	1.0
ENSMUSG00000005583.17:B2	E:83773588-83773726	exon	random hexamer	3	0.09190015758655068	-0.5
ENSMUSG00000005583.17:B2	J:83773527-83781173	junction	random hexamer	3	0.09190015758655073	1.0
ENSMUSG00000005583.17:B2	J:83773726-83781173	junction	random hexamer	3	0.09190015758655068	0.0
ENSMUSG00000005583.17:B3	E:83802716-83802740	exon	random hexamer	3	0.05773831623240977	0.5
ENSMUSG00000005583.17:B3	J:83801105-83802716	junction	random hexamer	3	0.05773831623240977	0.5
ENSMUSG00000005583.17:B3	J:83801105-83803625	junction	random hexamer	3	0.057738316232409825	-0.8660254037844387
ENSMUSG00000005583.17:B3	J:83802740-83803625	junction	random hexamer	3	0.05773831623240977	0.5
ENSMUSG00000006575.15:B1	E:102288910-102288925	exon	random hexamer	5	0.10000619480607098	0.0
ENSMUSG00000006575.15:B1	J:102288512-102288910	junction	random hexamer	5	0.10000619480607098	0.19999999999999998
ENSMUSG00000006575.15:B1	J:102288512-102288925	junction	random hexamer	5	0.10000619480607079	0.7
ENSMUSG00000006930.16:B1	E:100246913-100246954	exon	random hexamer	4	0.24654775640765464	-0.7999999999999999
ENSMUSG00000008658.17:B1	E:6167001-6167095	exon	random hexamer	4	0.08898497630945823	0.39999999999999997
ENSMUSG00000008658.17:B1	E:6305682-6305730	exon	random hexamer	4	0.08898497630945823	0.39999999999999997
ENSMUSG00000008658.17:B1	E:6627070-6627085	exon	random hexamer	4	0.08898497630945823	0.7999999999999999
ENSMUSG00000008658.17:B1	E:6627085-6627112	exon	random hexamer	4	0.06073890645385288	0.39999999999999997
ENSMUSG00000008658.17:B1	E:6887709-6887949	exon	random hexamer	4	0.07404665345529718	0.39999999999999997
ENSMUSG00000008658.17:B1	E:7042173-7042174	exon	random hexamer	4	0.07461040244111744	0.0
ENSMUSG00000008658.17:B1	J:6167095-6305682	junction	random hexamer	4	0.08898497630945823	-0.39999999999999997
ENSMUSG00000008658.17:B1	J:6305730-6627070	junction	random hexamer	4	0.08898497630945823	0.7999999999999999
ENSMUSG00000008658.17:B1	J:6627112-7042174	junction	random hexamer	4	0.06073890645385288	0.39999999999999997
ENSMUSG00000008658.17:B1	J:6887949-7042174	junction	random hexamer	4	0.07404665345529718	0.2581988897471611
ENSMUSG00000008658.17:B4	E:7227677-7227861	exon	poly(dT)	4	0.07600088281356987	0.19999999999999998
ENSMUSG00000008658.17:B4	E:7227861-7229390	exon	poly(dT)	4	0.08397684184290938	-0.7999999999999999
ENSMUSG00000009079.17:B1	E:5049066-5049067	exon	random hexamer	3	0.07876912915392997	0.5
ENSMUSG00000009079.17:B1	E:5049067-5049096	exon	random hexamer	3	0.07397711705500609	0.5
ENSMUSG00000009394.14:B1	E:115111862-115111877	exon	random hexamer	7	0.07435868791155731	0.10714285714285716
ENSMUSG00000011751.17:B1	E:27095542-27095623	exon	random hexamer	4	0.07390183523779248	0.7378647873726218
ENSMUSG00000011751.17:B1	E:27097375-27097466	exon	random hexamer	4	0.07217566239780543	1.0
ENSMUSG00000011751.17:B1	E:27102160-27102363	exon	random hexamer	4	0.07217566239780543	0.7999999999999999
ENSMUSG00000011751.17:B1	E:27103592-27104343	exon	random hexamer	4	0.07217566239780543	-0.39999999999999997
ENSMUSG00000011751.17:B1	E:27106535-27106673	exon	random hexamer	4	0.07217566239780543	-0.19999999999999998
ENSMUSG00000011751.17:B1	E:27107667-27108601	exon	random hexamer	4	0.07217566239780543	-0.7999999999999999
ENSMUSG00000011751.17:B1	E:27114082-27114233	exon	random hexamer	4	0.07217566239780543	0.7999999999999999
ENSMUSG00000011751.17:B1	E:27116129-27116432	exon	random hexamer	4	0.07217566239780543	0.7999999999999999
ENSMUSG00000011751.17:B1	E:27117382-27117541	exon	random hexamer	4	0.07217566239780543	-0.7999999999999999
ENSMUSG00000011751.17:B1	E:27117795-27117913	exon	random hexamer	4	0.07217566239780543	-0.39999999999999997
ENSMUSG00000011751.17:B1	E:27117989-27118177	exon	random hexamer	4	0.07217566239780543	-0.39999999999999997
ENSMUSG00000011751.17:B1	E:27118412-27118525	exon	random hexamer	4	0.07217566239780543	-1.0
ENSMUSG00000011751.17:B1	E:27123133-27123249	exon	random hexamer	4	0.07217566239780543	0.19999999999999998
ENSMUSG00000011751.17:B1	E:27126250-27126331	exon	random hexamer	4	0.07217566239780543	0.19999999999999998
ENSMUSG00000011751.17:B1	E:27127608-27127700	exon	random hexamer	4	0.07217566239780543	0.7999999999999999
ENSMUSG00000011751.17:B1	E:27132472-27132646	exon	random hexamer	4	0.07217566239780543	1.0
