path_number	feature_type	feature	feature_id	coordinate	column_order	cell_type	primer	raw_value
1	path	P1	P1:path		0	ASC	poly(dT)	0.21768151604134447
1	path	P1	P1:path		0	EX_cerebellum_granule	poly(dT)	0.014799111036210753
1	path	P1	P1:path		0	EX_cortical	poly(dT)	0.02526453300148173
1	path	P1	P1:path		0	INH_medium_spiny	poly(dT)	0.0159744461969322
1	path	P1	P1:path		0	INH_midbrain	poly(dT)	0.02979998484129141
1	path	P1	P1:path		0	INH_migrating_interneuron	poly(dT)	0.06068192882815687
1	junction	J1	P1:J1	chr3:55370517-55373994	1	ASC	poly(dT)	0.9195402298850575
1	junction	J1	P1:J1	chr3:55370517-55373994	1	EX_cerebellum_granule	poly(dT)	0.08641975308641975
1	junction	J1	P1:J1	chr3:55370517-55373994	1	EX_cortical	poly(dT)	0.136986301369863
1	junction	J1	P1:J1	chr3:55370517-55373994	1	INH_medium_spiny	poly(dT)	0.20588235294117646
1	junction	J1	P1:J1	chr3:55370517-55373994	1	INH_midbrain	poly(dT)	0.16666666666666666
1	junction	J1	P1:J1	chr3:55370517-55373994	1	INH_migrating_interneuron	poly(dT)	0.3563218390804598
1	exon	E2	P1:E2	chr3:55373994-55378737	2	ASC	poly(dT)	0.024246796249151645
1	exon	E2	P1:E2	chr3:55373994-55378737	2	EX_cerebellum_granule	poly(dT)	0.0028180585868537345
1	exon	E2	P1:E2	chr3:55373994-55378737	2	EX_cortical	poly(dT)	0.0037447164350087247
1	exon	E2	P1:E2	chr3:55373994-55378737	2	INH_medium_spiny	poly(dT)	0.00405250616710262
1	exon	E2	P1:E2	chr3:55373994-55378737	2	INH_midbrain	poly(dT)	0.003570343551807014
1	exon	E2	P1:E2	chr3:55373994-55378737	2	INH_migrating_interneuron	poly(dT)	0.007516055644815055
2	path	P2	P2:path		3	ASC	poly(dT)	0.381409609300807
2	path	P2	P2:path		3	EX_cerebellum_granule	poly(dT)	0.3766206970322282
2	path	P2	P2:path		3	EX_cortical	poly(dT)	0.20187881276682498
2	path	P2	P2:path		3	INH_medium_spiny	poly(dT)	0.30867566166418997
2	path	P2	P2:path		3	INH_midbrain	poly(dT)	0.14494752952436413
2	path	P2	P2:path		3	INH_migrating_interneuron	poly(dT)	0.19983458796956324
2	junction	J2	P2:J2	chr3:55370517-55385226	4	ASC	poly(dT)	0.08
2	junction	J2	P2:J2	chr3:55370517-55385226	4	EX_cerebellum_granule	poly(dT)	0.9135802469135802
2	junction	J2	P2:J2	chr3:55370517-55385226	4	EX_cortical	poly(dT)	0.8469387755102041
2	junction	J2	P2:J2	chr3:55370517-55385226	4	INH_medium_spiny	poly(dT)	0.7941176470588235
2	junction	J2	P2:J2	chr3:55370517-55385226	4	INH_midbrain	poly(dT)	0.8333333333333334
2	junction	J2	P2:J2	chr3:55370517-55385226	4	INH_migrating_interneuron	poly(dT)	0.6436781609195402
2	exon	E3	P2:E3	chr3:55385226-55385310	5	ASC	poly(dT)	0.1650444536338261
2	exon	E3	P2:E3	chr3:55385226-55385310	5	EX_cerebellum_granule	poly(dT)	1.0
2	exon	E3	P2:E3	chr3:55385226-55385310	5	EX_cortical	poly(dT)	1.0
2	exon	E3	P2:E3	chr3:55385226-55385310	5	INH_medium_spiny	poly(dT)	1.0
2	exon	E3	P2:E3	chr3:55385226-55385310	5	INH_midbrain	poly(dT)	1.0
2	exon	E3	P2:E3	chr3:55385226-55385310	5	INH_migrating_interneuron	poly(dT)	1.0
2	junction	J3	P2:J3	chr3:55385311-55387755	6	ASC	poly(dT)	0.4657534246575342
2	junction	J3	P2:J3	chr3:55385311-55387755	6	EX_cerebellum_granule	poly(dT)	0.5227272727272727
2	junction	J3	P2:J3	chr3:55385311-55387755	6	EX_cortical	poly(dT)	0.575925925925926
2	junction	J3	P2:J3	chr3:55385311-55387755	6	INH_medium_spiny	poly(dT)	0.6595744680851063
2	junction	J3	P2:J3	chr3:55385311-55387755	6	INH_midbrain	poly(dT)	0.5670103092783505
2	junction	J3	P2:J3	chr3:55385311-55387755	6	INH_migrating_interneuron	poly(dT)	0.5983606557377049
2	exon	E5	P2:E5	chr3:55387755-55387863	7	ASC	poly(dT)	0.2955490882120572
2	exon	E5	P2:E5	chr3:55387755-55387863	7	EX_cerebellum_granule	poly(dT)	1.0
2	exon	E5	P2:E5	chr3:55387755-55387863	7	EX_cortical	poly(dT)	1.0
2	exon	E5	P2:E5	chr3:55387755-55387863	7	INH_medium_spiny	poly(dT)	1.0
2	exon	E5	P2:E5	chr3:55387755-55387863	7	INH_midbrain	poly(dT)	1.0
2	exon	E5	P2:E5	chr3:55387755-55387863	7	INH_migrating_interneuron	poly(dT)	1.0
2	junction	J5	P2:J5	chr3:55387864-55394728	8	ASC	poly(dT)	1.0
2	junction	J5	P2:J5	chr3:55387864-55394728	8	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J5	P2:J5	chr3:55387864-55394728	8	EX_cortical	poly(dT)	1.0
2	junction	J5	P2:J5	chr3:55387864-55394728	8	INH_medium_spiny	poly(dT)	1.0
2	junction	J5	P2:J5	chr3:55387864-55394728	8	INH_midbrain	poly(dT)	1.0
2	junction	J5	P2:J5	chr3:55387864-55394728	8	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E6	P2:E6	chr3:55394728-55394785	9	ASC	poly(dT)	0.1694063996121447
2	exon	E6	P2:E6	chr3:55394728-55394785	9	EX_cerebellum_granule	poly(dT)	0.8108166066220621
2	exon	E6	P2:E6	chr3:55394728-55394785	9	EX_cortical	poly(dT)	0.8396973978105934
2	exon	E6	P2:E6	chr3:55394728-55394785	9	INH_medium_spiny	poly(dT)	0.567507750506441
2	exon	E6	P2:E6	chr3:55394728-55394785	9	INH_midbrain	poly(dT)	1.0
2	exon	E6	P2:E6	chr3:55394728-55394785	9	INH_migrating_interneuron	poly(dT)	0.6465265836023371
2	junction	J6	P2:J6	chr3:55394786-55395213	10	ASC	poly(dT)	1.0
2	junction	J6	P2:J6	chr3:55394786-55395213	10	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J6	P2:J6	chr3:55394786-55395213	10	EX_cortical	poly(dT)	1.0
2	junction	J6	P2:J6	chr3:55394786-55395213	10	INH_medium_spiny	poly(dT)	1.0
2	junction	J6	P2:J6	chr3:55394786-55395213	10	INH_midbrain	poly(dT)	1.0
2	junction	J6	P2:J6	chr3:55394786-55395213	10	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E7	P2:E7	chr3:55395213-55395332	11	ASC	poly(dT)	0.06723601347393088
2	exon	E7	P2:E7	chr3:55395213-55395332	11	EX_cerebellum_granule	poly(dT)	0.30186863302534944
2	exon	E7	P2:E7	chr3:55395213-55395332	11	EX_cortical	poly(dT)	0.20156786449988556
2	exon	E7	P2:E7	chr3:55395213-55395332	11	INH_medium_spiny	poly(dT)	0.23729443903494538
2	exon	E7	P2:E7	chr3:55395213-55395332	11	INH_midbrain	poly(dT)	0.3245213228894691
2	exon	E7	P2:E7	chr3:55395213-55395332	11	INH_migrating_interneuron	poly(dT)	0.28813065033537477
2	junction	J7	P2:J7	chr3:55395333-55397171	12	ASC	poly(dT)	1.0
2	junction	J7	P2:J7	chr3:55395333-55397171	12	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J7	P2:J7	chr3:55395333-55397171	12	EX_cortical	poly(dT)	1.0
2	junction	J7	P2:J7	chr3:55395333-55397171	12	INH_medium_spiny	poly(dT)	1.0
2	junction	J7	P2:J7	chr3:55395333-55397171	12	INH_midbrain	poly(dT)	1.0
2	junction	J7	P2:J7	chr3:55395333-55397171	12	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E8	P2:E8	chr3:55397171-55397317	13	ASC	poly(dT)	0.028820403381036072
2	exon	E8	P2:E8	chr3:55397171-55397317	13	EX_cerebellum_granule	poly(dT)	0.023769635786084157
2	exon	E8	P2:E8	chr3:55397171-55397317	13	EX_cortical	poly(dT)	0.09839577854488099
2	exon	E8	P2:E8	chr3:55397171-55397317	13	INH_medium_spiny	poly(dT)	0.15270243118344384
2	exon	E8	P2:E8	chr3:55397171-55397317	13	INH_midbrain	poly(dT)	0.19452838949828347
2	exon	E8	P2:E8	chr3:55397171-55397317	13	INH_migrating_interneuron	poly(dT)	0.1167562388034829
2	junction	J8	P2:J8	chr3:55397318-55407456	14	ASC	poly(dT)	NA
2	junction	J8	P2:J8	chr3:55397318-55407456	14	EX_cerebellum_granule	poly(dT)	NA
2	junction	J8	P2:J8	chr3:55397318-55407456	14	EX_cortical	poly(dT)	0.9629629629629629
2	junction	J8	P2:J8	chr3:55397318-55407456	14	INH_medium_spiny	poly(dT)	1.0
2	junction	J8	P2:J8	chr3:55397318-55407456	14	INH_midbrain	poly(dT)	1.0
2	junction	J8	P2:J8	chr3:55397318-55407456	14	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E9	P2:E9	chr3:55407456-55407589	15	ASC	poly(dT)	0.0013705637017023846
2	exon	E9	P2:E9	chr3:55407456-55407589	15	EX_cerebellum_granule	poly(dT)	0.00680234223339592
2	exon	E9	P2:E9	chr3:55407456-55407589	15	EX_cortical	poly(dT)	0.07506584723441616
2	exon	E9	P2:E9	chr3:55407456-55407589	15	INH_medium_spiny	poly(dT)	0.08939600924297693
2	exon	E9	P2:E9	chr3:55407456-55407589	15	INH_midbrain	poly(dT)	0.14358921542975167
2	exon	E9	P2:E9	chr3:55407456-55407589	15	INH_migrating_interneuron	poly(dT)	0.10141223018764446
2	junction	J9	P2:J9	chr3:55407590-55409794	16	ASC	poly(dT)	1.0
2	junction	J9	P2:J9	chr3:55407590-55409794	16	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J9	P2:J9	chr3:55407590-55409794	16	EX_cortical	poly(dT)	1.0
2	junction	J9	P2:J9	chr3:55407590-55409794	16	INH_medium_spiny	poly(dT)	1.0
2	junction	J9	P2:J9	chr3:55407590-55409794	16	INH_midbrain	poly(dT)	NA
2	junction	J9	P2:J9	chr3:55407590-55409794	16	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E10	P2:E10	chr3:55409794-55409871	17	ASC	poly(dT)	0.013431684016042542
2	exon	E10	P2:E10	chr3:55409794-55409871	17	EX_cerebellum_granule	poly(dT)	0.09305578335429081
2	exon	E10	P2:E10	chr3:55409794-55409871	17	EX_cortical	poly(dT)	0.08703217892963831
2	exon	E10	P2:E10	chr3:55409794-55409871	17	INH_medium_spiny	poly(dT)	0.07787598099185246
2	exon	E10	P2:E10	chr3:55409794-55409871	17	INH_midbrain	poly(dT)	0.08358916975104966
2	exon	E10	P2:E10	chr3:55409794-55409871	17	INH_migrating_interneuron	poly(dT)	0.07530041650776559
2	junction	J10	P2:J10	chr3:55409872-55410230	18	ASC	poly(dT)	1.0
2	junction	J10	P2:J10	chr3:55409872-55410230	18	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J10	P2:J10	chr3:55409872-55410230	18	EX_cortical	poly(dT)	1.0
2	junction	J10	P2:J10	chr3:55409872-55410230	18	INH_medium_spiny	poly(dT)	1.0
2	junction	J10	P2:J10	chr3:55409872-55410230	18	INH_midbrain	poly(dT)	1.0
2	junction	J10	P2:J10	chr3:55409872-55410230	18	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E11	P2:E11	chr3:55410230-55410326	19	ASC	poly(dT)	0.08847136412226188
2	exon	E11	P2:E11	chr3:55410230-55410326	19	EX_cerebellum_granule	poly(dT)	0.4000707068486727
2	exon	E11	P2:E11	chr3:55410230-55410326	19	EX_cortical	poly(dT)	0.5276868659935393
2	exon	E11	P2:E11	chr3:55410230-55410326	19	INH_medium_spiny	poly(dT)	0.49668403283175566
2	exon	E11	P2:E11	chr3:55410230-55410326	19	INH_midbrain	poly(dT)	0.7349927131359664
2	exon	E11	P2:E11	chr3:55410230-55410326	19	INH_migrating_interneuron	poly(dT)	0.38515481956508013
2	junction	J12	P2:J12	chr3:55410327-55414122	20	ASC	poly(dT)	1.0
2	junction	J12	P2:J12	chr3:55410327-55414122	20	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J12	P2:J12	chr3:55410327-55414122	20	EX_cortical	poly(dT)	0.9940476190476191
2	junction	J12	P2:J12	chr3:55410327-55414122	20	INH_medium_spiny	poly(dT)	1.0
2	junction	J12	P2:J12	chr3:55410327-55414122	20	INH_midbrain	poly(dT)	1.0
2	junction	J12	P2:J12	chr3:55410327-55414122	20	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E13	P2:E13	chr3:55414122-55414202	21	ASC	poly(dT)	0.10826607216472478
2	exon	E13	P2:E13	chr3:55414122-55414202	21	EX_cerebellum_granule	poly(dT)	0.5399479673940702
2	exon	E13	P2:E13	chr3:55414122-55414202	21	EX_cortical	poly(dT)	0.6745504946466265
2	exon	E13	P2:E13	chr3:55414122-55414202	21	INH_medium_spiny	poly(dT)	0.5957461302046393
2	exon	E13	P2:E13	chr3:55414122-55414202	21	INH_midbrain	poly(dT)	0.803182891955738
2	exon	E13	P2:E13	chr3:55414122-55414202	21	INH_migrating_interneuron	poly(dT)	0.4839801403425395
2	junction	J13	P2:J13	chr3:55414203-55424294	22	ASC	poly(dT)	1.0
2	junction	J13	P2:J13	chr3:55414203-55424294	22	EX_cerebellum_granule	poly(dT)	1.0
2	junction	J13	P2:J13	chr3:55414203-55424294	22	EX_cortical	poly(dT)	1.0
2	junction	J13	P2:J13	chr3:55414203-55424294	22	INH_medium_spiny	poly(dT)	1.0
2	junction	J13	P2:J13	chr3:55414203-55424294	22	INH_midbrain	poly(dT)	1.0
2	junction	J13	P2:J13	chr3:55414203-55424294	22	INH_migrating_interneuron	poly(dT)	1.0
2	exon	E14	P2:E14	chr3:55424294-55424407	23	ASC	poly(dT)	0.043607205623901586
2	exon	E14	P2:E14	chr3:55424294-55424407	23	EX_cerebellum_granule	poly(dT)	0.17605425254678986
2	exon	E14	P2:E14	chr3:55424294-55424407	23	EX_cortical	poly(dT)	0.27138170443274584
2	exon	E14	P2:E14	chr3:55424294-55424407	23	INH_medium_spiny	poly(dT)	0.2589797684734394
2	exon	E14	P2:E14	chr3:55424294-55424407	23	INH_midbrain	poly(dT)	0.20234986945169714
2	exon	E14	P2:E14	chr3:55424294-55424407	23	INH_migrating_interneuron	poly(dT)	0.16914552347623216
2	junction	J14	P2:J14	chr3:55424408-55429271	24	ASC	poly(dT)	0.75
2	junction	J14	P2:J14	chr3:55424408-55429271	24	EX_cerebellum_granule	poly(dT)	0.5
2	junction	J14	P2:J14	chr3:55424408-55429271	24	EX_cortical	poly(dT)	0.85
2	junction	J14	P2:J14	chr3:55424408-55429271	24	INH_medium_spiny	poly(dT)	0.9090909090909091
2	junction	J14	P2:J14	chr3:55424408-55429271	24	INH_midbrain	poly(dT)	1.0
2	junction	J14	P2:J14	chr3:55424408-55429271	24	INH_migrating_interneuron	poly(dT)	0.5
2	exon	E15	P2:E15	chr3:55429271-55429344	25	ASC	poly(dT)	0.003948368403552938
