method	contrast_id	level_a	level_b	feature_id	gene_id	p_value	q_value	n_junctions	mapping_complete	short_read_effect_norm	native_effect_dot_product	long_read_effect_norm	pooled_dot_product	pooled_cosine	pooled_replicated	replicate_1_dot_product	replicate_2_dot_product	both_replicates_replicated	minimum_pooled_depth	minimum_replicate_depth	block_id	gene_name	event_type	n_paths	n_mappable_paths	n_mapped_transcripts	original_effect_norm	replicate_1_cosine	replicate_2_cosine	technical_g_test_p_value	counts_a_rep1	counts_a_rep2	counts_b_rep1	counts_b_rep2	technical_g_test_fdr	technical_bh_directional_replication	statistic	raw_p_value	rank	p_tie_size	n_evaluable	n_agreement	n_observed	cumulative_agreement	p_value_pairwise
LeafCutter	cell_type__EX_cortical__ODC	EX_cortical	ODC	chr12:clu_4888_+	ENSMUSG00000020640	1.60776524361973e-54	2.307143124594313e-52	3.0	True	0.8364494866205282	NA	0.3731878165729703	0.2919514266876967	0.9352838300899292	True	0.3479045527388959	0.2607604467201118	True	122.47	37.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	56	1	1	1.0	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr3:clu_1148_+	ENSMUSG00000027797	5.97178257562135e-44	4.6579904089846536e-42	2.0	True	1.0264008317945534	NA	0.7529998075073557	0.7728796287666885	1.0	True	0.923980269541211	0.6714954129464089	True	843.79	288.92999999999995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	56	2	2	1.0	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr2:clu_789_+	ENSMUSG00000027525	7.36057429644736e-39	2.8706239756144705e-37	3.0	True	0.6356245128416133	NA	0.3524517259947685	0.2229955811006735	0.9953961989645086	True	0.2309197507495063	0.2189653361840858	True	368.74	111.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	56	3	3	1.0	NA
LeafCutter	cell_type__INH_medium_spiny__ODC	INH_medium_spiny	ODC	chr12:clu_4888_+	ENSMUSG00000020640	3.67623602189651e-31	4.374720866056848e-29	3.0	True	0.7824754158052722	NA	0.3650708435469715	0.2682481655698707	0.9390504168794082	True	0.2569354224027457	0.2933928470878723	True	111.42	37.92	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	1	56	4	4	1.0	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr18:clu_6632_+	ENSMUSG00000024302	1.09633605633198e-21	2.8504737464631484e-20	2.0	True	0.6599467668159371	NA	0.119183294144815	0.0786546296293434	1.0	True	0.0566277167073555	0.09899519933954	True	409.73	126.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	1	56	5	5	1.0	NA
LeafCutter	cell_type__ASC__EX_cortical	ASC	EX_cortical	chr3:clu_1147_+	ENSMUSG00000027797	1.02201573413627e-18	2.344624331253796e-17	2.0	True	0.4119463173386496	NA	0.4378080154636154	0.1803533996715789	1.0	True	0.1230985645714839	0.2182065782126048	True	843.79	288.92999999999995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	56	6	6	1.0	NA
LeafCutter	cell_type__EX_cortical__INH_medium_spiny	EX_cortical	INH_medium_spiny	chr18:clu_6700_+	ENSMUSG00000024524	8.97221301586607e-15	5.820723194043116e-13	2.0	True	0.4436506153971751	NA	0.4162978738892962	0.1846908079395218	1.0	True	0.1946683572313547	0.1689760482958428	True	61.16	27.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	56	7	7	1.0	NA
LeafCutter	cell_type__EX_cortical__INH_medium_spiny	EX_cortical	INH_medium_spiny	chr12:clu_4997_+	ENSMUSG00000066392	5.33789464680991e-14	3.078185912993715e-12	3.0	True	0.3708739479043422	NA	0.1384292551162598	0.0508272433292705	0.9900163035749888	True	0.0803905783913702	0.0267477458686321	True	1259.02	530.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	1	56	8	8	1.0	NA
LeafCutter	cell_type__ASC__EX_cerebellum_granule	ASC	EX_cerebellum_granule	chr2:clu_789_+	ENSMUSG00000027525	1.15037984621711e-13	7.822582954276348e-12	3.0	True	0.4682999790466473	NA	0.643815995085516	-0.0235454036929887	-0.0780944625511975	False	-0.0867276065680292	-0.0194305133622475	False	337.38	23.25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	1	56	8	9	0.8888888888888888	NA
LeafCutter	cell_type__INH_medium_spiny__ODC	INH_medium_spiny	ODC	chr13:clu_5195_+	ENSMUSG00000054728	1.70375110572848e-12	5.068659539542228e-11	3.0	True	0.5139072179006419	NA	0.0418522976612105	0.0215079888378765	0.999990282033522	True	0.0158043342517728	0.0274383556768155	True	4972.99	2016.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	1	56	9	10	0.9	NA
