path_number	feature_type	feature	feature_id	coordinate	column_order	cell_type	primer	raw_value
1	path	P1	P1:path		0	EX_cerebellum_granule	poly(dT)	0.49412729680809075
1	path	P1	P1:path		0	EX_cortical	poly(dT)	0.525038285003188
1	path	P1	P1:path		0	INH_medium_spiny	poly(dT)	0.5004197350523988
1	path	P1	P1:path		0	INH_midbrain	poly(dT)	0.5302322826166294
1	path	P1	P1:path		0	INH_migrating_interneuron	poly(dT)	0.5224766893896688
1	exon	E1	P1:E1	chr2:25185804-25185949	1	EX_cerebellum_granule	poly(dT)	55.403608848178884
1	exon	E1	P1:E1	chr2:25185804-25185949	1	EX_cortical	poly(dT)	52.87094907673161
1	exon	E1	P1:E1	chr2:25185804-25185949	1	INH_medium_spiny	poly(dT)	76.79066714657746
1	exon	E1	P1:E1	chr2:25185804-25185949	1	INH_midbrain	poly(dT)	23.954606084986555
1	exon	E1	P1:E1	chr2:25185804-25185949	1	INH_migrating_interneuron	poly(dT)	37.20625576167295
1	junction	J1	P1:J1	chr2:25182497-25185804	2	EX_cerebellum_granule	poly(dT)	11.543394613082514
1	junction	J1	P1:J1	chr2:25182497-25185804	2	EX_cortical	poly(dT)	4.190412336573919
1	junction	J1	P1:J1	chr2:25182497-25185804	2	INH_medium_spiny	poly(dT)	3.7094281298299845
1	junction	J1	P1:J1	chr2:25182497-25185804	2	INH_midbrain	poly(dT)	8.964451313755797
1	junction	J1	P1:J1	chr2:25182497-25185804	2	INH_migrating_interneuron	poly(dT)	5.903187721369539
1	exon	E2	P1:E2	chr2:25182141-25182496	3	EX_cerebellum_granule	poly(dT)	2.0992357244765123
1	exon	E2	P1:E2	chr2:25182141-25182496	3	EX_cortical	poly(dT)	1.3837777367630053
1	exon	E2	P1:E2	chr2:25182141-25182496	3	INH_medium_spiny	poly(dT)	2.547626903773683
1	exon	E2	P1:E2	chr2:25182141-25182496	3	INH_midbrain	poly(dT)	0.6026084087317437
1	exon	E2	P1:E2	chr2:25182141-25182496	3	INH_migrating_interneuron	poly(dT)	1.1202791080217025
1	junction	J2	P1:J2	chr2:25182141-25182141	4	EX_cerebellum_granule	poly(dT)	0.0
1	junction	J2	P1:J2	chr2:25182141-25182141	4	EX_cortical	poly(dT)	0.0
1	junction	J2	P1:J2	chr2:25182141-25182141	4	INH_medium_spiny	poly(dT)	0.0
1	junction	J2	P1:J2	chr2:25182141-25182141	4	INH_midbrain	poly(dT)	0.0
1	junction	J2	P1:J2	chr2:25182141-25182141	4	INH_migrating_interneuron	poly(dT)	0.0
1	exon	E3	P1:E3	chr2:25181193-25182140	5	EX_cerebellum_granule	poly(dT)	0.07711831844183115
1	exon	E3	P1:E3	chr2:25181193-25182140	5	EX_cortical	poly(dT)	0.11899356550693027
1	exon	E3	P1:E3	chr2:25181193-25182140	5	INH_medium_spiny	poly(dT)	0.07956227704628308
1	exon	E3	P1:E3	chr2:25181193-25182140	5	INH_midbrain	poly(dT)	0.11771304103978766
1	exon	E3	P1:E3	chr2:25181193-25182140	5	INH_migrating_interneuron	poly(dT)	0.23662566815616298
2	path	P2	P2:path		6	EX_cerebellum_granule	poly(dT)	0.5058727031919092
2	path	P2	P2:path		6	EX_cortical	poly(dT)	0.47496171499681195
2	path	P2	P2:path		6	INH_medium_spiny	poly(dT)	0.4995802649476012
2	path	P2	P2:path		6	INH_midbrain	poly(dT)	0.4697677173833707
2	path	P2	P2:path		6	INH_migrating_interneuron	poly(dT)	0.4775233106103312
2	exon	E1	P2:E1	chr2:25185804-25185949	7	EX_cerebellum_granule	poly(dT)	55.403608848178884
2	exon	E1	P2:E1	chr2:25185804-25185949	7	EX_cortical	poly(dT)	52.87094907673161
