test_id	block_id	gene_id	subject	cell_type	path	path_number	path_signature	proportion
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	EX_cerebellum_granule	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.315819107618475
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	EX_cerebellum_granule	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.3097493289046329
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	EX_cerebellum_granule	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.3744315634768921
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	EX_cortical	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.2439747556099025
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	EX_cortical	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.4556107902351554
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	EX_cortical	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.300414454154942
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_medium_spiny	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.3022848294874788
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_medium_spiny	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.364208764439539
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_medium_spiny	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.3335064060729822
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_midbrain	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.279173512136305
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_midbrain	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.4107580504045838
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_midbrain	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.3100684374591112
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_migrating_interneuron	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.3234398307791947
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_migrating_interneuron	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.3658635944340701
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_1	INH_migrating_interneuron	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.3106965747867351
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	EX_cortical	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.1408071484724354
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	EX_cortical	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.6507833224413959
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	EX_cortical	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.2084095290861685
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	EX_hippocampus_pyramidal	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.270993676693659
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	EX_hippocampus_pyramidal	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.4078053334211405
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	EX_hippocampus_pyramidal	Path 3	3	[[59705036, 59705125], [59692253, 59692265]]	0.3212009898852004
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	INH_midbrain	Path 1	1	[[59705036, 59705100], [59692253, 59692265]]	0.2848312750415316
ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	A_2	INH_midbrain	Path 2	2	[[59705036, 59705114], [59692253, 59692265]]	0.4040759137068817
