test_id	block_id	gene_id	subject	cell_type	path	path_number	path_signature	proportion
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	ASC	Path 1	1	[[80597710, 80597825]]	0.8042456188963769
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	ASC	Path 2	2	[[80598626, 80598741]]	0.1957543811036231
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	EX_cerebellum_granule	Path 1	1	[[80597710, 80597825]]	0.5728742476782107
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	EX_cerebellum_granule	Path 2	2	[[80598626, 80598741]]	0.4271257523217893
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	EX_cortical	Path 1	1	[[80597710, 80597825]]	0.7119946109716861
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	EX_cortical	Path 2	2	[[80598626, 80598741]]	0.2880053890283138
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	INH_medium_spiny	Path 1	1	[[80597710, 80597825]]	0.8281123596549437
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	INH_medium_spiny	Path 2	2	[[80598626, 80598741]]	0.1718876403450564
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	INH_midbrain	Path 1	1	[[80597710, 80597825]]	0.7135184255689405
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	INH_midbrain	Path 2	2	[[80598626, 80598741]]	0.2864815744310595
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	INH_migrating_interneuron	Path 1	1	[[80597710, 80597825]]	0.7542017495868472
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_1	INH_migrating_interneuron	Path 2	2	[[80598626, 80598741]]	0.2457982504131527
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_2	EX_cortical	Path 1	1	[[80597710, 80597825]]	0.7186398777547311
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_2	EX_cortical	Path 2	2	[[80598626, 80598741]]	0.2813601222452689
ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15:B1	ENSMUSG00000033981.15	A_2	EX_hippocampus_granule	Path 1	1	[[80597710, 80597825]]	0.688150666838806
