feature_type	feature	coordinate	cell_type	primer	coverage
junction	J1	chr3:80596659-80597711	EX_cerebellum_granule	poly(dT)	7.268063274903805
junction	J2	chr3:80596659-80598627	EX_cerebellum_granule	poly(dT)	5.557930739632321
junction	J3	chr3:80597760-80598675	EX_cerebellum_granule	poly(dT)	0.0
junction	J4	chr3:80597806-80598627	EX_cerebellum_granule	poly(dT)	0.0
junction	J5	chr3:80597826-80598627	EX_cerebellum_granule	poly(dT)	1.2825994014536126
junction	J6	chr3:80597826-80599512	EX_cerebellum_granule	poly(dT)	0.0
junction	J7	chr3:80597826-80599592	EX_cerebellum_granule	poly(dT)	7.268063274903805
junction	J8	chr3:80598198-80598729	EX_cerebellum_granule	poly(dT)	0.0
junction	J9	chr3:80598222-80598472	EX_cerebellum_granule	poly(dT)	0.0
junction	J10	chr3:80598391-80598465	EX_cerebellum_granule	poly(dT)	0.0
junction	J11	chr3:80598538-80598578	EX_cerebellum_granule	poly(dT)	0.0
junction	J12	chr3:80598596-80598894	EX_cerebellum_granule	poly(dT)	0.0
junction	J13	chr3:80598742-80599010	EX_cerebellum_granule	poly(dT)	0.0
junction	J14	chr3:80598742-80599512	EX_cerebellum_granule	poly(dT)	0.4275331338178709
junction	J15	chr3:80598742-80599592	EX_cerebellum_granule	poly(dT)	15.391192817443352
junction	J16	chr3:80598868-80598903	EX_cerebellum_granule	poly(dT)	0.0
junction	J17	chr3:80598879-80599296	EX_cerebellum_granule	poly(dT)	0.0
junction	J18	chr3:80599051-80599592	EX_cerebellum_granule	poly(dT)	0.0
junction	J19	chr3:80599543-80599611	EX_cerebellum_granule	poly(dT)	0.0
junction	J1	chr3:80596659-80597711	EX_cerebellum_granule	random hexamer	11.970927746900385
junction	J2	chr3:80596659-80598627	EX_cerebellum_granule	random hexamer	17.956391620350576
junction	J3	chr3:80597760-80598675	EX_cerebellum_granule	random hexamer	0.0
junction	J4	chr3:80597806-80598627	EX_cerebellum_granule	random hexamer	0.0
junction	J5	chr3:80597826-80598627	EX_cerebellum_granule	random hexamer	0.4275331338178709
junction	J6	chr3:80597826-80599512	EX_cerebellum_granule	random hexamer	0.0
junction	J7	chr3:80597826-80599592	EX_cerebellum_granule	random hexamer	3.847798204360838
junction	J8	chr3:80598198-80598729	EX_cerebellum_granule	random hexamer	0.0
junction	J9	chr3:80598222-80598472	EX_cerebellum_granule	random hexamer	0.0
junction	J10	chr3:80598391-80598465	EX_cerebellum_granule	random hexamer	0.0
junction	J11	chr3:80598538-80598578	EX_cerebellum_granule	random hexamer	0.0
junction	J12	chr3:80598596-80598894	EX_cerebellum_granule	random hexamer	0.0
junction	J13	chr3:80598742-80599010	EX_cerebellum_granule	random hexamer	0.0
junction	J14	chr3:80598742-80599512	EX_cerebellum_granule	random hexamer	0.0
junction	J15	chr3:80598742-80599592	EX_cerebellum_granule	random hexamer	6.840530141085934
junction	J16	chr3:80598868-80598903	EX_cerebellum_granule	random hexamer	0.0
junction	J17	chr3:80598879-80599296	EX_cerebellum_granule	random hexamer	0.0
junction	J18	chr3:80599051-80599592	EX_cerebellum_granule	random hexamer	0.0
junction	J19	chr3:80599543-80599611	EX_cerebellum_granule	random hexamer	0.0
junction	J1	chr3:80596659-80597711	EX_cortical	poly(dT)	13.241702983573589
