test_id	path_number	path	min_usage	max_usage	usage_span	min_cell_type	max_cell_type	n_dominant_paths	block_id	gene_id	gene_name	event_type	event_components	chromosome	strand	left_anchor	right_anchor	n_tested_paths	tested_path_signatures	n_test_levels	statistic	empirical_p_value	fdr	dominant_path_switch
ENSMUSG00000021557.16:B1	2	Path 2	0.3438556638474484	0.965241167027805	0.6213855031803566	EX_cerebellum_granule	EX_hippocampus_granule	2	ENSMUSG00000021557.16:B1	ENSMUSG00000021557.16	Agtpbp1	alternative first region	alternative acceptor	chr13	-	[59692200, 59692253]		3	[[[59705036, 59705100], [59692253, 59692265]], [[59705036, 59705114], [59692253, 59692265]], [[59705036, 59705125], [59692253, 59692265]]]	10	176.79678289029022	9.52653138992093e-05	0.0009589405456861	True
ENSMUSG00000020886.18:B1	3	Path 3	0.25759180853202146	0.8357404314614854	0.5781486229294639	EX_cerebellum_granule	EX_cortical	2	ENSMUSG00000020886.18:B1	ENSMUSG00000020886.18	Dlg4	alternative first region	alternative acceptor; mutually exclusive exons	chr11	+		[69921224, 69921278]	6	[[[69909269, 69909775], [69917748, 69917814]], [[69909659, 69909775]], [[69909704, 69909775], [69917748, 69917814]], [[69918613, 69918984]], [[69920312, 69920534]], [[69920350, 69920534]]]	6	248.7994506047201	9.52653138992093e-05	0.0009589405456861	True
ENSMUSG00000027797.16:B2	4	Path 4	0.17058941508355016	0.7389411712533307	0.5683517561697805	ASC	INH_midbrain	2	ENSMUSG00000027797.16:B2	ENSMUSG00000027797.16	Dclk1	alternative last region		chr3	+	[55370421, 55370516]		4	[[[55373993, 55378737]], [[55385225, 55385310], [55387754, 55387863], [55394727, 55394785], [55395212, 55395332], [55397170, 55397317], [55407455, 55407589], [55409793, 55409871], [55410229, 55410326], [55414121, 55414202], [55424293, 55424407], [55429270, 55429344], [55440990, 55446485]], [[55385225, 55385310], [55387754, 55387863], [55394727, 55394785], [55395212, 55395332], [55397170, 55397317], [55407455, 55407589], [55409793, 55409871], [55410232, 55410326], [55414121, 55414202], [55424293, 55424407], [55440990, 55443973]], [[55385225, 55385358], [55387754, 55387863], [55394727, 55394785], [55395212, 55395332], [55397170, 55397317], [55407455, 55407589], [55409793, 55409871], [55410229, 55410326], [55414121, 55414202], [55424293, 55424407], [55440990, 55446485]]]	6	119.91544047112384	9.52653138992093e-05	0.0009589405456861	True
ENSMUSG00000049044.17:B1	1	Path 1	0.21683358420909732	0.7826432714376291	0.5658096872285319	INH_midbrain	EX_cerebellum_granule	3	ENSMUSG00000049044.17:B1	ENSMUSG00000049044.17	Rapgef4	alternative first region	alternative acceptor	chr2	+		[71967585, 71967658]	3	[[[71811583, 71811695], [71861376, 71861519], [71864374, 71864463], [71875445, 71875592]], [[71811630, 71811695], [71861376, 71861519], [71864374, 71864463], [71875445, 71875592]], [[71884947, 71885368]]]	8	141.50347353420003	9.52653138992093e-05	0.0009589405456861	True
ENSMUSG00000020886.18:B2	1	Path 1	0.29895026545302533	0.8484911690518925	0.5495409035988672	EX_cerebellum_granule	EX_cortical	2	ENSMUSG00000020886.18:B2	ENSMUSG00000020886.18	Dlg4	cassette exon	cassette exon	chr11	+	[69921224, 69921278]	[69921429, 69921480]	2	[[], [[69921420, 69921429]]]	6	56.21668972028534	0.000197745699031	0.0010607984637779	True
ENSMUSG00000038244.15:B1	2	Path 2	0.22587637880666708	0.7440893253975662	0.5182129465908991	ASC	EX_cerebellum_granule	2	ENSMUSG00000038244.15:B1	ENSMUSG00000038244.15	Mical2	whole-gene complex		chr7	+			5	[[[111825062, 111825228], [111834553, 111834626], [111870436, 111870776], [111902794, 111903002], [111906210, 111906327], [111908632, 111908734], [111910522, 111910678], [111914178, 111914279], [111917592, 111917850], [111918918, 111919034], [111919813, 111919940], [111920552, 111920643], [111921722, 111921870], [111922684, 111922884], [111923181, 111923288], [111927858, 111927927], [111931102, 111931246], [111945928, 111946115], [111948600, 111948689], [111950531, 111954401]], [[111870505, 111870776], [111902794, 111903002], [111906210, 111906327], [111908632, 111908734], [111910522, 111910678], [111914178, 111914279], [111917592, 111917850], [111918918, 111919034], [111919813, 111919940], [111920552, 111920643], [111921722, 111921870], [111922684, 111922884], [111923181, 111923288], [111927858, 111927927], [111931102, 111931246], [111933035, 111933161], [111934144, 111934363], [111934535, 111934637], [111936055, 111936181], [111944452, 111944560], [111945928, 111946115], [111948600, 111948689], [111950531, 111950634], [111953105, 111953182]], [[111967514, 111967665], [111975221, 111975296], [111979489, 111979635], [111980162, 111981444], [111990472, 111990564], [111994000, 111994081], [111996678, 111996772], [112006766, 112006866], [112010596, 112010670], [112012009, 112012313]], [[111973551, 111973860], [111975221, 111975296], [111979489, 111979635], [111980162, 111981444], [111990472, 111990564], [111994000, 111994081], [111994288, 111994562]], [[111974074, 111974139], [111975221, 111975296], [111979489, 111979635], [111980162, 111981444], [111990472, 111990564], [111994000, 111994081], [111996678, 111996772], [112006766, 112006866], [112010596, 112010670], [112012009, 112012309]]]	5	131.10199140175723	9.52653138992093e-05	0.0009589405456861	True
ENSMUSG00000049044.17:B2	2	Path 2	0.4347153524097122	0.946687704345216	0.5119723519355037	INH_midbrain	EX_cerebellum_granule	2	ENSMUSG00000049044.17:B2	ENSMUSG00000049044.17	Rapgef4	cassette exon	cassette exon	chr2	+	[71971496, 71971516]	[72005145, 72005252]	2	[[], [[72004766, 72004820]]]	8	76.53778273927158	9.52653138992093e-05	0.0009589405456861	True
ENSMUSG00000037754.14:B1	1	Path 1	0.32889028423483146	0.8263236002826015	0.4974333160477701	ODC	EX_cerebellum_granule	2	ENSMUSG00000037754.14:B1	ENSMUSG00000037754.14	Ppp1r16b	alternative first region	mutually exclusive exons	chr2	+		[158537781, 158538130]	3	[[[158507317, 158507529], [158508549, 158508745]], [[158508652, 158508745]], [[158509038, 158509169]]]	7	42.94965818456778	0.0013337143945889	0.0046033824355869	True
ENSMUSG00000011877.14:B1	1	Path 1	0.1720086254180985	0.6567476343502904	0.4847390089321919	EX_cerebellum_granule	ODC	2	ENSMUSG00000011877.14:B1	ENSMUSG00000011877.14	Git1	alternative first region	cassette exon	chr11	+		[77384396, 77384460]	2	[[], [[77384387, 77384396]]]	7	18.37390849392038	0.0071412631109127	0.0187313543454132	True
ENSMUSG00000028528.18:B2	3	Path 3	0.03652563888564671	0.5062111255687419	0.46968548668309523	EX_cortical	EX_cerebellum_granule	2	ENSMUSG00000028528.18:B2	ENSMUSG00000028528.18	Dnajc6	alternative last region	alternative donor; cassette exon	chr4	+	[101497668, 101499979]		3	[[], [[101499979, 101499995]], [[101499979, 101499996]]]	6	135.11989869056697	9.52653138992093e-05	0.0009589405456861	True
