Name Chr Start End EXcortical_polydT_0 EXcortical_randomhexamer_0 INHmidbrain_polydT_0 INHmidbrain_randomhexamer_0
chr16:84752173-84752174 chr16 84752173 84752174 0.16761649346295676 0.0 0.0 0.0
chr16:84752173-84752175 chr16 84752173 84752175 0.0 0.08380824673147838 0.0 0.0
chr16:84752173-84752178 chr16 84752173 84752178 0.0 0.0 0.0 0.3091190108191654
chr16:84752174-84752175 chr16 84752174 84752175 0.5866577271203487 0.0 0.0 0.0
chr16:84752174-84752177 chr16 84752174 84752177 0.0 0.0 0.6182380216383307 0.0
chr16:84752175-84752176 chr16 84752175 84752176 1.0056989607777407 0.16761649346295676 0.0 0.0
chr16:84752176-84752177 chr16 84752176 84752177 1.089507207509219 0.3352329869259135 0.0 0.0
chr16:84752177-84752178 chr16 84752177 84752178 1.4247401944351326 0.5866577271203487 0.0 0.0
chr16:84752177-84752179 chr16 84752177 84752179 0.0 0.0 1.2364760432766615 0.0
chr16:84752178-84752179 chr16 84752178 84752179 1.6761649346295675 0.670465973851827 0.0 0.6182380216383307
chr16:84752179-84752180 chr16 84752179 84752180 2.0113979215554814 0.8380824673147838 0.0 0.0
chr16:84752179-84752181 chr16 84752179 84752181 0.0 0.0 1.545595054095827 0.0
chr16:84752179-84752182 chr16 84752179 84752182 0.0 0.0 0.0 0.9273570324574961
chr16:84752180-84752181 chr16 84752180 84752181 2.430439155212873 0.9218907140462622 0.0 0.0
chr16:84752181-84752182 chr16 84752181 84752182 2.681863895407308 1.340931947703654 2.1638330757341575 0.0
chr16:84752182-84752183 chr16 84752182 84752183 3.4361381159906137 0.0 2.7820710973724885 0.0
chr16:84752182-84752186 chr16 84752182 84752186 0.0 0.0 0.0 1.545595054095827
chr16:84752182-84752189 chr16 84752182 84752189 0.0 1.5085484411666108 0.0 0.0
chr16:84752183-84752184 chr16 84752183 84752184 3.519946362722092 0.0 0.0 0.0
chr16:84752183-84752185 chr16 84752183 84752185 0.0 0.0 3.091190108191654 0.0
chr16:84752184-84752186 chr16 84752184 84752186 3.8551793496480053 0.0 0.0 0.0
chr16:84752185-84752186 chr16 84752185 84752186 0.0 0.0 3.400309119010819 0.0
chr16:84752186-84752187 chr16 84752186 84752187 4.022795843110963 0.0 3.7094281298299845 0.0
chr16:84752186-84752189 chr16 84752186 84752189 0.0 0.0 0.0 1.8547140649149922
chr16:84752187-84752188 chr16 84752187 84752188 4.106604089842441 0.0 4.01854714064915 0.0
chr16:84752188-84752189 chr16 84752188 84752189 4.190412336573919 0.0 4.636785162287481 0.0
chr16:84752189-84752191 chr16 84752189 84752191 4.2742205833053974 1.5923566878980893 0.0 0.0
chr16:84752189-84752192 chr16 84752189 84752192 0.0 0.0 4.945904173106646 0.0
chr16:84752189-84752193 chr16 84752189 84752193 0.0 0.0 0.0 2.1638330757341575
chr16:84752191-84752192 chr16 84752191 84752192 4.6932618169627895 1.759973181361046 0.0 0.0
chr16:84752192-84752193 chr16 84752192 84752193 0.0 0.0 6.182380216383308 0.0
chr16:84752192-84752194 chr16 84752192 84752194 5.112303050620182 0.0 0.0 0.0
chr16:84752192-84752195 chr16 84752192 84752195 0.0 2.0952061682869596 0.0 0.0
chr16:84752193-84752195 chr16 84752193 84752195 0.0 0.0 6.491499227202473 0.0
chr16:84752193-84752196 chr16 84752193 84752196 0.0 0.0 0.0 2.472952086553323
chr16:84752194-84752195 chr16 84752194 84752195 5.19611129735166 0.0 0.0 0.0
chr16:84752195-84752196 chr16 84752195 84752196 5.69896077774053 2.262822661749916 7.109737248840804 0.0
chr16:84752196-84752197 chr16 84752196 84752197 0.0 2.9332886356017434 7.418856259659969 3.400309119010819
chr16:84752196-84752198 chr16 84752196 84752198 6.118002011397921 0.0 0.0 0.0
chr16:84752197-84752198 chr16 84752197 84752198 0.0 3.0170968823332216 7.727975270479134 3.7094281298299845
chr16:84752198-84752199 chr16 84752198 84752199 6.453234998323835 3.1847133757961785 8.0370942812983 0.0
chr16:84752198-84752200 chr16 84752198 84752200 0.0 0.0 0.0 4.327666151468315
chr16:84752199-84752200 chr16 84752199 84752200 6.70465973851827 3.352329869259135 8.346213292117465 0.0
chr16:84752200-84752201 chr16 84752200 84752201 7.2913174656386195 3.4361381159906137 8.65533230293663 5.564142194744977
chr16:84752201-84752202 chr16 84752201 84752202 7.542742205833054 3.687562856185049 0.0 0.0
chr16:84752201-84752203 chr16 84752201 84752203 0.0 0.0 8.964451313755795 6.800618238021638
chr16:84752202-84752203 chr16 84752202 84752203 8.045591686221925 3.8551793496480053 0.0 0.0
chr16:84752203-84752204 chr16 84752203 84752204 0.0 4.022795843110963 9.273570324574962 0.0
chr16:84752203-84752205 chr16 84752203 84752205 8.380824673147838 0.0 0.0 7.418856259659969
chr16:84752204-84752205 chr16 84752204 84752205 0.0 4.106604089842441 0.0 0.0
chr16:84752204-84752207 chr16 84752204 84752207 0.0 0.0 9.891808346213292 0.0
chr16:84752205-84752206 chr16 84752205 84752206 8.716057660073751 4.190412336573919 0.0 8.0370942812983
chr16:84752206-84752207 chr16 84752206 84752207 9.051290646999664 4.525645323499832 0.0 8.964451313755795
chr16:84752207-84752208 chr16 84752207 84752208 9.470331880657056 4.944686557157224 10.510046367851622 9.273570324574962
chr16:84752208-84752209 chr16 84752208 84752209 9.973181361045928 5.112303050620182 11.128284389489954 9.891808346213292
chr16:84752209-84752210 chr16 84752209 84752210 10.140797854508884 5.866577271203487 0.0 10.819165378670789
chr16:84752209-84752212 chr16 84752209 84752212 0.0 0.0 11.437403400309119 0.0
chr16:84752210-84752211 chr16 84752210 84752211 10.30841434797184 6.369426751592357 0.0 11.437403400309119
chr16:84752211-84752212 chr16 84752211 84752212 10.978880321823668 7.2913174656386195 0.0 12.673879443585781
